cell_line,drug,n_treated_G1,n_treated_G2M,n_control_G1,n_control_G2M,induced_cosine_G1_vs_G2M,norm_delta_G1,norm_delta_G2M,norm_delta_mean
KATO III,Pemigatinib,611,305,1004,679,0.7840202890369755,1.238795778521877,1.1724489533096816,1.1666893001539027
KATO III,Pimitespib,219,144,1004,679,0.5935400430711634,0.9675390032952821,1.0785457677155932,0.9057565859949767
KATO III,Pralsetinib,226,144,1004,679,0.7505323545694661,1.5732811015898571,1.5191557067539572,1.455965319419248
KATO III,RMC-6236,2173,475,1004,679,0.8308148728101994,2.061146770426406,1.7564855297795228,2.002704008337783
KATO III,Ralimetinib dimesylate,695,469,1004,679,0.8596679998350552,1.4962748812780229,1.3461597781574057,1.3876058731857535
KATO III,Regorafenib,603,346,1004,679,0.8905146017906431,2.143525731108358,2.0417480359804654,2.053180418872685
KATO III,SBI-0640756,257,215,1004,679,0.8410607995425594,1.3419302937477504,1.4774344623292806,1.3338966061601834
KATO III,Sapanisertib,2107,613,1004,679,0.8755832295736484,1.9134290163912397,1.6460038306879559,1.8555770437996473
KATO III,Sonidegib,248,130,1004,679,0.857104794368573,1.7923700597796892,1.915535487522861,1.7842292881512456
KATO III,TAK-733,631,172,1004,679,0.9010330404385002,2.1982488345811366,2.1372385302869294,2.14639244338667
KATO III,TAK-901,462,305,1004,679,0.9628147402579567,4.172805155222074,4.149418807027587,4.125744662317286
KATO III,Temuterkib,752,396,1004,679,0.7776491550432278,1.2688295766034563,1.1358334819448737,1.1597261938530723
KATO III,Tomivosertib,828,460,1004,679,0.8992197687385237,1.5927610281059141,1.7178223109079855,1.619396396919113
KATO III,Torkinib,233,182,1004,679,0.746304496991353,1.3178586528393086,1.2965148074875577,1.230625912532585
KATO III,Trametinib,1721,510,1004,679,0.8696083090601396,2.0211550621383694,1.964543003969663,1.9887259931127073
KATO III,Tubulin inhibitor 6,358,267,1004,679,0.6599157966765733,0.96148239667697,0.9645863523504138,0.8767140349358346
KATO III,Tucatinib,1145,765,1004,679,0.7686296121501769,1.0456671011097158,0.9491712615200987,0.9502974284320838
KATO III,ULK-101,352,194,1004,679,0.8208499029962915,1.209281669195146,1.2390398760234287,1.1755882169674
KATO III,Vemurafenib,1188,605,1004,679,0.7945575755907247,1.358813789165383,1.1050897722996216,1.2214891608991743
KATO III,Volasertib,424,193,1004,679,0.6631342682811827,1.0423345927495689,1.0346337505905887,0.9782111482254683
KATO III,XRK3F2,1513,612,1004,679,0.8447223020470118,1.3715843102657614,1.1102280438607801,1.273490036681433
KATO III,c-Kit-IN-1,533,166,1004,679,0.8937875730322421,2.0781474909540396,2.187217387975326,2.0703784071976
KATO III,olaparib,390,222,1004,679,0.8147556920142652,1.9620001248732784,1.8113277151714973,1.8290680573620353
KATO III,palbociclib,919,171,1004,679,0.5742454301046738,1.5403912638743134,1.378549005546264,1.4176617725914498
KATO III,venetoclax,548,259,1004,679,0.9282377765040847,2.3412324077444717,2.3091115249717022,2.2993356699307474
KATO III,vincristine,248,143,1004,679,0.8262264192718428,1.6289823809179687,1.8729069646364254,1.6487318796218806
LOX-IMVI,4EGI-1,463,123,1184,591,0.7441330049950967,1.6469103430649068,1.592326877332736,1.5302775162170552
LOX-IMVI,9-ING-41,1352,475,1184,591,0.7686504141163515,1.222190995817975,1.1838527488249122,1.1655520273779287
LOX-IMVI,APTO-253,763,256,1184,591,0.6116452490055463,0.9377161007048749,0.8816718277617964,0.8580031698333389
LOX-IMVI,AT7519,855,357,1184,591,0.7175623358820798,0.8673886459191738,1.0455586329033502,0.8533111635366859
LOX-IMVI,AZD-7648,508,188,1184,591,0.8022428991646574,1.5035480109354349,1.5245135856048397,1.416339876839222
LOX-IMVI,AZD-8055,1074,266,1184,591,0.779254529922671,1.4774131927288787,1.3022730135258314,1.3824341532668585
LOX-IMVI,AZD1390,641,198,1184,591,0.7222743638184846,1.1821340825541624,1.5660473073218764,1.174237641233115
LOX-IMVI,AZD2858,269,101,1184,591,0.5417772317169042,1.1095863876473528,1.1248779419427979,0.9895154384574703
LOX-IMVI,Abemaciclib,464,204,1184,591,0.8646225177119097,2.352958331958348,2.2588696821166043,2.248562593186539
LOX-IMVI,Adagrasib,436,172,1184,591,0.6119488811651795,0.9959251776351492,1.0279760313460737,0.9075077505843794
LOX-IMVI,Afatinib,1219,279,1184,591,0.8195360038723255,1.7950687907101686,1.6382238007025864,1.7179253918987434
LOX-IMVI,Alpelisib,595,207,1184,591,0.7395409190690093,1.359413954981578,1.2368214133676005,1.2238160533601556
LOX-IMVI,Anastrozole,785,279,1184,591,0.7405989648627799,0.9202074964176343,1.03537289016706,0.8816920198483252
LOX-IMVI,BAY1125976,1236,295,1184,591,0.7981823797511062,1.5643469249328972,1.6453215643006642,1.5679306784447518
LOX-IMVI,BI-3406,1148,488,1184,591,0.8038685256984723,1.1365011981223287,1.0929365788809537,1.0677993275329145
LOX-IMVI,BI-78D3,921,375,1184,591,0.7264199177388521,0.9287441901220425,0.9885564423028419,0.8973727845207401
LOX-IMVI,Belumosudil (mesylate),568,130,1184,591,0.7535988296987468,1.4123183555861518,1.4739688940280014,1.325884165599654
LOX-IMVI,Belzutifan,540,61,1184,591,0.5821392785155024,1.547243482426204,1.7486993370174815,1.463927811051636
LOX-IMVI,Bentamapimod,645,354,1184,591,0.7465595819983174,1.28620672192292,1.2591334483947216,1.2056185115342364
LOX-IMVI,Bimiralisib,1540,255,1184,591,0.9065765772888905,2.3810062821798827,2.222820249185635,2.3175169257517827
LOX-IMVI,Binimetinib,479,90,1184,591,0.7947699203189573,2.054733588534725,1.940366141405287,1.9366227570293628
LOX-IMVI,Bortezomib,228,78,1184,591,0.8962677144453682,3.855884354674768,3.733900835836705,3.7097416621586565
LOX-IMVI,Brivudine,743,447,1184,591,0.885165707148732,2.6019447332233523,2.573300141689358,2.5414993351442057
LOX-IMVI,CP21R7,455,207,1184,591,0.6368700779759575,1.0080958149527424,1.1616585423836716,0.9591669245649341
LOX-IMVI,Capivasertib,498,240,1184,591,0.7090888750269257,1.0666824503231405,1.1349955820214157,1.0111386628705514
LOX-IMVI,Capmatinib,438,138,1184,591,0.773203391821802,2.0072363962405753,1.9277690919457906,1.8790768630835468
LOX-IMVI,Celecoxib,599,276,1184,591,0.6626607988130976,0.9145529384189638,0.8999403878871183,0.8379279230623818
LOX-IMVI,DT-061,432,191,1184,591,0.8126195226240471,1.459104889497926,1.4837194737785258,1.3906877686209937
LOX-IMVI,DTP3,492,224,1184,591,0.8006213399961556,1.4785448226106968,1.3719914283733234,1.3764941773521582
LOX-IMVI,Dabrafenib,1903,366,1184,591,0.7092030560058066,1.4936569105787754,1.4066437000705898,1.491760743155788
LOX-IMVI,ERK5-IN-2,1126,399,1184,591,0.8140922489256744,1.5015178482739957,1.7397792023969996,1.4915562623104084
LOX-IMVI,ETC-206,708,310,1184,591,0.6149405875780635,0.8145146276967974,0.8870055704857166,0.7540579050590664
LOX-IMVI,EX229,567,144,1184,591,0.8146308322077803,2.366005455557411,2.2938611816958194,2.254288255397297
LOX-IMVI,Elimusertib hydrochloride,378,81,1184,591,0.8032371403662633,2.3932931570734044,2.342298735980025,2.277608694467068
LOX-IMVI,Encorafenib,1669,386,1184,591,0.8008487214289263,1.8947424006807254,1.7089255602186573,1.815008318055402
LOX-IMVI,Erdafitinib ,797,261,1184,591,0.6377444421188617,0.8880183251108982,0.9760166765832712,0.8508528516651799
LOX-IMVI,Everolimus,1553,727,1184,591,0.7795687788112352,0.8572323602891512,0.9527215132103083,0.8367116200497153
LOX-IMVI,Futibatinib,446,108,1184,591,0.7649836822565528,1.4427274806200254,1.3321767650717962,1.3462015198452808
LOX-IMVI,GSK1059615,937,410,1184,591,0.8659922888473004,2.145309722206765,2.050707376128482,2.0475722892605663
LOX-IMVI,Gemcitabine,930,375,1184,591,0.605980945130088,0.9707842427754443,1.180007358656165,0.9258214301353539
LOX-IMVI,HI-TOPK-032,272,177,1184,591,0.8941021341256524,2.829182221247521,2.5134123744305135,2.680446444650854
LOX-IMVI,Hydroxyfasudil,387,135,1184,591,0.7479200471141337,1.4914627728577328,1.502963689566214,1.401083408954552
LOX-IMVI,IQ 1,435,120,1184,591,0.6893733311266974,1.234701712296995,1.2787652247355101,1.142385162821
LOX-IMVI,Infigratinib,806,169,1184,591,0.8171723846812128,1.7294326785627598,1.633138161872192,1.6862186909166847
LOX-IMVI,Ipatasertib,1071,472,1184,591,0.8219566498224428,1.5185030732203406,1.383338517996826,1.4136785878994416
LOX-IMVI,Irinotecan,1184,321,1184,591,0.7373606335445096,1.4366909845239686,2.036113983544362,1.4218564772476858
LOX-IMVI,Ixazomib,538,131,1184,591,0.7502476270187549,1.794749036362828,1.6958322488725364,1.640665175046296
LOX-IMVI,LB-100,658,221,1184,591,0.5939851264216034,0.7860049694595728,0.9501019324732825,0.7675149602542649
LOX-IMVI,LJI308,485,152,1184,591,0.7902004341260045,1.373202358013197,1.4526021273302887,1.305658498546719
LOX-IMVI,LY-2584702 (tosylate salt),157,102,1184,591,0.8499265289889855,2.1235366195436867,2.0578051815938476,2.065211343506109
LOX-IMVI,LY2090314,816,405,1184,591,0.6344981542460792,0.9384428695252212,1.0590791221497862,0.8921136729738659
LOX-IMVI,Lapatinib ditosylate,1162,517,1184,591,0.708525217510059,0.9077000349699147,0.9461461659506184,0.846350437596109
LOX-IMVI,MK-3903,491,166,1184,591,0.6125598902138092,1.4059106182462389,1.3464943708831403,1.2742441519987269
LOX-IMVI,MK-8353,490,211,1184,591,0.6061191286914376,0.9075867158940986,0.9714366590680621,0.8392383250937343
LOX-IMVI,ML264,902,268,1184,591,0.745379853179639,1.0895282501052581,1.1450660285292185,1.0747614811709716
LOX-IMVI,Methylprednisolone succinate,521,240,1184,591,0.7387975647641263,1.049822114114247,1.2329704515320088,1.029135539394068
LOX-IMVI,Minodronic acid,706,300,1184,591,0.7399454475694494,1.1369931267832003,1.1762067087634824,1.0677956324726001
LOX-IMVI,NG25,562,294,1184,591,0.8663610618368368,2.406408160380539,2.3897772598472846,2.3333465348486735
LOX-IMVI,NVP-BHG712,498,221,1184,591,0.6711574621135272,1.0623897045733006,1.0948706209549868,0.9885985818728481
LOX-IMVI,OTS514,293,162,1184,591,0.7689913274589442,1.4806162982994295,1.4180813107940713,1.3977146871391988
LOX-IMVI,Oleic acid,519,254,1184,591,0.7606676328199138,1.0796296951226925,1.1174883987624862,1.0300046292663054
LOX-IMVI,Oxaliplatin,721,302,1184,591,0.7980843595923818,1.1080201871852546,1.1006505701445257,1.0359156537094931
LOX-IMVI,PF-06260933,377,79,1184,591,0.8057481031108175,2.311744817471277,2.7454293529607474,2.360924288070989
LOX-IMVI,PH-797804,174,86,1184,591,0.8936624761149272,4.007237305130852,3.7987953192571866,3.8454468023347324
LOX-IMVI,Paclitaxel,1346,518,1184,591,0.8004101962768646,1.3720402884814944,1.4326896550372128,1.3369838702366712
LOX-IMVI,Pemigatinib,672,207,1184,591,0.704993097591334,0.9859144079537367,1.0188982747187874,0.9131799989422346
LOX-IMVI,Pimitespib,330,164,1184,591,0.6858550983943971,1.25265623095258,1.2533272401855016,1.1616687310755545
LOX-IMVI,Pralsetinib,355,181,1184,591,0.7707082482132066,1.9785698668236504,2.140734085196373,1.9263562286182623
LOX-IMVI,RMC-6236,1762,395,1184,591,0.834072807837905,2.139386422124802,2.0059546478597703,2.0697327318425347
LOX-IMVI,Ralimetinib dimesylate,658,283,1184,591,0.7414943742169747,1.188073974961768,1.2438910475164724,1.1291343711845971
LOX-IMVI,Regorafenib,686,259,1184,591,0.8217644739108937,1.8214222156276927,1.6351559204305826,1.6779284594467987
LOX-IMVI,SBI-0640756,353,172,1184,591,0.674932316231117,1.1995689113389947,1.2667025327653803,1.1280473073621604
LOX-IMVI,Sapanisertib,1347,308,1184,591,0.8778377909331609,1.916548299234573,1.916305516706354,1.9288303906025779
LOX-IMVI,Sonidegib,338,113,1184,591,0.7280755063183179,1.4200275238620146,1.5833596717030307,1.3402990288193404
LOX-IMVI,TAK-733,543,222,1184,591,0.8797026065717907,2.1147035450569653,2.103561752889279,2.043922961372528
LOX-IMVI,TAK-901,389,164,1184,591,0.9407118332559893,4.841600938758294,4.65303110948244,4.714092227214801
LOX-IMVI,Temuterkib,800,322,1184,591,0.7775360030892362,1.0248402535817218,1.1119040795117596,1.0072569172879338
LOX-IMVI,Tomivosertib,706,334,1184,591,0.7556448779585715,1.1042191886767574,1.2923832289346489,1.0965716479972107
LOX-IMVI,Torkinib,285,115,1184,591,0.7054209631189866,1.2464994001680927,1.4329394240577304,1.1912216257117865
LOX-IMVI,Trametinib,1407,242,1184,591,0.8924913233427095,2.5803958881023195,2.294987486436167,2.4889508714501054
LOX-IMVI,Tubulin inhibitor 6,453,189,1184,591,0.6830831359212837,1.035846859811968,1.1402826383255882,0.9719466045216795
LOX-IMVI,Tucatinib,1059,491,1184,591,0.6375659966740564,0.887712940343519,0.8947635534795441,0.8185984762724186
LOX-IMVI,ULK-101,379,172,1184,591,0.6649850470038042,1.2854156026494572,1.2330931137316494,1.1689890124386475
LOX-IMVI,Vemurafenib,1147,342,1184,591,0.725305835288578,1.1020433997323165,1.108250061098619,1.0459679025561237
LOX-IMVI,Volasertib,376,156,1184,591,0.5404116493301454,0.8572626428067619,1.030030481545532,0.8150576379716822
LOX-IMVI,XRK3F2,1256,313,1184,591,0.8095704880150514,1.4493470459804454,1.4186928220947965,1.4219636509193865
LOX-IMVI,c-Kit-IN-1,429,192,1184,591,0.869625142098044,2.2200685701454144,2.0934190031279676,2.112297014388154
LOX-IMVI,olaparib,574,195,1184,591,0.7620082176220924,1.5489295505577378,1.824671491468082,1.5073423244197635
LOX-IMVI,palbociclib,791,112,1184,591,0.5724787927909738,1.3524388576848996,1.6765375159081153,1.2615687437932146
LOX-IMVI,venetoclax,536,274,1184,591,0.9065214164443363,2.6210590833586758,2.4908435407011664,2.525919603993919
LOX-IMVI,vincristine,316,212,1184,591,0.7586179644234187,1.6225111919773072,2.012875363194961,1.7069741076621792
LS 180,4EGI-1,301,63,922,456,0.3753193936637839,1.54685551192262,1.8315615744739482,1.4078468116489606
LS 180,9-ING-41,1379,438,922,456,0.8154016329099903,1.3170655812652632,1.327075724242452,1.2773199817009624
LS 180,APTO-253,509,166,922,456,0.5548575718389817,1.1712097355776643,1.2488204990177565,1.0959672953633732
LS 180,AT7519,724,204,922,456,0.738667134056091,0.9014604478801956,1.1678619153971215,0.9685443507289458
LS 180,AZD-7648,295,144,922,456,0.7824914961912034,1.8729072228601094,2.1846425887100587,1.8733015265747
LS 180,AZD-8055,735,141,922,456,0.7718730743497001,1.8727275712764488,2.1740674319248074,1.865037596912396
LS 180,AZD1390,381,92,922,456,0.549084474189653,1.0856865719396633,1.6738818237029847,1.137120770015282
LS 180,AZD2858,191,116,922,456,0.6526839095654258,1.138561783074493,1.2451062838138065,1.0707114993995455
LS 180,Abemaciclib,928,199,922,456,0.7969295180757908,1.639444405846756,2.162397689947575,1.7021537572649512
LS 180,Adagrasib,305,78,922,456,0.6170186244665622,1.045831114737631,1.2473971080050632,1.1060317090513327
LS 180,Afatinib,1364,285,922,456,0.8832967175118975,2.2607305534004376,2.4762166490997712,2.2839674710899405
LS 180,Alpelisib,353,53,922,456,0.7434149044318332,1.9819716218259624,2.386950659425538,1.9810168825871188
LS 180,Anastrozole,508,222,922,456,0.7334556511010446,1.0770863014726968,1.1751125918358487,1.050179118156271
LS 180,BAY1125976,2119,187,922,456,0.8601455586895422,2.7385703524476877,2.8098668147489363,2.753868944010625
LS 180,BI-3406,856,182,922,456,0.8506382097228588,1.9145523538335143,2.334125561034107,1.9758670306289297
LS 180,BI-78D3,1041,377,922,456,0.8195278672308505,1.1470604963030968,1.309932441203346,1.175709567039032
LS 180,Belumosudil (mesylate),384,95,922,456,0.6522003534634312,1.192123846213522,1.5705658476464024,1.249909208991878
LS 180,Bentamapimod,749,384,922,456,0.7818003448211216,1.454627846284341,1.5062493646928399,1.3971268969121777
LS 180,Bimiralisib,1589,242,922,456,0.8433711969942892,2.273933170576786,2.6170894322153586,2.310865466456959
LS 180,Binimetinib,370,128,922,456,0.8345927091498758,2.012868427218343,2.389681117202606,2.0407710451898398
LS 180,Brivudine,845,212,922,456,0.8609116710166227,2.562208089559058,3.0804841439174377,2.636741946838161
