split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,recommendation_mode,structure_reliability_score,preference_conflict,information_condition_mode,true_divergence,true_div_min_cos,true_div_minority_frac,minority_state_coverage_gap,moa_ndcg_gap,minority_state_coverage_dart,moa_ndcg_dart,minority_state_coverage_mean,moa_ndcg_mean
leave_MoA_out,MCF7,Danusertib (PHA-739358),Cell Cycle,0.8882978723404256,3,DART_recommended,0.5551828780463599,0.6067796610169491,observed,1.520086874922041,-0.5200868749220412,0.45,0.0027134822733235753,,0.9879318621804388,,0.9852183799071152,
leave_MoA_out,MCF7,Divalproex Sodium,Ubiquitin,0.9893617021276596,3,DART_recommended,0.419463346543036,0.6344632768361582,observed,1.804083639267339,-0.8040836392673391,0.44,0.007743123268498797,,0.991744864232019,,0.9840017409635202,
leave_MoA_out,MCF7,Enzastaurin (LY317615),TGF-beta/Smad,0.9840425531914894,1,DART_recommended,0.5499852841397885,0.6022598870056497,observed,1.77890232797271,-0.7789023279727098,0.42,0.007645431763746213,,0.9901616454520394,,0.9825162136882932,
leave_MoA_out,MCF7,Filgotinib (GLPG0634),JAK/STAT,0.8936170212765957,1,DART_recommended,0.4695745456327101,0.6096045197740113,observed,1.7525848107653117,-0.7525848107653115,0.415,0.008228043724848977,,0.983078823777134,,0.974850780052285,
leave_MoA_out,MCF7,Fulvestrant,Endocrinology & Hormones,0.973404255319149,2,DART_recommended,0.5711203447849659,0.5186440677966102,observed,0.5853318364516927,0.4146681635483072,0.395,-0.008997000026756408,,0.9516155028876324,,0.9606125029143888,
leave_MoA_out,MCF7,Givinostat (ITF2357),Cytoskeletal Signaling,0.9361702127659576,0,DART_recommended,0.4617663637592846,0.6067796610169491,observed,0.9186265682909742,0.0813734317090257,0.245,0.0,,0.8755236191368978,,0.8755236191368978,
leave_MoA_out,MCF7,IOX2,Angiogenesis,0.9414893617021276,1,DART_recommended,0.5848482172345728,0.5954802259887005,observed,1.756300107122861,-0.756300107122861,0.425,0.0022046489686826654,,0.9795536483810314,,0.9773489994123488,
leave_MoA_out,MCF7,Ivosidenib (AG-120),Metabolism,0.973404255319149,1,mean_or_no_call,0.3953426181108988,0.6124293785310735,observed,1.7866227790419298,-0.7866227790419298,0.38,0.0,,0.9880296357045516,,0.9880296357045516,
leave_MoA_out,MCF7,M344,Cytoskeletal Signaling,0.9361702127659576,1,DART_recommended,0.7421045550897082,0.6389830508474577,observed,1.010329366589737,-0.010329366589737,0.225,0.0,,0.8841814911499535,,0.8841814911499535,
leave_MoA_out,MCF7,MK-0752,Proteases,0.9893617021276596,1,mean_or_no_call,0.3665370770615099,0.5858757062146893,observed,1.7278193574553715,-0.7278193574553715,0.495,-0.0003508746095276516,,0.9854800417923736,,0.9858309164019012,
leave_MoA_out,MCF7,MK-0752,Proteases,0.9893617021276596,2,mean_or_no_call,0.3997132791398826,0.6457627118644067,observed,1.777257231107711,-0.777257231107711,0.415,0.007155419266022145,,0.9838566867921832,,0.976701267526161,
leave_MoA_out,MCF7,Mesna,Others,0.9787234042553192,1,DART_recommended,0.4456058395690804,0.6655367231638418,observed,1.7704962270851072,-0.7704962270851072,0.445,0.004979017651829287,,0.9839040079678852,,0.978924990316056,
leave_MoA_out,MCF7,Mesna,Others,0.9787234042553192,4,DART_recommended,0.4872701846731334,0.6225988700564972,observed,1.784790697847322,-0.784790697847322,0.455,0.0013693589486751812,,0.991227129455966,,0.9898577705072908,
leave_MoA_out,MCF7,Navitoclax (ABT-263),Apoptosis,0.9680851063829788,2,DART_recommended,0.6715629364057338,0.6146892655367232,observed,1.7194250264795592,-0.7194250264795592,0.445,0.0017608940875455392,,0.9760160765301972,,0.9742551824426516,
leave_MoA_out,MCF7,PD173074,Angiogenesis,0.9414893617021276,3,DART_recommended,0.4272060259188897,0.5903954802259888,observed,1.803739096579972,-0.8037390965799723,0.37,0.003170671526527613,,0.9756876682803632,,0.9725169967538356,
leave_MoA_out,MCF7,PD98059,MAPK,0.9787234042553192,0,DART_recommended,0.4280000729318722,0.6474576271186441,observed,1.8260272240053608,-0.8260272240053608,0.425,0.0011725226300888236,,0.9790538855066976,,0.9778813628766088,
leave_MoA_out,MCF7,PF-3845,Metabolism,0.973404255319149,3,DART_recommended,0.4234969563610687,0.5423728813559322,observed,1.6963778763929582,-0.6963778763929583,0.39,0.003906362174958211,,0.9855355597333588,,0.9816291975584006,
leave_MoA_out,MCF7,Pracinostat (SB939),Cytoskeletal Signaling,0.9361702127659576,4,DART_recommended,0.6849693792560102,0.507909604519774,observed,0.6971415795430671,0.3028584204569329,0.275,0.07203587866466132,,0.944932615188036,,0.8728967365233746,
leave_MoA_out,MCF7,Prednisone,Endocrinology & Hormones,0.973404255319149,1,DART_recommended,0.4938641729198961,0.6242937853107344,observed,1.824984159137181,-0.8249841591371809,0.49,-0.0039443639520589935,,0.9763549541026206,,0.9802993180546796,
leave_MoA_out,MCF7,Ramelteon,GPCR & G Protein,0.9893617021276596,0,DART_recommended,0.7678268198004649,0.655367231638418,observed,1.7653486146264523,-0.7653486146264523,0.455,0.013652414631567189,,0.97694259077901,,0.9632901761474428,
leave_MoA_out,MCF7,Ramelteon,GPCR & G Protein,0.9893617021276596,2,DART_recommended,0.4791383007585342,0.5937853107344633,observed,1.766620040925512,-0.7666200409255118,0.47,0.0006805768104551913,,0.9807877187070648,,0.9801071418966096,
leave_MoA_out,MCF7,SB431542,TGF-beta/Smad,0.9840425531914894,3,DART_recommended,0.6206014755343902,0.5870056497175141,observed,1.6546770169509952,-0.6546770169509953,0.445,-0.005839439662694734,,0.9783291607713884,,0.9841686004340832,
leave_MoA_out,MCF7,SRT2104 (GSK2245840),DNA Damage,0.8723404255319149,2,DART_recommended,0.5037185634285095,0.5836158192090395,observed,1.6753296218924965,-0.6753296218924965,0.455,-0.0029845528422651757,,0.9849190184786304,,0.9879035713208956,
