split_type,recommendation_mode,method,method_family,moa_hit@1,moa_hit@5,moa_mrr,moa_ndcg,target_hit@5,target_mrr,decision_regret,minority_state_coverage,n_queries
partial_library,DART_recommended,DART_coverage_worst,DART_coverage,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07835443629774937,0.9792566914004854,43
partial_library,DART_recommended,DART_energy,DART_distributional,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14099467077920602,0.9776845845337714,43
partial_library,DART_recommended,DART_mmd,DART_distributional,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1426916566005973,0.9776302731466061,43
partial_library,DART_recommended,DART_sliced_wasserstein,DART_distributional,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15055467916089435,0.9773500202027349,43
partial_library,DART_recommended,cmap_match,cmap_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1633384394091229,0.9591694598789989,43
partial_library,DART_recommended,cmap_reverse,cmap_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24617911494055458,0.9730377734477716,43
partial_library,DART_recommended,mean_cosine,mean_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1633384394091229,0.9591694598789989,43
partial_library,DART_recommended,mean_l2,mean_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14320517695227333,0.9777802977614428,43
partial_library,mean_or_no_call,DART_coverage_mean,DART_coverage,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05320930480957031,0.9869583699148049,2
partial_library,mean_or_no_call,DART_coverage_worst,DART_coverage,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06994247436523438,0.9869709981900505,2
partial_library,mean_or_no_call,DART_energy,DART_distributional,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03270435333251953,0.9875352296793733,2
partial_library,mean_or_no_call,DART_mmd,DART_distributional,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.027233123779296875,0.9877063811540655,2
partial_library,mean_or_no_call,DART_sliced_wasserstein,DART_distributional,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04463005065917969,0.9881445022731441,2
partial_library,mean_or_no_call,cmap_match,cmap_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011292457580566406,0.9797250453971617,2
partial_library,mean_or_no_call,cmap_reverse,cmap_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16730022430419922,0.9817680477213035,2
partial_library,mean_or_no_call,mean_cosine,mean_signature,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011292457580566406,0.9797250453971617,2
