split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,information_condition_mode,subpopulation_variance_ratio,isotropy_index,response_diversity,mean_energy_disagreement,bootstrap_rank_stability,preference_conflict_topk,structure_reliability_score,recommendation_mode,seed
leave_MoA_out,A549,Celecoxib,Neuronal Signaling,0.9787234042553191,observed,0.02947476452855745,3.210374781768156e-42,0.5935566749764447,0.23473509147065807,0.6,0.5050847457627119,0.46993724309804713,DART_recommended,0
leave_MoA_out,A549,Ramelteon,GPCR & G Protein,0.9893617021276596,observed,0.030125582559793123,2.200038588989963e-43,0.6079860484060929,0.44257316397353963,0.4,0.5926553672316384,0.46607595991072753,DART_recommended,0
partial_library,A549,batch,batch,0.2,observed,0.02958611623487929,8.772128386673355e-43,0.5746391135364322,0.42492492492492495,0.6,0.6261261261261262,0.5349459837820048,DART_recommended,0
partial_library,A549,batch,batch,0.4,observed,0.035850848868541584,1.4503439105761857e-42,0.6278382635835427,0.4663063063063063,0.4,0.6892655367231638,0.49354358017118616,DART_recommended,0
partial_library,A549,batch,batch,0.6,observed,0.03161776184529158,2.939924178153466e-42,0.608783443585113,0.41023166023166024,0.2,0.6429378531073446,0.37931271097546715,mean_or_no_call,0
leave_drug_out,A549,Hesperadin,Cell Cycle,1.0,observed,0.04911175818270326,1.401298464324817e-43,0.58781907584799,0.32125812201713533,0.6,0.7344632768361582,0.5585575248389061,DART_recommended,1
leave_drug_out,A549,Celecoxib,Neuronal Signaling,1.0,observed,0.02408870601014492,4.548614815198356e-42,0.6030229025989322,0.3213967395253863,0.8,0.4864406779661017,0.5650572671242132,DART_recommended,1
leave_drug_out,A549,WHI-P154,JAK/STAT,1.0,observed,0.028564251937538414,6.621135243934761e-42,0.5954842326868719,0.3738140417457305,0.4,0.5124293785310734,0.43607609369230815,DART_recommended,1
leave_drug_out,A549,Givinostat (ITF2357),Cytoskeletal Signaling,1.0,observed,0.10757312647592127,1.5680529815794703e-42,0.6792325641881282,0.19147835087114023,1.0,0.503954802259887,0.6849406792237119,DART_recommended,1
leave_drug_out,A549,UNC1999,Epigenetics,1.0,observed,0.03581673706949544,1.8357009882655104e-43,0.6208308633008794,0.36426887470530733,0.4,0.6389830508474577,0.4570274036854318,DART_recommended,1
leave_drug_out,A549,FLLL32,JAK/STAT,1.0,observed,0.03379479115559663,1.1210387714598537e-44,0.607495436165201,0.42648496348686105,0.4,0.6005649717514124,0.47140365430371134,DART_recommended,1
leave_drug_out,A549,Zileuton,Metabolism,1.0,observed,0.0379311814532845,1.7740438558352184e-42,0.5863359276853015,0.4478178368121442,0.4,0.6700564971751413,0.48916338001263415,DART_recommended,1
leave_drug_out,A549,S3I-201,JAK/STAT,1.0,observed,0.02985593862643273,4.007713607968977e-43,0.5904205107569096,0.3150714469779917,0.2,0.592090395480226,0.33888487339728623,mean_or_no_call,1
leave_drug_out,A549,AC480 (BMS-599626),Protein Tyrosine Kinase,1.0,observed,0.031414520735799624,3.578916277885583e-42,0.6138201750942212,0.4464650239852333,0.6,0.6011299435028249,0.5518883381116526,DART_recommended,1
