cell_line,drug,G_oracle_vs_cos,corrected_flip_oracle_vs_cos,reverse_flip_oracle_vs_cos,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_l2,corrected_flip_oracle_vs_l2,reverse_flip_oracle_vs_l2,RR_ref_oracle_vs_l2,RR_pop_oracle_vs_l2,A_sup,A_unsup,G_gap,S_int,S_main,interaction_share,R_int,D_old,norm_r_G1,norm_r_G2M,n_treated_G1,n_treated_G2M,G_pred_average_effect,G_pred_linear_latent,G_pred_nearest_context,G_pred_nearest_context_cells,G_pred_ot_map,H,H_l2,log_S_int
A-172,ETC-206,0.1,0.2,0.0,0.9,1.0,0.0,0.0,0.0,1.0,1.0,0.7333333333333333,0.5066666666666666,0.2266666666666666,5.580854162366853e-05,0.0002489829565294,0.1831039971975344,0.1068361690091286,0.3868371297047965,0.9557024240493774,0.9144180417060852,751,495,0.0,0.0,-0.2,0.0,0.1,0.09999999999999998,0.0,-4.253299326221356
A-172,EX229,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9566666666666668,0.785,0.1716666666666666,0.0006587963913463,0.0023367409697837,0.2199259471422002,0.5823034809633717,0.1658714596163295,2.5944411754608154,2.3175084590911865,1016,280,0.0,0.0,0.1,0.1,0.0,0.0,0.0,-3.1812487884073857
A-172,Elimusertib hydrochloride,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9383333333333334,0.5800000000000001,0.3583333333333333,0.0005597915345182,0.0023737777645389,0.1908226728095783,0.4413452874538008,0.1608422670210094,2.6686065196990967,2.2945778369903564,328,169,0.2,0.3,-0.6633333333333333,-0.5900000000000001,0.23333333333333334,0.0,0.0,-3.251973673465125
A-172,Encorafenib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.91,0.5449999999999999,0.3650000000000001,0.000269105976137,0.0014720314803222,0.1545575710514341,0.3866716231527062,0.1464411532958963,1.9453221559524536,1.9537817239761357,2210,820,0.0,0.0,-0.03333333333333334,0.06666666666666667,0.23333333333333334,0.0,0.0,-3.5700766575892615
A-172,Erdafitinib ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7783333333333333,0.5283333333333333,0.25,1.5798847097256737e-05,0.000427581817429,0.0356326929910982,0.035016619517842,0.2348539247717833,1.1361415386199951,1.1182132959365845,712,484,0.0,0.0,-0.3,-0.75,0.0,0.0,0.0,-4.801374604030901
A-172,Everolimus,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.755,0.5366666666666666,0.2183333333333333,8.212484115372516e-06,0.0003501992000059,0.0229135501971848,0.0201279397723919,0.2518566429453837,1.0102647542953491,1.0750069618225098,1769,1257,0.0,0.0,0.2,-0.1111904761904762,0.0,0.0,0.0,-5.08552545744589
A-172,Futibatinib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7933333333333333,0.6166666666666667,0.1766666666666666,0.0001184927787916,0.0005820108163687,0.1691537054345821,0.1741454924762313,0.2625365631430961,1.395347237586975,1.2347205877304075,547,278,0.0,0.0,-0.4,-0.5880952380952381,0.0,0.0,0.0,-3.9263081157004613
A-172,GSK1059615,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9583333333333334,0.805,0.1533333333333333,0.000687154320379,0.0029514072462916,0.1888532893529793,0.6013573517364782,0.1417964666911687,2.7392051219940186,2.7198715209960938,2053,1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.162945718598693
A-172,Gemcitabine,0.1,0.2,0.0,0.9,1.0,0.0,0.0,0.0,1.0,1.0,0.7216666666666667,0.5666666666666667,0.155,0.0002871068013418,0.0005337431457721,0.3497677040136867,0.3612395647122802,0.3322510243900223,1.0491474866867063,1.508466720581055,973,679,0.0,0.0,-0.7212626262626263,-0.1815800865800866,0.043333333333333335,0.09999999999999998,0.0,-3.5419565192756064
A-172,HI-TOPK-032,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9583333333333334,0.7466666666666667,0.2116666666666666,0.0006123241813232,0.0021187648591068,0.2242051329190019,0.5791542780498413,0.1740286991549938,2.26903772354126,2.413393974304199,359,413,0.0,0.0,-0.9446153995194916,-0.8888217338217338,0.0,0.0,0.0,-3.213018589481686
