subpop_variance_ratio,split_half_stability,response_diversity,isotropy_index,n_cells,pair,drug,seed,source,predictor,synth,score_disagreement
0.13243621798532035,0.963681823015213,0.2582315024498414,0.8163743643594378,200,K562+A549,AC480 (BMS-599626),1,real_blend,real_blend,real,0.5
0.02838776234616276,0.9846635937690735,0.12631198538921884,0.9806287109677914,200,K562+A549,AC480 (BMS-599626),1,real_single,real_single,real,
0.15007595442131053,0.9711381614208221,0.26618641234330553,0.7948874889315203,200,K562+A549,AC480 (BMS-599626),1,predicted,average_effect,cells,0.5
0.15007595442131053,0.9710826575756073,0.26606593671738044,0.7948875854062425,200,K562+A549,AC480 (BMS-599626),1,predicted,nearest_neighbor,cells,0.5
0.4836628046970734,0.9936619997024536,0.6284261044929739,0.6141158552494681,200,K562+A549,AC480 (BMS-599626),1,predicted,scgen,cells,1.0
0.008948268867933573,0.978585010766983,0.05758286934607737,0.9979524750355001,200,K562+A549,AC480 (BMS-599626),1,predicted,average_effect,gaussian,0.5
0.008905238792635814,0.9785370290279388,0.05747406929905807,0.9979530099415798,200,K562+A549,AC480 (BMS-599626),1,predicted,nearest_neighbor,gaussian,1.0
0.008434258240087145,0.9825032949447632,0.05159455283063086,0.9981046030425248,200,K562+A549,AC480 (BMS-599626),1,predicted,scgen,gaussian,1.0
0.13772755427948777,0.9662953615188599,0.23786774821591383,0.80823812157773,200,K562+A549,AC480 (BMS-599626),2,real_blend,real_blend,real,0.5
0.02838776234616276,0.9839821457862854,0.13132007884262442,0.9806287109677914,200,K562+A549,AC480 (BMS-599626),2,real_single,real_single,real,
0.14201314819526262,0.9652772843837738,0.23975502156171646,0.8089565513626203,200,K562+A549,AC480 (BMS-599626),2,predicted,average_effect,cells,0.5
0.14201314819526262,0.9651335179805756,0.23945704952082525,0.8089566340593307,200,K562+A549,AC480 (BMS-599626),2,predicted,nearest_neighbor,cells,0.5
0.47291152258433033,0.9912152409553527,0.6166831361748755,0.6323490833216535,200,K562+A549,AC480 (BMS-599626),2,predicted,scgen,cells,1.0
0.009127493915047245,0.978930139541626,0.06179342286390499,0.9974243537366775,200,K562+A549,AC480 (BMS-599626),2,predicted,average_effect,gaussian,0.5
0.009127234838806201,0.9788726508617401,0.06206998030714772,0.9974245193317719,200,K562+A549,AC480 (BMS-599626),2,predicted,nearest_neighbor,gaussian,1.0
0.00815282128956068,0.9828034162521362,0.05425898697196663,0.9977902203584235,200,K562+A549,AC480 (BMS-599626),2,predicted,scgen,gaussian,1.0
0.1359795490580455,0.9669581413269043,0.23998625832723786,0.8047898761683434,200,K562+A549,AC480 (BMS-599626),3,real_blend,real_blend,real,0.5
0.02838776234616276,0.9846396744251251,0.11749041175407582,0.9806287109677914,200,K562+A549,AC480 (BMS-599626),3,real_single,real_single,real,
0.14283495635407054,0.9676922738552094,0.2539432448119756,0.8051623416560082,200,K562+A549,AC480 (BMS-599626),3,predicted,average_effect,cells,0.5
0.1428349695434991,0.967565530538559,0.25496235943934886,0.8051623622833899,200,K562+A549,AC480 (BMS-599626),3,predicted,nearest_neighbor,cells,0.5
0.4867975945238115,0.9927635550498962,0.6234936453522152,0.6224156569042039,200,K562+A549,AC480 (BMS-599626),3,predicted,scgen,cells,-0.5
0.00900510780377909,0.9782013237476349,0.056466826651497715,0.9975734537703994,200,K562+A549,AC480 (BMS-599626),3,predicted,average_effect,gaussian,0.5
0.009005052695505012,0.9780993342399598,0.05645794275005456,0.9975738677258311,200,K562+A549,AC480 (BMS-599626),3,predicted,nearest_neighbor,gaussian,1.0
0.008394520837688766,0.9821996212005615,0.04926883136931337,0.9981269309927944,200,K562+A549,AC480 (BMS-599626),3,predicted,scgen,gaussian,1.0
0.1332738299077405,0.9637896299362183,0.22739103741243305,0.8223885164145227,200,K562+A549,AG-14361,0,real_blend,real_blend,real,0.5
0.029628939818841637,0.9865782022476196,0.13303208401302158,0.9809871711817141,200,K562+A549,AG-14361,0,real_single,real_single,real,
0.1395417097848702,0.9640031099319458,0.22791261113971117,0.8123362332004957,200,K562+A549,AG-14361,0,predicted,average_effect,cells,0.5
0.1395417097848702,0.9643181324005127,0.2294933074208405,0.8123361376723689,200,K562+A549,AG-14361,0,predicted,nearest_neighbor,cells,0.5
0.46396555995782873,0.990400207042694,0.5824822593855693,0.6370967991889525,200,K562+A549,AG-14361,0,predicted,scgen,cells,1.0
0.008638623857415942,0.9778770446777344,0.0595527629017949,0.9975260557792338,200,K562+A549,AG-14361,0,predicted,average_effect,gaussian,0.5
0.008638861110945036,0.978031986951828,0.05966354292698528,0.9975259069375901,200,K562+A549,AG-14361,0,predicted,nearest_neighbor,gaussian,1.0
0.007959214194069761,0.9818796217441559,0.05390279596812575,0.9980026880783074,200,K562+A549,AG-14361,0,predicted,scgen,gaussian,1.0
0.14532470042334206,0.9579902768135071,0.24240276071607747,0.8043379353390013,200,K562+A549,AG-14361,1,real_blend,real_blend,real,0.5
0.029628939818841637,0.9870548665523529,0.14190887467087265,0.9809871711817141,200,K562+A549,AG-14361,1,real_single,real_single,real,
0.15007586280124807,0.9710042774677277,0.26456996825927503,0.7948875805988738,200,K562+A549,AG-14361,1,predicted,average_effect,cells,0.5
0.15007595442131053,0.9712085008621216,0.26550777135278547,0.7948875607809194,200,K562+A549,AG-14361,1,predicted,nearest_neighbor,cells,0.5
0.4836628046970734,0.9936193406581879,0.6263685007551166,0.6141158598447229,200,K562+A549,AG-14361,1,predicted,scgen,cells,1.0
0.008948398833505757,0.978403627872467,0.057509340702269984,0.9979524628455091,200,K562+A549,AG-14361,1,predicted,average_effect,gaussian,0.5
0.008905238792635814,0.9785791993141174,0.057769086579032125,0.9979530144035832,200,K562+A549,AG-14361,1,predicted,nearest_neighbor,gaussian,1.0
0.008434231372632467,0.9823975265026093,0.05137150940405033,0.9981046062876167,200,K562+A549,AG-14361,1,predicted,scgen,gaussian,1.0
0.13902921163366658,0.9623428404331207,0.23858435902408215,0.8162974803704695,200,K562+A549,AG-14361,2,real_blend,real_blend,real,0.5
0.029628939818841637,0.9871054649353027,0.1315536873431017,0.9809871711817141,200,K562+A549,AG-14361,2,real_single,real_single,real,
0.14201314819526262,0.9649733364582062,0.23722945664430595,0.8089566088066147,200,K562+A549,AG-14361,2,predicted,average_effect,cells,0.5
0.14201314819526262,0.9652537643909455,0.23999253373921525,0.8089566660000955,200,K562+A549,AG-14361,2,predicted,nearest_neighbor,cells,0.5
0.4729114764007391,0.9911238253116608,0.6129561157109366,0.6323489855980158,200,K562+A549,AG-14361,2,predicted,scgen,cells,1.0
0.009127450727192775,0.9787448167800903,0.0625517571486145,0.9974243473393564,200,K562+A549,AG-14361,2,predicted,average_effect,gaussian,0.5
0.009127234838806201,0.9789311170578003,0.06175036481089813,0.9974245269290569,200,K562+A549,AG-14361,2,predicted,nearest_neighbor,gaussian,1.0
0.00815282128956068,0.9827080130577087,0.05448748509906998,0.9977902160700105,200,K562+A549,AG-14361,2,predicted,scgen,gaussian,1.0
0.1471611352680494,0.9670466840267181,0.2388645653547814,0.8073045343606965,200,K562+A549,AG-14361,3,real_blend,real_blend,real,0.5
0.029628939818841637,0.9868955373764038,0.14721712354906202,0.9809871711817141,200,K562+A549,AG-14361,3,real_single,real_single,real,
0.1428349695434991,0.9674205780029297,0.25350800685432595,0.8051624270401544,200,K562+A549,AG-14361,3,predicted,average_effect,cells,0.5
0.1428349695434991,0.9676990687847138,0.2541219855418335,0.8051623063180008,200,K562+A549,AG-14361,3,predicted,nearest_neighbor,cells,0.5
0.4867976303316661,0.992676293849945,0.6210760078261812,0.6224156991559009,200,K562+A549,AG-14361,3,predicted,scgen,cells,-0.5
0.00900510780377909,0.9780174732208252,0.05660864055559456,0.9975734372151291,200,K562+A549,AG-14361,3,predicted,average_effect,gaussian,0.5
0.009005052695505012,0.9782145202159882,0.056600406222262256,0.9975738532100921,200,K562+A549,AG-14361,3,predicted,nearest_neighbor,gaussian,1.0
0.008394520837688766,0.9820984959602356,0.04907134379803013,0.9981269310688738,200,K562+A549,AG-14361,3,predicted,scgen,gaussian,1.0
0.1422031487952907,0.9665613830089569,0.25402524645837177,0.8052926941879167,200,K562+A549,AG-490 (Tyrphostin B42),0,real_blend,real_blend,real,0.5
0.03154673203802149,0.9863586902618409,0.1380519127798433,0.9792607775876216,200,K562+A549,AG-490 (Tyrphostin B42),0,real_single,real_single,real,
0.1395417097848702,0.9629191994667053,0.23008785039099744,0.8123362253659375,200,K562+A549,AG-490 (Tyrphostin B42),0,predicted,average_effect,cells,0.5
0.1395417097848702,0.9638409674167633,0.23042922024038703,0.8123361831834911,200,K562+A549,AG-490 (Tyrphostin B42),0,predicted,nearest_neighbor,cells,0.5
0.46396556575517534,0.9901018142700195,0.5927403930187736,0.6370967428241915,200,K562+A549,AG-490 (Tyrphostin B42),0,predicted,scgen,cells,0.5
0.008638710499682413,0.9772155344486236,0.06034402828033103,0.9975260701583852,200,K562+A549,AG-490 (Tyrphostin B42),0,predicted,average_effect,gaussian,0.5
0.008638775211356451,0.9777495563030243,0.05997979493079175,0.9975258994675945,200,K562+A549,AG-490 (Tyrphostin B42),0,predicted,nearest_neighbor,gaussian,1.0
0.007959214194069761,0.9813215672969818,0.05408677033783904,0.9980026901913991,200,K562+A549,AG-490 (Tyrphostin B42),0,predicted,scgen,gaussian,1.0
0.13527371646906486,0.9576711475849151,0.21612470311948828,0.8192625167500887,200,K562+A549,AG-490 (Tyrphostin B42),1,real_blend,real_blend,real,0.5
0.03154673203802149,0.9851938366889954,0.14169726713462405,0.9792607775876216,200,K562+A549,AG-490 (Tyrphostin B42),1,real_single,real_single,real,
0.15007587627599075,0.9701286852359772,0.2667858896316869,0.7948875276841887,200,K562+A549,AG-490 (Tyrphostin B42),1,predicted,average_effect,cells,0.5
0.15007586280124807,0.9708385348320008,0.26676214768811046,0.7948875318698875,200,K562+A549,AG-490 (Tyrphostin B42),1,predicted,nearest_neighbor,cells,0.5
