pair,drug,seed,predictor,synth,induced_response_cosine
K562+A549,AC480 (BMS-599626),0,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),0,scgen,gaussian,
K562+A549,AC480 (BMS-599626),1,real_blend,real,-0.03134088939612921
K562+A549,AC480 (BMS-599626),1,average_effect,cells,0.05537675488905482
K562+A549,AC480 (BMS-599626),1,nearest_neighbor,cells,0.2164701554153195
K562+A549,AC480 (BMS-599626),1,scgen,cells,0.2195622860377171
K562+A549,AC480 (BMS-599626),1,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),1,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),1,scgen,gaussian,
K562+A549,AC480 (BMS-599626),2,real_blend,real,0.05798267580438482
K562+A549,AC480 (BMS-599626),2,average_effect,cells,0.1094792224569884
K562+A549,AC480 (BMS-599626),2,nearest_neighbor,cells,0.21535702127063203
K562+A549,AC480 (BMS-599626),2,scgen,cells,-0.008091407424929819
K562+A549,AC480 (BMS-599626),2,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),2,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),2,scgen,gaussian,
K562+A549,AC480 (BMS-599626),3,real_blend,real,-0.01368828231292069
K562+A549,AC480 (BMS-599626),3,average_effect,cells,0.0974624394707553
K562+A549,AC480 (BMS-599626),3,nearest_neighbor,cells,0.1758571048111919
K562+A549,AC480 (BMS-599626),3,scgen,cells,0.2659165552444684
K562+A549,AC480 (BMS-599626),3,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),3,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),3,scgen,gaussian,
K562+A549,AC480 (BMS-599626),4,real_blend,real,-0.0179322081227001
K562+A549,AC480 (BMS-599626),4,average_effect,cells,0.06980037480888902
K562+A549,AC480 (BMS-599626),4,nearest_neighbor,cells,0.18572143511250597
K562+A549,AC480 (BMS-599626),4,scgen,cells,-0.0750869379341816
K562+A549,AC480 (BMS-599626),4,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),4,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),4,scgen,gaussian,
K562+A549,AC480 (BMS-599626),5,real_blend,real,0.02498315821113196
K562+A549,AC480 (BMS-599626),5,average_effect,cells,0.055393641576539865
K562+A549,AC480 (BMS-599626),5,nearest_neighbor,cells,0.1731768873423552
K562+A549,AC480 (BMS-599626),5,scgen,cells,-0.027246855041647207
K562+A549,AC480 (BMS-599626),5,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),5,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),5,scgen,gaussian,
K562+A549,AC480 (BMS-599626),6,real_blend,real,0.02920293636830445
K562+A549,AC480 (BMS-599626),6,average_effect,cells,0.08253407437797018
K562+A549,AC480 (BMS-599626),6,nearest_neighbor,cells,0.19394529777781683
K562+A549,AC480 (BMS-599626),6,scgen,cells,0.17458931698879646
K562+A549,AC480 (BMS-599626),6,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),6,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),6,scgen,gaussian,
K562+A549,AC480 (BMS-599626),7,real_blend,real,-0.008266698382950083
K562+A549,AC480 (BMS-599626),7,average_effect,cells,0.1266673865956567
K562+A549,AC480 (BMS-599626),7,nearest_neighbor,cells,0.2502894184409324
