cell_line,drug,n_per_arm,A_sup,A_unsup,G
A-427,Adagrasib,300,0.5716666666666667,0.5716666666666667,0.0
A-427,Afatinib,300,0.95,0.7783333333333333,0.17166666666666663
A-427,Alpelisib,300,0.8133333333333334,0.6133333333333333,0.20000000000000007
A-427,Anastrozole,300,0.6716666666666666,0.5466666666666666,0.125
A-427,BAY1125976,300,0.8983333333333333,0.7366666666666667,0.16166666666666663
A-427,BI-3406,300,0.92,0.7016666666666667,0.21833333333333338
A-427,BI-78D3,300,0.745,0.5233333333333333,0.22166666666666668
A-427,Belumosudil (mesylate),300,0.8066666666666666,0.5433333333333333,0.2633333333333333
A-427,Belzutifan,300,0.8083333333333333,0.6016666666666667,0.20666666666666667
A-427,Bentamapimod,300,0.7466666666666667,0.5683333333333334,0.17833333333333334
A-427,Bimiralisib,300,0.9833333333333333,0.8833333333333333,0.09999999999999998
A-427,Binimetinib,300,0.9516666666666667,0.695,0.2566666666666667
A-427,Brivudine,300,0.9616666666666667,0.8616666666666667,0.09999999999999998
A-427,CP21R7,300,0.69,0.53,0.15999999999999992
A-427,Capivasertib,300,0.64,0.5066666666666667,0.1333333333333333
A-427,Capmatinib,300,0.935,0.5983333333333334,0.33666666666666667
A-427,Celecoxib,300,0.6166666666666667,0.5166666666666666,0.10000000000000009
A-427,DT-061,300,0.76,0.52,0.24
A-427,DTP3,300,0.7383333333333333,0.5816666666666667,0.15666666666666662
A-427,Dabrafenib,300,0.8883333333333333,0.6366666666666667,0.2516666666666666
A-427,ERK5-IN-2,300,0.86,0.5316666666666667,0.32833333333333325
A-427,ETC-206,300,0.655,0.5066666666666667,0.14833333333333332
A-427,EX229,300,0.88,0.5083333333333333,0.3716666666666667
A-427,Elimusertib hydrochloride,272,0.9558823529411765,0.5477941176470589,0.40808823529411764
A-427,Encorafenib,300,0.94,0.7983333333333333,0.1416666666666666
A-427,Erdafitinib ,300,0.7266666666666667,0.5766666666666667,0.15000000000000002
A-427,Everolimus,300,0.6283333333333333,0.5016666666666667,0.1266666666666666
A-427,Futibatinib,300,0.7133333333333334,0.5716666666666667,0.14166666666666672
A-427,GSK1059615,171,0.9239766081871345,0.5614035087719298,0.36257309941520466
A-427,Gemcitabine,300,0.6816666666666666,0.515,0.16666666666666663
A-427,HI-TOPK-032,300,0.9216666666666666,0.605,0.31666666666666665
A-427,Hydroxyfasudil,300,0.7216666666666667,0.5616666666666666,0.16000000000000003
A-427,IQ 1,300,0.7733333333333333,0.5216666666666666,0.2516666666666667
A-427,Infigratinib,300,0.8433333333333334,0.6016666666666667,0.2416666666666667
A-427,Ipatasertib,300,0.83,0.6216666666666667,0.20833333333333326
A-427,Irinotecan,300,0.77,0.5683333333333334,0.20166666666666666
A-427,Ixazomib,251,0.8844621513944223,0.5876494023904382,0.29681274900398413
A-427,LB-100,300,0.6683333333333333,0.5166666666666666,0.15166666666666673
A-427,LJI308,300,0.73,0.6066666666666667,0.1233333333333333
A-427,LY-2584702 (tosylate salt),268,0.8097014925373134,0.6100746268656716,0.19962686567164178
A-427,LY2090314,300,0.61,0.5866666666666667,0.023333333333333317
A-427,Lapatinib ditosylate,300,0.6783333333333333,0.5533333333333333,0.125
A-427,Lonafarnib,171,0.9766081871345029,0.6578947368421053,0.3187134502923976
A-427,MK-3903,300,0.7816666666666666,0.5133333333333333,0.2683333333333333
A-427,MK-8353,300,0.6633333333333333,0.5383333333333333,0.125
A-427,ML264,300,0.77,0.56,0.20999999999999996
A-427,Methylprednisolone succinate,300,0.755,0.5033333333333334,0.2516666666666666
