cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,induced_cosine,D,norm_r_G1,norm_r_G2M
RPMI-7951,Celecoxib,272,72,612,126,0.36097383332463817,0.6390261666753618,0.9994639158248901,1.4691084623336792
RPMI-7951,DT-061,178,54,612,126,0.4972006750259077,0.5027993249740923,1.471710205078125,1.7140694856643677
RPMI-7951,DTP3,191,37,612,126,,,,
RPMI-7951,Dabrafenib,1682,179,612,126,0.7925667198655784,0.20743328013442164,1.6889989376068115,1.677933692932129
RPMI-7951,ERK5-IN-2,1122,191,612,126,0.8268371666402391,0.1731628333597609,2.0471272468566895,1.9439059495925903
RPMI-7951,ETC-206,377,92,612,126,0.37861633321478927,0.6213836667852107,0.9747074246406555,1.3562625646591187
RPMI-7951,EX229,153,32,612,126,,,,
RPMI-7951,Elimusertib hydrochloride,126,32,612,126,,,,
RPMI-7951,Encorafenib,1671,185,612,126,0.800206805970359,0.19979319402964102,1.811418890953064,1.8422822952270508
RPMI-7951,Erdafitinib ,497,106,612,126,0.6257056231995894,0.37429437680041056,1.1766865253448486,1.4221633672714233
RPMI-7951,Everolimus,952,206,612,126,0.6096614849361356,0.3903385150638644,1.1752756834030151,1.3474293947219849
RPMI-7951,Futibatinib,192,28,612,126,,,,
RPMI-7951,GSK1059615,650,139,612,126,0.8474582129043464,0.15254178709565358,2.790093183517456,2.2809317111968994
RPMI-7951,Gemcitabine,586,140,612,126,0.517223644223368,0.482776355776632,1.2299869060516357,1.3881983757019043
RPMI-7951,HI-TOPK-032,227,90,612,126,0.7432956771799992,0.2567043228200008,2.1869308948516846,2.0209412574768066
RPMI-7951,Hydroxyfasudil,167,43,612,126,,,,
RPMI-7951,IQ 1,249,55,612,126,0.6776027952890399,0.3223972047109601,1.8024111986160278,1.8626245260238647
RPMI-7951,Infigratinib,368,63,612,126,0.6581053451529768,0.3418946548470232,1.6959954500198364,1.8312150239944458
RPMI-7951,Ipatasertib,1019,188,612,126,0.7856129073105376,0.21438709268946243,1.7177530527114868,1.7138996124267578
RPMI-7951,Irinotecan,795,177,612,126,0.6569290591757432,0.3430709408242568,1.3744685649871826,1.371626377105713
RPMI-7951,Ixazomib,223,46,612,126,,,,
RPMI-7951,LB-100,383,75,612,126,0.39987341228719137,0.6001265877128086,0.9737401008605957,1.511237382888794
RPMI-7951,LJI308,228,34,612,126,,,,
RPMI-7951,LY2090314,607,119,612,126,0.45525655955292055,0.5447434404470795,1.0143027305603027,1.3240509033203125
RPMI-7951,Lapatinib ditosylate,771,132,612,126,0.4668162935687405,0.5331837064312595,0.9825824499130249,1.2590833902359009
RPMI-7951,MK-3903,261,62,612,126,0.7253254851739542,0.27467451482604577,2.2260212898254395,2.0444424152374268
RPMI-7951,MK-8353,282,46,612,126,,,,
RPMI-7951,ML264,860,153,612,126,0.6948340581948652,0.3051659418051348,1.2587891817092896,1.4283499717712402
RPMI-7951,Methylprednisolone succinate,261,64,612,126,0.2931997100064063,0.7068002899935937,1.2215681076049805,1.3741958141326904
RPMI-7951,Minodronic acid,344,67,612,126,0.43101702544545756,0.5689829745545425,1.1128510236740112,1.4544172286987305
RPMI-7951,NG25,141,46,612,126,,,,
RPMI-7951,NVP-BHG712,469,99,612,126,0.568008853518084,0.43199114648191606,1.2162054777145386,1.4861299991607666
RPMI-7951,OTS514,128,33,612,126,,,,
RPMI-7951,Oleic acid,298,64,612,126,0.34831234289943885,0.6516876571005612,1.086329460144043,1.4885566234588623
RPMI-7951,Oxaliplatin,382,92,612,126,0.5502765094940483,0.44972349050595173,1.1785788536071777,1.4057722091674805
RPMI-7951,PF-06260933,261,37,612,126,,,,
RPMI-7951,PH-797804,448,77,612,126,0.9005370044015284,0.0994629955984716,4.173094272613525,3.3624744415283203
RPMI-7951,Paclitaxel,1604,262,612,126,0.7532227682006474,0.24677723179935263,1.4564586877822876,1.52583909034729
RPMI-7951,Pemigatinib,334,71,612,126,0.5372882812704141,0.46271171872958594,1.4378987550735474,1.8307743072509766
RPMI-7951,Pimitespib,122,38,612,126,,,,
RPMI-7951,Pralsetinib,155,45,612,126,,,,
RPMI-7951,RMC-6236,1240,128,612,126,0.8552135966109987,0.14478640338900128,2.304774761199951,2.2206625938415527
RPMI-7951,Ralimetinib dimesylate,636,123,612,126,0.550854958785979,0.449145041214021,1.2508102655410767,1.4636465311050415
RPMI-7951,Regorafenib,374,96,612,126,0.7348515911553087,0.26514840884469126,1.8970104455947876,1.8208178281784058
RPMI-7951,SBI-0640756,206,38,612,126,,,,
RPMI-7951,Sapanisertib,1240,148,612,126,0.8465090160035649,0.15349098399643513,2.4859862327575684,2.159984588623047
RPMI-7951,Sonidegib,117,27,612,126,,,,
RPMI-7951,TAK-733,264,35,612,126,,,,
RPMI-7951,TAK-901,813,109,612,126,0.9493174175447948,0.05068258245520518,6.4905171394348145,4.9552693367004395
RPMI-7951,Temuterkib,598,121,612,126,0.5935736700903606,0.40642632990963945,1.2072852849960327,1.5681047439575195
RPMI-7951,Tomivosertib,538,107,612,126,0.7353160057385288,0.26468399426147116,1.4683338403701782,1.7315939664840698
RPMI-7951,Torkinib,146,42,612,126,,,,
RPMI-7951,Trametinib,870,161,612,126,0.873975998192343,0.12602400180765705,2.680142402648926,2.4340829849243164
RPMI-7951,Tubulin inhibitor 6,231,54,612,126,0.3091675370011864,0.6908324629988136,1.1535385847091675,1.7490016222000122
RPMI-7951,Tucatinib,887,147,612,126,0.531019056813971,0.468980943186029,1.0895377397537231,1.3034495115280151
RPMI-7951,ULK-101,172,28,612,126,,,,
RPMI-7951,Vemurafenib,967,154,612,126,0.6871869958473942,0.3128130041526058,1.2695940732955933,1.4970935583114624
RPMI-7951,Volasertib,271,52,612,126,0.249062125518147,0.750937874481853,0.9920669794082642,1.5040730237960815
RPMI-7951,XRK3F2,1070,134,612,126,0.7492738236475533,0.25072617635244665,1.4899170398712158,1.7023308277130127
RPMI-7951,c-Kit-IN-1,193,47,612,126,,,,
RPMI-7951,olaparib,318,78,612,126,0.5326561890802051,0.46734381091979493,1.356831431388855,1.8381613492965698
RPMI-7951,palbociclib,369,67,612,126,0.532935988275366,0.46706401172463397,1.4529541730880737,1.7341102361679077
RPMI-7951,venetoclax,133,40,612,126,,,,
RPMI-7951,vincristine,111,32,612,126,,,,
SHP-77,4EGI-1,144,111,182,196,0.5448060786753274,0.4551939213246726,1.8536564111709595,1.8517261743545532
SHP-77,9-ING-41,423,283,182,196,0.60443700836064,0.39556299163936004,1.3897759914398193,1.3321802616119385
SHP-77,APTO-253,274,160,182,196,0.45527451714593764,0.5447254828540624,1.2832581996917725,1.3573241233825684
SHP-77,AT7519,119,64,182,196,0.4728333012755993,0.5271666987244007,1.5505746603012085,1.9156476259231567
SHP-77,AZD-7648,123,116,182,196,0.6781744173464966,0.32182558265350336,2.339426040649414,1.9250308275222778
SHP-77,AZD-8055,186,119,182,196,0.6543002240603234,0.3456997759396766,2.397151470184326,1.9853304624557495
SHP-77,AZD1390,159,115,182,196,0.3970305378247529,0.602969462175247,1.6733866930007935,1.9576356410980225
SHP-77,AZD2858,72,62,182,196,0.29171038316266923,0.7082896168373307,1.6726722717285156,1.6757893562316895
SHP-77,Abemaciclib,164,140,182,196,0.7829549785910168,0.21704502140898319,2.412264585494995,2.093679904937744
SHP-77,Adagrasib,64,81,182,196,0.1995156953193967,0.8004843046806033,1.4557996988296509,1.4899839162826538
SHP-77,Afatinib,488,268,182,196,0.8187803246782729,0.18121967532172711,2.5046632289886475,2.10648512840271
SHP-77,Alpelisib,70,89,182,196,0.7018284065288375,0.2981715934711625,2.6085774898529053,2.036135673522949
SHP-77,Anastrozole,179,184,182,196,0.41051796406916563,0.5894820359308344,1.4429830312728882,1.305190086364746
SHP-77,BAY1125976,702,254,182,196,0.8068122593299677,0.1931877406700323,2.114605188369751,2.1467418670654297
SHP-77,BI-3406,172,168,182,196,0.7133217323269351,0.2866782676730649,2.347352981567383,1.8756723403930664
SHP-77,BI-78D3,291,199,182,196,0.43877037723668,0.56122962276332,1.3219894170761108,1.1898130178451538
SHP-77,Belumosudil (mesylate),220,117,182,196,0.5265935139821287,0.4734064860178713,1.4492918252944946,1.5255467891693115
SHP-77,Belzutifan,66,102,182,196,0.6414005177152532,0.3585994822847468,2.3421361446380615,2.0028624534606934
SHP-77,Bentamapimod,207,126,182,196,0.4829025558503592,0.5170974441496408,1.3906428813934326,1.4985339641571045
SHP-77,Bimiralisib,386,199,182,196,0.8330851197559267,0.1669148802440733,2.539903402328491,2.2142655849456787
SHP-77,Binimetinib,81,68,182,196,0.6809033336182541,0.31909666638174594,2.3965492248535156,2.346672534942627
SHP-77,Bortezomib,54,22,182,196,,,,
SHP-77,Brivudine,303,190,182,196,0.82727439938633,0.17272560061367004,3.172564744949341,2.9414405822753906
SHP-77,CP21R7,106,109,182,196,0.29915010364233474,0.7008498963576653,1.4621360301971436,1.266645908355713
SHP-77,Capivasertib,77,96,182,196,0.28464599519868844,0.7153540048013116,1.5710785388946533,1.3326821327209473
SHP-77,Capmatinib,86,90,182,196,0.5507249046837581,0.4492750953162419,2.190840005874634,1.6957169771194458
SHP-77,Celecoxib,141,139,182,196,0.296833786347399,0.703166213652601,1.292266845703125,1.3521314859390259
SHP-77,DT-061,87,110,182,196,0.5434765465328365,0.4565234534671635,2.103545665740967,1.6863499879837036
SHP-77,DTP3,114,139,182,196,0.41423098700943156,0.5857690129905684,1.4679580926895142,1.496343731880188
SHP-77,Dabrafenib,778,372,182,196,0.8139764046027584,0.18602359539724156,1.9296581745147705,2.0608930587768555
SHP-77,ERK5-IN-2,615,299,182,196,0.6374193714828598,0.36258062851714024,1.5948330163955688,1.4064897298812866
SHP-77,ETC-206,123,107,182,196,0.3047481089145445,0.6952518910854555,1.3510112762451172,1.512242078781128
SHP-77,EX229,115,88,182,196,0.6575701995851593,0.3424298004148407,2.262007713317871,2.301896810531616
SHP-77,Elimusertib hydrochloride,84,75,182,196,0.6496628139143807,0.35033718608561926,2.6152024269104004,2.127915859222412
SHP-77,Encorafenib,656,360,182,196,0.7578847127583068,0.24211528724169318,1.7669340372085571,1.7038331031799316
SHP-77,Erdafitinib ,239,146,182,196,0.4353414712066611,0.5646585287933389,1.2778935432434082,1.3803457021713257
SHP-77,Everolimus,361,283,182,196,0.4080922196767504,0.5919077803232495,1.1784201860427856,1.222501516342163
SHP-77,Futibatinib,82,88,182,196,0.460094817926153,0.539905182073847,1.619166374206543,1.5889798402786255
SHP-77,GSK1059615,463,273,182,196,0.7757625455033863,0.2242374544966137,2.004817008972168,2.128591775894165
SHP-77,Gemcitabine,204,190,182,196,0.38144350911994523,0.6185564908800547,1.252335786819458,1.3341312408447266
SHP-77,HI-TOPK-032,107,126,182,196,0.754567180131358,0.24543281986864196,2.637462854385376,2.323162794113159
SHP-77,Hydroxyfasudil,132,86,182,196,0.4310296527740856,0.5689703472259144,1.3943533897399902,1.5680049657821655
SHP-77,IQ 1,51,45,182,196,,,,
SHP-77,Infigratinib,153,114,182,196,0.59953126063804,0.40046873936196004,1.6729326248168945,1.773592472076416
SHP-77,Ipatasertib,379,261,182,196,0.5646918706107731,0.4353081293892269,1.4556626081466675,1.3545407056808472
SHP-77,Irinotecan,289,281,182,196,0.515978252336811,0.48402174766318895,1.3121471405029297,1.44134521484375
SHP-77,Ixazomib,171,137,182,196,0.7231221362289589,0.27687786377104107,2.1704535484313965,2.0357184410095215
SHP-77,LB-100,169,140,182,196,0.46134493406725846,0.5386550659327416,1.353309988975525,1.4007889032363892
SHP-77,LJI308,102,74,182,196,0.3618125571218721,0.6381874428781279,1.5290179252624512,1.5949311256408691
SHP-77,LY2090314,273,208,182,196,0.49660670931614054,0.5033932906838594,1.2487328052520752,1.3010503053665161
SHP-77,Lapatinib ditosylate,285,208,182,196,0.41324825334148546,0.5867517466585146,1.205234169960022,1.2403005361557007
SHP-77,Lonafarnib,133,81,182,196,0.5798626760984272,0.42013732390157277,2.1070773601531982,2.063166379928589
SHP-77,MK-3903,154,92,182,196,0.590475463128065,0.409524536871935,2.0313236713409424,1.8807512521743774
SHP-77,MK-8353,96,99,182,196,0.1998045394854448,0.8001954605145551,1.473429799079895,1.5512478351593018
SHP-77,ML264,310,188,182,196,0.5835861081275148,0.41641389187248523,1.3696309328079224,1.3637847900390625
SHP-77,Methylprednisolone succinate,145,161,182,196,0.39221939476144,0.6077806052385599,1.2860305309295654,1.347129464149475
SHP-77,Minodronic acid,157,143,182,196,0.4722558860582859,0.527744113941714,1.3874658346176147,1.296473503112793
SHP-77,NG25,81,152,182,196,0.6837044856887243,0.31629551431127567,2.4913957118988037,2.5223751068115234
SHP-77,NVP-BHG712,177,107,182,196,0.5151202274866347,0.48487977251336534,1.4943199157714844,1.50397789478302
SHP-77,OTS514,56,53,182,196,0.2867170878705199,0.7132829121294801,1.8566547632217407,1.6791107654571533
SHP-77,Oleic acid,165,144,182,196,0.4178573637812752,0.5821426362187248,1.358485221862793,1.3999543190002441
SHP-77,Oxaliplatin,135,140,182,196,0.37038181308802864,0.6296181869119714,1.4505562782287598,1.399657964706421
SHP-77,PF-06260933,175,76,182,196,0.8107828270243904,0.18921717297560958,2.910026788711548,3.1314969062805176
SHP-77,PH-797804,275,157,182,196,0.6230690232710671,0.37693097672893294,1.7454979419708252,1.5146613121032715
SHP-77,Paclitaxel,487,348,182,196,0.7416892833199771,0.2583107166800229,2.053130626678467,1.6744431257247925
SHP-77,Pemigatinib,154,113,182,196,0.35325906139594315,0.6467409386040568,1.3291453123092651,1.3467252254486084
SHP-77,Pimitespib,52,66,182,196,0.26279061881777455,0.7372093811822255,1.6975468397140503,1.6169151067733765
SHP-77,Pralsetinib,73,62,182,196,0.5451411365523419,0.45485886344765813,2.1556360721588135,2.2695508003234863
SHP-77,RMC-6236,550,318,182,196,0.8137640324715864,0.18623596752841365,2.4360883235931396,1.9680062532424927
SHP-77,Ralimetinib dimesylate,219,138,182,196,0.5002177811187996,0.49978221888120045,1.3756951093673706,1.445066213607788
SHP-77,Regorafenib,160,135,182,196,0.59138626114371,0.40861373885629004,1.8881924152374268,1.6287612915039062
SHP-77,SBI-0640756,98,90,182,196,0.45769186423420205,0.542308135765798,1.5573455095291138,1.6364004611968994
SHP-77,Sapanisertib,676,294,182,196,0.7652974486345214,0.23470255136547857,1.9388294219970703,1.7636610269546509
SHP-77,Sonidegib,36,39,182,196,,,,
SHP-77,TAK-733,120,113,182,196,0.7469357611551882,0.2530642388448118,2.358560800552368,2.2167742252349854
SHP-77,TAK-901,548,213,182,196,0.9085265855517146,0.09147341444828538,3.926553964614868,3.843574285507202
SHP-77,Temuterkib,281,163,182,196,0.5465012721018948,0.4534987278981052,1.3172446489334106,1.3739393949508667
SHP-77,Tomivosertib,124,134,182,196,0.541442353340456,0.458557646659544,1.539586067199707,1.8465677499771118
SHP-77,Torkinib,46,79,182,196,,,,
SHP-77,Trametinib,324,221,182,196,0.8210962791765346,0.1789037208234654,2.525212526321411,2.1142210960388184
SHP-77,Tubulin inhibitor 6,108,99,182,196,0.33205202419638885,0.6679479758036111,1.42964506149292,1.3550608158111572
SHP-77,Tucatinib,158,167,182,196,0.4415850895145638,0.5584149104854361,1.429744839668274,1.4055113792419434
SHP-77,ULK-101,69,64,182,196,0.36672274173356406,0.6332772582664359,1.7044156789779663,1.6726638078689575
SHP-77,Vemurafenib,277,197,182,196,0.7174427061220872,0.28255729387791284,2.137096405029297,1.8356164693832397
SHP-77,Volasertib,101,76,182,196,0.26871571594552396,0.731284284054476,1.5236780643463135,1.5223997831344604
SHP-77,XRK3F2,315,166,182,196,0.7556957688752587,0.2443042311247413,2.4152750968933105,1.9603248834609985
