file,row,column,arm_v,arm_u,delta,rel,max_abs_cell_delta,sign_flips,n,keyed
estimator_audit/dispersion_channel.csv,<column mean>,n_candidate,233.33333333333334,233.33333333333334,0.0,0.0,0.0,0,36,False
estimator_audit/dispersion_channel.csv,<column mean>,candidate_sd,1.25,1.25,0.0,0.0,0.0,0,36,False
estimator_audit/dispersion_channel.csv,<column mean>,energy_u,0.7387217669575302,0.7387217669575302,0.0,0.0,0.0,0,36,False
estimator_audit/dispersion_channel.csv,<column mean>,energy_v,1.1419815995075087,1.1419815995075087,0.0,0.0,0.0,0,36,False
estimator_audit/dispersion_channel.csv,<column mean>,energy_u_se,0.003630267427377714,0.003630267427377714,0.0,0.0,0.0,0,36,False
estimator_audit/dispersion_channel.csv,<column mean>,energy_v_se,0.003684050926563039,0.003684050926563039,0.0,0.0,0.0,0,36,False
estimator_audit/null_scaling.csv,<column mean>,dim,864.0,864.0,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,n,155.0,155.0,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,energy_u,0.003144627147250687,0.003144627147250687,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,energy_u_se,0.006274369645761905,0.006274369645761905,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,energy_v,1.0198700375027125,1.0198700375027125,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,energy_v_se,0.006155854920094088,0.006155854920094088,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,mmd_u,0.0001443347997135493,0.0001443347997135493,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,mmd_u_se,0.00019326316318623546,0.00019326316318623546,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,mmd_v,0.019076635274622118,0.019076635274622118,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,mmd_v_se,0.00019081929816263003,0.00019081929816263003,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,sliced_wasserstein,0.19285811427980662,0.19285811427980662,0.0,0.0,0.0,0,15,False
estimator_audit/null_scaling.csv,<column mean>,sliced_wasserstein_se,0.002443152146492193,0.002443152146492193,0.0,0.0,0.0,0,15,False
estimator_audit/shift_calibration.csv,<column mean>,dim,864.0,864.0,0.0,0.0,0.0,0,18,False
estimator_audit/shift_calibration.csv,<column mean>,shift,0.12833333333333333,0.12833333333333333,0.0,0.0,0.0,0,18,False
estimator_audit/shift_calibration.csv,<column mean>,energy_u,0.5703321297963461,0.5703321297963461,0.0,0.0,0.0,0,18,False
estimator_audit/shift_calibration.csv,<column mean>,energy_v,0.8163795449115612,0.8163795449115612,0.0,0.0,0.0,0,18,False
estimator_audit/unequal_sizes.csv,<column mean>,dim,864.0,864.0,0.0,0.0,0.0,0,15,False
estimator_audit/unequal_sizes.csv,<column mean>,n_query,200.0,200.0,0.0,0.0,0.0,0,15,False
estimator_audit/unequal_sizes.csv,<column mean>,n_candidate,155.0,155.0,0.0,0.0,0.0,0,15,False
estimator_audit/unequal_sizes.csv,<column mean>,energy_u,-0.00168093178007334,-0.00168093178007334,0.0,0.0,0.0,0,15,False
estimator_audit/unequal_sizes.csv,<column mean>,energy_u_se,0.004246471541580247,0.004246471541580247,0.0,0.0,0.0,0,15,False
estimator_audit/unequal_sizes.csv,<column mean>,energy_v,0.6705765207608541,0.6705765207608541,0.0,0.0,0.0,0,15,False
estimator_audit/unequal_sizes.csv,<column mean>,energy_v_se,0.004126672029742447,0.004126672029742447,0.0,0.0,0.0,0,15,False
