file,row,column,arm_v,arm_u,delta,rel,max_abs_cell_delta,sign_flips,n,keyed
upgrade/class_c_protein_oracle.csv,Control | IDI2-AS1,energy_rho,0.0493782690779389,0.2513971317748303,0.2020188626968914,4.091250391503676,0.2020188626968914,0,1,True
upgrade/oracle_shape_test.csv,Co-culture | PABPC1,magmatch_vs_oracleDIST,-0.045963065300877,0.1411752918480611,0.18713835714893812,4.071494273149955,0.18713835714893812,1,1,True
upgrade/oracle_shape_test.csv,Control | TYR,energy_vs_oracleMEAN,-0.1195753614956303,0.3671367379813172,0.4867120994769475,4.070337679846643,0.4867120994769475,1,1,True
upgrade/oracle_shape_test.csv,Control | MC1R,energy_vs_oracleMEAN,0.0699313470017997,0.3528129341190665,0.2828815871172668,4.045132823052683,0.2828815871172668,0,1,True
upgrade/oracle_shape_test.csv,IFNγ | GPI,energy_vs_oracleMEAN,0.0299543877431679,0.1506982183930451,0.12074383064987719,4.0309230048414815,0.12074383064987719,0,1,True
upgrade/oracle_shape_test.csv,Co-culture | CD274,magmatch_vs_oracleDIST,0.0160082795254909,-0.0483723284543823,-0.0643806079798732,-4.021706884700275,0.0643806079798732,1,1,True
upgrade/oracle_shape_test.csv,Co-culture | CD151,mean_vs_oracleDIST,-0.0213874228355289,-0.1073911676181132,-0.0860037447825843,-4.021229927699116,0.0860037447825843,0,1,True
upgrade/class_c_protein_oracle.csv,Control | SEC11C,energy_rho_partial_magmatch,-0.1082100220027128,0.3249852328672923,0.4331952548700051,4.003282199306318,0.4331952548700051,1,1,True
upgrade/oracle_shape_test.csv,Control | IDI2-AS1,energy_vs_oracleMEAN,0.052974018662633,0.2626521896288758,0.2096781709662428,3.958132236513639,0.2096781709662428,0,1,True
upgrade/class_c_protein_oracle.csv,Control | LRRC75A-AS1,energy_rho,0.1051344281372757,0.5201544598000234,0.4150200316627477,3.9475178494417587,0.4150200316627477,0,1,True
upgrade/oracle_shape_test.csv,IFNγ | NSG1,energy_vs_oracleMEAN,-0.0161558353800371,0.0475760652803845,0.0637319006604216,3.9448223605429713,0.0637319006604216,1,1,True
upgrade/class_c_protein_oracle.csv,Control | TYR,energy_rho_partial_magmatch,-0.12645199642818,0.3706657363478016,0.4971177327759816,3.9312762693970265,0.4971177327759816,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | SEC11C,energy_rho,-0.032960898210596,0.096231725858641,0.12919262406923698,3.9195723139518446,0.12919262406923698,1,1,True
upgrade/class_c_protein_oracle.csv,Control | SLC19A1,energy_rho_partial_magmatch,-0.0788848264405353,0.2285435765806499,0.3074284030211852,3.8971804451256524,0.3074284030211852,1,1,True
upgrade/class_c_protein_oracle.csv,Control | IFNGR2,energy_rho,-0.095610414701389,0.2769024024463837,0.3725128171477727,3.896153136781248,0.3725128171477727,1,1,True
upgrade/class_c_protein_oracle.csv,Control | PYGB,energy_rho_partial_magmatch,-0.0968094177152695,0.2803689705072966,0.3771783882225661,3.896091900189941,0.3771783882225661,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | B2M,energy_vs_oracleMEAN,-0.0125037360466778,0.0361950801138357,0.048698816160513504,3.894741218041996,0.048698816160513504,1,1,True
upgrade/class_c_protein_oracle.csv,IFNγ | NME1,energy_rho_partial_magmatch,0.0301623068626304,0.1474681948721947,0.1173058880095643,3.8891550485119053,0.1173058880095643,0,1,True
upgrade/class_c_protein_oracle.csv,Control | EVA1A,energy_rho,-0.0705535187337923,0.202848135940745,0.2734016546745373,3.875095949588534,0.2734016546745373,1,1,True
upgrade/class_c_protein_oracle.csv,Control | UQCRH,energy_rho,-0.1217372576764772,0.3492021810022998,0.470939438678777,3.8684906138622077,0.470939438678777,1,1,True
upgrade/oracle_shape_test.csv,Control | EVA1A,energy_vs_oracleMEAN,-0.0728029088417656,0.208812360062492,0.2816152689042576,3.868187046156876,0.2816152689042576,1,1,True
upgrade/class_c_protein_oracle.csv,Control | KCNN4,energy_rho_partial_magmatch,-0.0743344084897473,0.2108280551591764,0.2851624636489237,3.8362108402094197,0.2851624636489237,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | SPINT1,energy_vs_oracleMEAN,-0.0238997891959487,0.0677800735513885,0.09167986274733719,3.8360113554004913,0.09167986274733719,1,1,True
