cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old,induced_cosine,norm_r_G1,norm_r_G2M,z_perm,p_perm,null_sd
C32,Tomivosertib,695,353,400,395,4.7133817699634373e-05,9.500914546138744e-06,0.0008162519635839594,0.054591839153941855,0.07287215044745277,0.015504984260298714,1.2376790702342988,10.0,0.18158154989727615,0.8184184501027238,1.524665117263794,1.4801514148712158,,,
C32,Torkinib,141,93,400,395,0.00043377685619311204,1.7103743090545692e-05,0.0005562654903365506,0.4381396994922537,0.23815304732012127,0.011201525304376778,2.0547497630119325,10.0,0.5541174113973407,0.4458825886026593,1.5647612810134888,1.4959948062896729,,,
C32,Trametinib,1180,284,400,395,0.0008454270919577943,1.1530621533558198e-05,0.0038240989877118005,0.18105201203151108,0.5792576451295021,0.012250317651697252,1.8374894976615905,10.0,0.11411195778174399,0.885888042218256,3.442882537841797,2.7286722660064697,20.703046601918246,0.047619047619047616,3.903196025295711e-05
C32,Tubulin inhibitor 6,310,146,400,395,7.02877373745044e-05,9.583568091629564e-06,0.0004022841471143895,0.14873448819436966,0.07569173753572983,0.010857798987975162,1.4730656623840332,10.0,0.3934275665936483,0.6065724334063517,1.1711636781692505,1.2594319581985474,,,
C32,Tucatinib,809,490,400,395,0.00010264584658822664,1.1428960196012935e-05,0.0008028816845681932,0.11335474964205776,0.14748002169070462,0.01790955590327664,1.277183759212494,10.0,0.20566773069236188,0.7943322693076381,1.5558265447616577,1.440064787864685,,,
C32,ULK-101,239,127,400,395,8.382919865349928e-05,1.9683203644249895e-05,0.0005731693158547083,0.12759419816382558,0.07563912750867391,0.018747735245559394,1.6313064992427826,10.0,0.3589059581141216,0.6410940418858784,1.3351365327835083,1.4728361368179321,,,
C32,Vemurafenib,1017,348,400,395,0.0008688561825288667,1.3533236598942548e-05,0.00220337278313107,0.28280970990136806,0.5803041127124818,0.012855430049076754,1.860317838191986,10.0,0.17973909352144513,0.8202609064785549,2.8283743858337402,1.9720197916030884,,,
C32,Volasertib,219,114,400,395,6.933310618882792e-05,1.0849827258007862e-05,0.0012630870565772056,0.052035467584711476,0.06640517132979398,0.010942682413721557,1.5621737957000732,10.0,0.18125709964253878,0.8187429003574612,1.7969813346862793,1.9562443494796753,,,
C32,XRK3F2,1279,430,400,395,0.0003390014326820771,8.871418967361842e-06,0.0010253428067598079,0.2484720665663917,0.3604595804783756,0.012188756513823666,1.4747607707977295,10.0,0.24695225584281966,0.7530477441571803,1.811295986175537,1.6010169982910156,,,
C32,c-Kit-IN-1,297,181,400,395,0.0004014919951765074,9.763920867731888e-06,0.0027468988671898844,0.12752291971611754,0.3617442508520263,0.012054739297888575,1.6016021907329558,10.0,0.11949707280276423,0.8805029271972358,2.785444736480713,2.487661838531494,,,
C32,olaparib,306,158,400,395,0.0002779679890308115,1.5739523902210432e-05,0.0006390988619791137,0.3031054810504792,0.24626408129487437,0.016763702227571117,1.6196046590805053,10.0,0.3796230798462613,0.6203769201537387,1.3721318244934082,1.5377076864242554,,,
C32,palbociclib,467,93,400,395,0.00018382630530848268,2.6588071610081373e-05,0.001997117035918766,0.08428751991559806,0.13321779890421095,0.02122299986173502,1.8098683953285217,10.0,0.16066568840173967,0.8393343115982603,2.500812292098999,2.130568742752075,,,
C32,venetoclax,387,206,400,395,0.000422074301685724,1.0961105455439929e-05,0.004161834468444188,0.09207737824890483,0.36641014998542737,0.012249953111647047,1.6320340752601623,10.0,0.08036971315292296,0.919630286847077,3.409926414489746,2.9812638759613037,9.884777316312553,0.047619047619047616,4.522204119853366e-05
C32,vincristine,145,94,400,395,0.0005318846812264787,1.766324601167902e-05,0.0023083145833677717,0.18727019891066113,0.29211096366190936,0.012172585659085041,2.05295107960701,10.0,0.21355609958039323,0.7864439004196068,2.5296761989593506,2.5163733959198,,,
CFPAC-1,4EGI-1,566,109,400,393,0.0006448952843331628,1.0816966980020214e-05,0.0009731763663391273,0.39855792792934497,0.41423970723177633,0.0096342535563489,1.8993602395057678,10.0,0.40452948065885086,0.5954705193411491,1.8201682567596436,1.732437252998352,,,
CFPAC-1,9-ING-41,1801,422,400,393,0.0005196609016921785,9.733670535471572e-06,0.0005799909329248799,0.47256857610131187,0.4952481975175953,0.012931717343037923,1.5588779270648956,10.0,0.45865115044211546,0.5413488495578845,1.5098341703414917,1.270734429359436,,,
CFPAC-1,APTO-253,970,197,400,393,0.00022630753745842312,9.336089831327549e-06,0.0003294641540075342,0.4071951503350097,0.25269482195734233,0.013040047970474582,1.4415367722511292,10.0,0.5049276546302108,0.4950723453697892,1.1810351610183716,1.084936261177063,,,
CFPAC-1,AT7519,908,176,400,393,0.0001954828854650259,1.3247876646566764e-05,0.00047969766375091335,0.2895268320333465,0.22158302347100595,0.017508209749160814,1.4352805256843566,10.0,0.3573245701715645,0.6426754298284355,1.0709582567214966,1.4500707387924194,,,
CFPAC-1,AZD-7648,653,153,400,393,0.0006836660827199617,1.1552910643224889e-05,0.0023918686434626583,0.22229177804424724,0.46661810697247275,0.01047436445376847,1.8417145431041717,10.0,0.17254639405396233,0.8274536059460377,2.8082876205444336,2.1997721195220947,,,
CFPAC-1,AZD-8055,1293,266,400,393,0.0005033572463111745,1.1900575296311313e-05,0.002053071496387323,0.196898602297768,0.445082470347019,0.014494207681845736,1.6192517161369324,10.0,0.15134459467527017,0.8486554053247298,2.580688953399658,2.0344901084899902,,,
CFPAC-1,AZD1390,902,209,400,393,0.0010316896562774978,1.5704348977568774e-05,0.0006951920067270596,0.5974292728793513,0.5971225918264659,0.012266974323716892,2.0009164094924925,10.0,0.5899243849090816,0.41007561509091833,1.326400637626648,1.865097999572754,,,
CFPAC-1,AZD2858,366,78,400,393,-2.16736539085913e-05,1.281558494254118e-05,0.0002515644507689609,-0.09427804072450703,-0.017298755193622693,0.010832563869459152,1.6493478655815124,10.0,0.5301452766808431,0.4698547233191569,1.0779087543487549,1.1610254049301147,,,
CFPAC-1,Abemaciclib,794,159,400,393,0.0005134162130869098,1.1722943011318176e-05,0.0012519701280527646,0.2908237144031971,0.41478452608228167,0.013473182128529937,1.6929289817810058,10.0,0.2710083506495684,0.7289916493504316,1.7306509017944336,2.0504822731018066,11.38401712453145,0.047619047619047616,4.4037625352069e-05
CFPAC-1,Adagrasib,662,154,400,393,1.692585727950144e-05,6.530352611534766e-06,0.0001591399221474098,0.09613371397096353,0.021741997752299985,0.008374269109074427,1.358500498533249,10.0,0.5658514975355489,0.4341485024644512,0.9130657911300659,0.9094157218933105,,,
CFPAC-1,Afatinib,1655,275,400,393,0.0005712584333701266,1.1667243997340113e-05,0.002847533114254475,0.16709367196342834,0.5117111518817458,0.014738755023782631,1.6072397172451018,10.0,0.12592370072211156,0.8740762992778884,2.868628978729248,2.482492685317993,,,
CFPAC-1,Alpelisib,894,168,400,393,0.0006277468624628251,1.319333087326942e-05,0.0026560328486892916,0.191165948291513,0.44174223176326094,0.01378057325598219,1.813636165857315,10.0,0.14615368754173097,0.853846312458269,2.93165922164917,2.2951714992523193,,,
CFPAC-1,Anastrozole,966,209,400,393,4.2251622491878355e-05,7.371423652431185e-06,0.0002906519971374008,0.12691848331036376,0.06342089041783958,0.011458703701237884,1.2505951941013336,10.0,0.3847419880693276,0.6152580119306724,0.9847510457038879,1.0823389291763306,,,
CFPAC-1,BAY1125976,1781,216,400,393,0.000352542979332308,8.989185364900204e-06,0.001344407732701964,0.20775086561570566,0.389518699142287,0.013237263367425025,1.4484734892845155,10.0,0.19151277015757073,0.8084872298424293,2.0428311824798584,1.7574464082717896,,,
