cell_line,drug_G1,drug_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old
H4,Temuterkib,Tubulin inhibitor 6,0.001102453884151247,2.5116066786183136e-05,0.0002640127100878292,0.8067916836014232,0.4231345814394577,0.013517488136255787,2.455242872238159,10,1.0164288712315193
H4,BAY1125976,HI-TOPK-032,0.004039417828122774,1.2008276249400895e-05,0.0008433508014099465,0.8272802040405803,0.7227478786106979,0.003932220974696832,3.5934479355812075,10,1.0759609367977863
H4,Temuterkib,Tomivosertib,0.001971129369404581,3.122169553734369e-05,0.00047372649682478774,0.8062354090609838,0.5603939467874395,0.013975103381040146,2.8546964645385744,10,1.0174195371403187
HCT15,Dabrafenib,BAY1125976,0.00036403244206060966,7.743919412402806e-06,0.0005593935338159401,0.3942194085617493,0.4054385903977752,0.011898301483634372,1.4412499904632567,10,0.3722772191367629
HCT15,Pimitespib,Celecoxib,7.214191492595192e-05,1.1655533760174253e-05,9.736694887073504e-05,0.4255937613532746,0.04955496427659253,0.007967284801897926,1.844043505191803,10,0.8376923034772523
HCT15,Regorafenib,olaparib,0.0004254639226322373,9.871902191951908e-06,0.0001419923255323536,0.7497739676113873,0.3198966365802943,0.009876079339994074,1.7538012981414794,10,0.940555192167994
HCT15,TAK-901,AZD-7648,0.0026974393882685235,1.2804649850588392e-05,0.000944565816058053,0.7406467692753592,0.75643712213092,0.00642201595779751,2.8674564599990844,10,0.7984092067272229
HEC-1-A,Bentamapimod,Torkinib,0.00035226330316315095,4.961529289777416e-06,0.00021743969733102456,0.618327975906022,0.48359367851283874,0.010353297424126138,1.2970455288887024,10,0.6779120757393913
HEC-1-A,Afatinib,PF-06260933,0.003079564082953665,5.025475309940185e-06,0.0006904554449849657,0.8168562682850367,0.9004387667681831,0.001980058150260019,2.8082430362701416,10,1.0572746372901078
HEC-1-A,Ralimetinib dimesylate,Capivasertib,0.0003503366554569867,8.683606305508766e-06,0.00021099047088581654,0.62412208321291,0.49108838728394744,0.017598431358570067,1.2855606734752656,10,0.6697594068844741
HEC-1-A,LB-100,Vemurafenib,0.0005534579253031148,6.733716861965021e-06,0.00034000163173509966,0.6194549276945533,0.584077847873657,0.010016594426278492,1.480285495519638,10,0.6034333773585687
HOP62,TAK-901,PH-797804,0.009159889651669396,1.612790034569013e-05,0.010239563716782463,0.472172564746879,0.936803274756846,0.0017793500708371773,4.747482180595398,10,0.27144912535343046
HOP62,Pralsetinib,AZD2858,0.001311455677366919,9.858225607734703e-06,0.0009148507172034847,0.5890724118501139,0.6210960769568176,0.006436879432951121,2.2083561062812804,10,0.5191546301700196
HOP62,TAK-901,AT7519,0.019325797922081417,1.727016550446675e-05,0.00490672422779931,0.7975149182800413,0.9739855572611613,0.0008063726070513792,6.762917828559876,10,0.9780497988022321
HOP62,Bimiralisib,Sonidegib,0.0031750304417477713,1.3074063091337175e-05,0.0020360454296072324,0.6092850152500635,0.8303898007544672,0.0055432554649297435,2.9695714831352236,10,0.4579305946980817
HS-578T,GSK1059615,ULK-101,0.0020991188370519213,1.5489838318713927e-05,0.0015480135360525712,0.5755532353395555,0.7067072916842911,0.008280084980714518,2.618816816806793,10,0.47745190893715506
HS-578T,Gemcitabine,DTP3,0.00048692201057242026,1.109555361191182e-05,0.0008217142222242223,0.3720835464962143,0.31370033783483775,0.009665598093217853,1.8957888066768647,10,0.36239448301426835
HS-578T,MK-3903,Tubulin inhibitor 6,0.001429835572424862,9.860927752033214e-06,0.0008648959350668723,0.6230949319154769,0.5958619046964218,0.006266507445582818,2.354536437988281,10,0.596885585895149
HS-578T,XRK3F2,c-Kit-IN-1,0.0018253921427660517,1.6062201339960508e-05,0.0008550481249888738,0.6810045964183927,0.6574489414633973,0.009479098409684727,2.5322121262550352,10,0.732385568171553
HT-29,XRK3F2,Oxaliplatin,0.0009655204912026724,8.179366603723496e-06,0.000488372447176112,0.664093253165746,0.6639834056486403,0.009311431390537604,1.8322603821754455,10,0.6828739623472602
HT-29,Temuterkib,XRK3F2,0.0006879824058463177,7.845846088274085e-06,0.0006296301726251841,0.5221431679442622,0.6069550694498378,0.011081596524187947,1.6185402393341064,10,0.49532449008325263
HT-29,Futibatinib,Gemcitabine,0.001003063294208712,4.824822144784352e-06,0.0002923539477503962,0.7743167697009665,0.69801367709172,0.00630356435096992,1.8219053447246552,10,0.932017509480093
HT-29,Ipatasertib,TAK-901,0.004816259609328376,9.795548802866736e-06,0.0015181709080934525,0.7603303242623045,0.9074148917692559,0.00237052360715661,3.498852264881134,10,0.8564407309930934
HepG2/C3A,XRK3F2,Anastrozole,0.0019706026754445502,4.750705839123849e-05,0.00046168306790706187,0.8101855141119738,0.4480771510453887,0.014723420273957068,3.190504312515259,10,1.0283541202208717
HepG2/C3A,Bentamapimod,Regorafenib,0.0017320395447313786,4.2230558551335995e-05,0.00042458628045601975,0.8031247351778673,0.4184809434755232,0.013680476778846673,3.0934341073036196,10,1.0028140815041189
HepG2/C3A,9-ING-41,PH-797804,0.0017705316551857528,2.5504283985660178e-05,0.0009276494590772525,0.6561945177906875,0.4407185660462717,0.008901341827912218,3.0491296648979187,10,0.7108579641211688
HepG2/C3A,GSK1059615,Lapatinib ditosylate,0.0031891083758738307,3.073413792272337e-05,0.0011564432850314512,0.7338788316716188,0.5923431953985002,0.008718934337307199,3.5333548545837403,10,0.8424344934701328
Hs 766T,HI-TOPK-032,Temuterkib,0.0017507705734007887,1.0558099869509441e-05,0.0005208996383266316,0.7706975089792942,0.6144323115522454,0.005312888541817661,2.5639662384986877,10,0.9164791868802895
Hs 766T,Temuterkib,NVP-BHG712,0.00033592238970514803,1.5430236439972076e-05,0.00027460382164766386,0.5502178013959579,0.20600204582299217,0.011227837235671593,1.9427269876003266,10,0.7083028112787627
Hs 766T,Oxaliplatin,LY2090314,0.0005766353828625546,1.714314534654546e-05,0.00014696381080688703,0.7968988742764909,0.36691393221627594,0.014403145227586893,1.9091996252536774,10,0.9887563499536344
