cell_line,drug,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_cos
AN3 CA,Oxaliplatin,0.5833333333333333,0.9,0.3166666666666667
AN3 CA,PF-06260933,1.0,1.0,0.0
AN3 CA,Paclitaxel,1.0,1.0,0.0
AN3 CA,Pemigatinib,0.5339869281045753,0.6833333333333333,0.1493464052287581
AN3 CA,Pimitespib,0.75,1.0,0.25
AN3 CA,Pralsetinib,1.0,1.0,0.0
AN3 CA,RMC-6236,1.0,1.0,0.0
AN3 CA,Ralimetinib dimesylate,0.4533333333333333,0.7666666666666666,0.3133333333333333
AN3 CA,Regorafenib,1.0,1.0,0.0
AN3 CA,SBI-0640756,0.825,0.85,0.025
AN3 CA,Sapanisertib,1.0,1.0,0.0
AN3 CA,TAK-733,1.0,1.0,0.0
AN3 CA,TAK-901,1.0,1.0,0.0
AN3 CA,Temuterkib,0.9,1.0,0.1
AN3 CA,Tomivosertib,1.0,1.0,0.0
AN3 CA,Trametinib,1.0,1.0,0.0
AN3 CA,Tubulin inhibitor 6,0.6193939393939394,0.575,-0.0443939393939393
AN3 CA,Tucatinib,0.9,1.0,0.1
AN3 CA,Vemurafenib,0.1175468975468975,0.7666666666666666,0.6491197691197692
AN3 CA,Volasertib,0.5666666666666667,1.0,0.4333333333333334
AN3 CA,XRK3F2,0.9,1.0,0.1
AN3 CA,c-Kit-IN-1,0.8,1.0,0.2
AN3 CA,olaparib,1.0,1.0,0.0
AN3 CA,palbociclib,1.0,1.0,0.0
AN3 CA,venetoclax,1.0,1.0,0.0
AN3 CA,vincristine,1.0,1.0,0.0
AsPC-1,4EGI-1,1.0,1.0,0.0
AsPC-1,9-ING-41,1.0,1.0,0.0
AsPC-1,APTO-253,0.9,1.0,0.1
AsPC-1,AT7519,0.9,0.9,0.0
AsPC-1,AZD-7648,1.0,1.0,0.0
AsPC-1,AZD-8055,1.0,1.0,0.0
AsPC-1,AZD1390,1.0,1.0,0.0
AsPC-1,AZD2858,0.5333333333333333,1.0,0.4666666666666667
AsPC-1,Abemaciclib,1.0,1.0,0.0
AsPC-1,Adagrasib,0.9,1.0,0.1
AsPC-1,Afatinib,1.0,1.0,0.0
AsPC-1,Alpelisib,1.0,1.0,0.0
AsPC-1,Anastrozole,1.0,1.0,0.0
AsPC-1,BAY1125976,1.0,1.0,0.0
AsPC-1,BI-3406,1.0,1.0,0.0
AsPC-1,BI-78D3,0.8666666666666666,1.0,0.1333333333333333
AsPC-1,Belumosudil (mesylate),1.0,1.0,0.0
AsPC-1,Belzutifan,1.0,1.0,0.0
AsPC-1,Bentamapimod,1.0,1.0,0.0
AsPC-1,Bimiralisib,1.0,1.0,0.0
AsPC-1,Binimetinib,1.0,1.0,0.0
AsPC-1,Bortezomib,1.0,1.0,0.0
AsPC-1,Brivudine,1.0,1.0,0.0
AsPC-1,CP21R7,1.0,1.0,0.0
AsPC-1,Capivasertib,0.9,1.0,0.1
AsPC-1,Capmatinib,1.0,1.0,0.0
AsPC-1,Celecoxib,0.9,1.0,0.1
AsPC-1,DT-061,1.0,1.0,0.0
AsPC-1,DTP3,1.0,1.0,0.0
AsPC-1,Dabrafenib,1.0,1.0,0.0
AsPC-1,ERK5-IN-2,1.0,1.0,0.0
AsPC-1,ETC-206,0.74,0.8,0.06
AsPC-1,EX229,1.0,1.0,0.0
AsPC-1,Elimusertib hydrochloride,1.0,1.0,0.0
AsPC-1,Encorafenib,1.0,1.0,0.0
AsPC-1,Erdafitinib ,1.0,1.0,0.0
AsPC-1,Everolimus,0.9,1.0,0.1
AsPC-1,Futibatinib,1.0,1.0,0.0
AsPC-1,GSK1059615,1.0,1.0,0.0
AsPC-1,Gemcitabine,0.7,0.8666666666666666,0.1666666666666666
AsPC-1,HI-TOPK-032,1.0,1.0,0.0
AsPC-1,Hydroxyfasudil,1.0,1.0,0.0
AsPC-1,IQ 1,0.9,1.0,0.1
AsPC-1,Infigratinib,1.0,1.0,0.0
AsPC-1,Ipatasertib,1.0,1.0,0.0
AsPC-1,Irinotecan,1.0,1.0,0.0
AsPC-1,Ixazomib,1.0,1.0,0.0
AsPC-1,LB-100,0.7166666666666667,0.8,0.0833333333333333
AsPC-1,LJI308,1.0,1.0,0.0
AsPC-1,LY-2584702 (tosylate salt),1.0,1.0,0.0
AsPC-1,LY2090314,0.8666666666666666,0.9,0.0333333333333333
AsPC-1,Lapatinib ditosylate,0.7666666666666666,1.0,0.2333333333333333
AsPC-1,MK-3903,1.0,1.0,0.0
AsPC-1,MK-8353,0.9,1.0,0.1
AsPC-1,ML264,1.0,1.0,0.0
AsPC-1,Methylprednisolone succinate,0.9,1.0,0.1
AsPC-1,Minodronic acid,1.0,1.0,0.0
AsPC-1,NG25,1.0,1.0,0.0
AsPC-1,NVP-BHG712,1.0,1.0,0.0
AsPC-1,OTS514,1.0,1.0,0.0
AsPC-1,Oleic acid,1.0,1.0,0.0
AsPC-1,Oxaliplatin,1.0,1.0,0.0
AsPC-1,PF-06260933,1.0,1.0,0.0
AsPC-1,PH-797804,1.0,1.0,0.0
AsPC-1,Paclitaxel,1.0,1.0,0.0
AsPC-1,Pemigatinib,1.0,1.0,0.0
AsPC-1,Pimitespib,1.0,1.0,0.0
AsPC-1,Pralsetinib,1.0,1.0,0.0
AsPC-1,RMC-6236,1.0,1.0,0.0
AsPC-1,Ralimetinib dimesylate,1.0,1.0,0.0
AsPC-1,Regorafenib,1.0,1.0,0.0
AsPC-1,SBI-0640756,1.0,1.0,0.0
AsPC-1,Sapanisertib,1.0,1.0,0.0
AsPC-1,Sonidegib,1.0,1.0,0.0
AsPC-1,TAK-733,1.0,1.0,0.0
AsPC-1,TAK-901,1.0,1.0,0.0
AsPC-1,Temuterkib,1.0,1.0,0.0
AsPC-1,Tomivosertib,1.0,1.0,0.0
AsPC-1,Torkinib,1.0,1.0,0.0
AsPC-1,Trametinib,1.0,1.0,0.0
AsPC-1,Tubulin inhibitor 6,1.0,0.9,-0.1
AsPC-1,Tucatinib,1.0,1.0,0.0
AsPC-1,ULK-101,0.9,0.9,0.0
AsPC-1,Vemurafenib,1.0,1.0,0.0
AsPC-1,Volasertib,0.8666666666666666,1.0,0.1333333333333333
AsPC-1,XRK3F2,1.0,1.0,0.0
AsPC-1,c-Kit-IN-1,1.0,1.0,0.0
AsPC-1,olaparib,1.0,1.0,0.0
AsPC-1,palbociclib,1.0,1.0,0.0
AsPC-1,venetoclax,1.0,1.0,0.0
AsPC-1,vincristine,1.0,1.0,0.0
BT-474,4EGI-1,1.0,1.0,0.0
BT-474,9-ING-41,1.0,1.0,0.0
BT-474,APTO-253,0.9,1.0,0.1
BT-474,AT7519,1.0,1.0,0.0
BT-474,AZD-7648,1.0,1.0,0.0
BT-474,AZD-8055,0.9,1.0,0.1
BT-474,AZD1390,1.0,1.0,0.0
BT-474,AZD2858,1.0,1.0,0.0
BT-474,Abemaciclib,1.0,1.0,0.0
