dataset,sil_raw_k2
SciPlex3,0.0391174964606761
SciPlex3,0.028624203056097
SciPlex3,0.0286148153245449
SciPlex3,0.0311184227466583
SciPlex3,0.0273110382258892
SciPlex3,0.0254907943308353
SciPlex3,0.036261074244976
SciPlex3,0.0270958617329597
SciPlex3,0.0386663749814033
SciPlex3,0.0405866503715515
SciPlex3,0.0538476146757602
SciPlex3,0.0258562304079532
SciPlex3,0.0400577969849109
SciPlex3,0.0360437557101249
SciPlex3,0.0303411968052387
SciPlex3,0.0296794716268777
SciPlex3,0.034671314060688
SciPlex3,0.0204365327954292
SciPlex3,0.0497633144259452
SciPlex3,0.0442932210862636
SciPlex3,0.0356568954885005
SciPlex3,0.0507017225027084
SciPlex3,0.047145590186119
SciPlex3,0.025422316044569
SciPlex3,0.0342105999588966
SciPlex3,0.0350571796298027
SciPlex3,0.0303015448153018
SciPlex3,0.027994992211461
SciPlex3,0.0302601289004087
SciPlex3,0.0307630710303783
SciPlex3,0.0384957082569599
SciPlex3,0.0377210564911365
SciPlex3,0.0200181007385253
SciPlex3,0.0342431217432022
SciPlex3,0.0313520170748233
SciPlex3,0.0226347930729389
SciPlex3,0.0404700748622417
SciPlex3,0.0353882238268852
SciPlex3,0.0325161255896091
SciPlex3,0.074372574687004
SciPlex3,0.0243301317095756
SciPlex3,0.02362453751266
SciPlex3,0.0300654452294111
SciPlex3,0.0255953837186098
SciPlex3,0.0256917607039213
SciPlex3,0.0195046663284301
SciPlex3,0.0353281050920486
SciPlex3,0.0932114943861961
SciPlex3,0.0173518694937229
SciPlex3,0.0312832258641719
SciPlex3,0.0319701693952083
SciPlex3,0.0346456430852413
SciPlex3,0.0177699588239192
SciPlex3,0.0252266600728034
SciPlex3,0.0782349556684494
SciPlex3,0.0323475040495395
SciPlex3,0.0261974204331636
SciPlex3,0.0533941462635993
SciPlex3,0.0349290296435356
SciPlex3,0.0281627252697944
SciPlex3,0.0457469187676906
SciPlex3,0.0361020304262638
SciPlex3,0.0287385750561952
SciPlex3,0.0217865500599145
SciPlex3,0.019748905673623
SciPlex3,0.0506185218691825
SciPlex3,0.0372458361089229
SciPlex3,0.0241877157241106
SciPlex3,0.0329450964927673
SciPlex3,0.0320433415472507
SciPlex3,0.0327922068536281
SciPlex3,0.050796702504158
SciPlex3,0.0337004549801349
SciPlex3,0.0344834364950656
SciPlex3,0.0151424193754792
SciPlex3,0.0284913256764411
SciPlex3,0.0288242045789957
SciPlex3,0.0509044677019119
SciPlex3,0.0268832836300134
SciPlex3,0.0386721529066562
SciPlex3,0.019257053732872
SciPlex3,0.0197918377816677
SciPlex3,0.0294052306562662
SciPlex3,0.016597444191575
SciPlex3,0.0375848859548568
SciPlex3,0.0751601383090019
SciPlex3,0.0850806012749672
SciPlex3,0.0523685924708843
SciPlex3,0.0336732007563114
SciPlex3,0.0341873653233051
SciPlex3,0.0361291952431201
SciPlex3,0.1093960553407669
SciPlex3,0.0299796815961599
SciPlex3,0.0272650010883808
SciPlex3,0.0418575033545494
SciPlex3,0.0216332245618104
SciPlex3,0.0250136088579893
SciPlex3,0.0423215962946414
SciPlex3,0.037485871464014
SciPlex3,0.0287646483629941
SciPlex3,0.0231860168278217
SciPlex3,0.0284303184598684
SciPlex3,0.0626944079995155
SciPlex3,0.0308643095195293
SciPlex3,0.024814236909151
SciPlex3,0.023106176406145
SciPlex3,0.0351812839508056
SciPlex3,0.0307248122990131
SciPlex3,0.0300076287239789
SciPlex3,0.0364444740116596
SciPlex3,0.0343506261706352
SciPlex3,0.0265916679054498
SciPlex3,0.0355062745511531
SciPlex3,0.014261158183217
SciPlex3,0.0278847888112068
SciPlex3,0.0214393623173236
SciPlex3,0.02784139290452
SciPlex3,0.0354705899953842
SciPlex3,0.0198724996298551
SciPlex3,0.0202492233365774
SciPlex3,0.02487313747406
SciPlex3,0.0223497357219457
SciPlex3,0.0173364449292421
SciPlex3,0.0213458538055419
SciPlex3,0.0258313678205013
SciPlex3,0.0269748922437429
SciPlex3,0.0230790730565786
SciPlex3,0.0599067658185958
SciPlex3,0.0246709492057561
SciPlex3,0.0434969142079353
SciPlex3,0.0293454565107822
SciPlex3,0.0421593524515628
SciPlex3,0.0210799537599086
SciPlex3,0.0244207549840211
SciPlex3,0.0249311011284589
