cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,mean_cosine_ctrl_rho,mean_cosine_raw_rho,magnitude_only_rho,energydist_vs_candmag_rho
MCF7,Alisertib (MLN8237),34,1.5594008920273303,0.945417,-0.3842627960275019,0.2831168831168831,-0.3671504965622613,0.5831932773109243,0.7714285714285714
MCF7,Avagacestat (BMS-708163),34,1.2505884673163472,0.97997,-0.5691367456073337,-0.2898395721925134,-0.5911382734912146,0.5633307868601986,0.9636363636363636
MCF7,BMS-536924,34,1.9901456841333531,0.927373,-0.4872421695951108,-0.2033613445378151,-0.4802139037433155,0.5923605805958746,0.49915966386554617
MCF7,BMS-754807,34,2.2218615204133094,0.827285,-0.4349885408708938,-0.19908326967150494,-0.44721161191749426,0.5813598166539343,0.5618029029793735
MCF7,Bosutinib (SKI-606),34,2.5815831169253762,0.977086,-0.5874713521772346,0.25255920550038197,-0.6299465240641711,0.6207792207792208,0.6525592055003819
MCF7,Cediranib (AZD2171),34,2.631456462078997,0.920564,-0.5605805958747135,-0.29961802902979373,-0.5596638655462185,0.5779984721161191,0.42826585179526355
MCF7,Crizotinib (PF-02341066),34,2.1728643487376758,0.946725,-0.39923605805958745,-0.07104660045836517,-0.4041252864782276,0.5914438502673797,0.546218487394958
MCF7,Dasatinib,34,2.5840544535717056,0.983128,-0.5122994652406417,-0.22322383498854087,-0.520855614973262,0.6388082505729564,0.42337662337662335
MCF7,Entinostat (MS-275),34,6.441041835020935,0.93085,0.1764705882352941,0.4190985485103132,0.2987012987012987,0.60061115355233,0.09274255156608097
MCF7,"Fluorouracil (5-Fluoracil, 5-FU)",34,1.186530604807448,0.860799,-0.5844155844155844,0.45821237585943464,-0.5859434682964094,0.6323911382734911,0.9162719633307866
MCF7,Fulvestrant,34,3.907260397369497,0.815628,-0.2488922841864018,0.46249045072574485,-0.18380443086325438,0.5559969442322383,0.7081741787624141
MCF7,GSK-LSD1 2HCl,34,1.1016138603762868,0.971199,-0.5841100076394193,0.0160427807486631,-0.575553857906799,0.5737203972498089,0.9657754010695186
MCF7,Lenalidomide (CC-5013),34,0.985627245045498,0.98008,-0.5174942704354469,-0.0007639419404125285,-0.5358288770053476,0.5547746371275782,0.977387318563789
MCF7,"Luminespib (AUY-922, NVP-AUY922)",34,3.236525253766631,0.717916,-0.413903743315508,-0.06554621848739495,-0.38792971734148196,0.5556913674560733,0.29961802902979373
MCF7,Navitoclax (ABT-263),34,1.7937388820465372,0.859172,-0.4884644766997708,0.29625668449197856,-0.4832696715049656,0.5880825057295646,0.9318563789152022
MCF7,Nilotinib (AMN-107),34,1.3361057512148262,0.876889,-0.5333842627960275,0.01390374331550802,-0.5385790679908327,0.6149732620320855,0.9474407944996178
MCF7,Obatoclax Mesylate (GX15-070),34,3.638578854469226,0.693005,-0.13124522536287242,0.37754010695187157,-0.06462948815889992,0.5544690603514133,0.4551566080977846
MCF7,PCI-34051,34,1.3562622571640226,0.97438,-0.5385790679908327,0.0909090909090909,-0.5312452253628723,0.5844155844155844,0.9413292589763176
MCF7,PD173074,34,1.0565769214016891,0.983312,-0.5226890756302521,0.04140565317035905,-0.5333842627960275,0.5465240641711229,0.9596638655462184
MCF7,PFI-1 (PF-6405761),34,5.534206523915738,0.902744,0.13521772345301758,0.3402597402597402,0.15966386554621848,0.5902215431627196,0.04965622612681436
MCF7,"Rucaparib (AG-014699,PF-01367338) phosphate",34,1.2975955238154364,0.972229,-0.5526355996944232,0.2987012987012987,-0.5535523300229183,0.5737203972498089,0.9856378915202444
MCF7,Ruxolitinib (INCB018424),34,1.4584862192186998,0.970127,-0.5202444614209321,0.2064171122994652,-0.521466768525592,0.5810542398777693,0.9456073338426279
MCF7,Sorafenib Tosylate,34,3.2959463447376547,0.805326,-0.2030557677616501,0.3191749427043544,-0.1893048128342246,0.5556913674560733,0.5559969442322383
MCF7,Tanespimycin (17-AAG),34,3.2999623590180067,0.822561,-0.3998472116119175,-0.1679144385026738,-0.39281894576012216,0.5550802139037433,0.34056531703590526
MCF7,"Temsirolimus (CCI-779, NSC 683864)",34,1.6411360839009221,0.835436,-0.4860198624904507,0.09885408708938119,-0.4768525592055004,0.5920550038197097,0.8365164247517187
MCF7,"Tozasertib (VX-680, MK-0457)",34,1.40775683020696,0.933808,-0.44110007639419396,0.07715813598166539,-0.44935064935064933,0.5874713521772346,0.8466004583651642
MCF7,Trametinib (GSK1120212),34,2.5599135090641947,0.979691,-0.4771581359816654,-0.2161955691367456,-0.4957983193277311,0.6207792207792208,0.5233002291825821
MCF7,UNC0379,34,3.202973191577904,0.934314,-0.29778456837280365,0.386707410236822,-0.2901451489686784,0.5850267379679144,0.47379679144385023
MCF7,Veliparib (ABT-888),34,1.0987084670511718,0.973617,-0.5343009931245225,0.13827349121466767,-0.5636363636363636,0.5703590527119938,0.975859434682964
MCF7,XAV-939,34,1.353452991005488,0.972697,-0.4569900687547746,0.17494270435446904,-0.4722689075630252,0.5819709702062642,0.9431627196333078
MCF7,ZM 447439,34,1.4248537107145867,0.931153,-0.4658517952635599,-0.01818181818181818,-0.43712757830404886,0.5874713521772346,0.790985485103132
