dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,MCF7:Belinostat (PXD101):s0,observed,0.6269172898739822,0.6480225988700565,0.25869702719797594,0.12259892896286041,0.6637333035469055,0.8,mean_sufficient,0.9120799899101257,0.969846248626709,0,DART_recommended,False
sciplex3_within_line,MCF7:Abexinostat (PCI-24781):s0,observed,0.6710229102998747,0.46779661016949153,0.15462020585360248,0.09236697327573007,0.6690583825111389,1.0,mean_sufficient,0.9333789348602295,0.9333789348602295,0,DART_recommended,False
sciplex3_within_line,MCF7:Droxinostat:s1,observed,0.4522694345424264,0.503954802259887,0.33813001344622096,0.03876384374363412,0.5763239860534668,0.4,mean_sufficient,0.9889884889125824,0.9873902201652527,1,DART_recommended,False
sciplex3_within_line,MCF7:ITSA-1 (ITSA1):s1,observed,0.47500562908160676,0.6293785310734463,0.3420159852797424,0.04501366136761759,0.6025905013084412,0.4,mean_sufficient,0.9861239194869995,0.9824697971343994,1,DART_recommended,False
sciplex3_within_line,MCF7:Sirtinol:s1,observed,0.4845077812982751,0.6700564971751413,0.3756540739462941,0.04473305943737408,0.5882967710494995,0.4,mean_sufficient,0.9817285239696503,0.9830330610275269,1,DART_recommended,False
sciplex3_within_line,MCF7:AG-490 (Tyrphostin B42):s1,observed,0.5581301131013837,0.6502824858757063,0.40865965154390205,0.038008963824380876,0.6107234358787537,0.6,mean_sufficient,0.9832470715045929,0.9832470715045929,1,DART_recommended,False
sciplex3_within_line,MCF7:UNC0379:s1,observed,0.4901631127539288,0.6655367231638418,0.3786441262722098,0.044665456913808396,0.6364129781723022,0.4,mean_sufficient,0.9923558235168457,0.9911444187164307,1,DART_recommended,False
sciplex3_within_line,MCF7:Lapatinib (GW-572016) Ditosylate:s1,observed,0.408688240381088,0.6084745762711864,0.39002932551319647,0.04350038213271325,0.6167683005332947,0.2,mean_sufficient,0.986524373292923,0.9859197437763214,1,DART_recommended,False
sciplex3_within_line,MCF7:BMS-536924:s1,observed,0.3587066959602038,0.6220338983050847,0.26157207751135647,0.043065985110974266,0.5795851349830627,0.2,mean_sufficient,0.987833172082901,0.9879269599914551,1,mean_sufficient,True
sciplex3_within_line,MCF7:Resveratrol:s1,observed,0.40354007695963645,0.6542372881355932,0.3854292450117877,0.042488399388602466,0.6117464303970337,0.2,mean_sufficient,0.9930283725261688,0.9929095208644867,1,DART_recommended,False
sciplex3_within_line,MCF7:Triamcinolone Acetonide:s1,observed,0.5417483904372212,0.5751412429378531,0.36254384451727906,0.03723723268289791,0.6314634680747986,0.6,mean_sufficient,0.9634724855422974,0.9580879211425781,1,DART_recommended,False
sciplex3_within_line,MCF7:Clevudine:s1,observed,0.4190115940494844,0.6378531073446327,0.43856017480305903,0.04223773015118592,0.5880234241485596,0.2,mean_sufficient,0.9907165169715881,0.9926392436027527,1,DART_recommended,False
sciplex3_within_line,MCF7:Nintedanib (BIBF 1120):s2,observed,0.56613271086008,0.6508474576271186,0.3318383071703755,0.05052903205999317,0.5998930335044861,0.6,mean_sufficient,0.9849715232849121,0.9837028682231903,2,DART_recommended,False
sciplex3_within_line,MCF7:Dasatinib:s2,observed,0.43950051341992624,0.5446327683615819,0.2022885400494509,0.05171768171957604,0.5869952440261841,0.4,mean_sufficient,0.9868252575397491,0.9825289845466614,2,DART_recommended,False
sciplex3_within_line,MCF7:GSK J1:s2,observed,0.4347400189096707,0.7342469717702967,0.46460813064228623,0.04414866932217241,0.5968116521835327,0.2,mean_sufficient,0.986645519733429,0.986645519733429,2,DART_recommended,False
sciplex3_within_line,MCF7:Amisulpride:s2,observed,0.42243223451157674,0.5672316384180791,0.25846702317290554,0.03853170488151477,0.563736617565155,0.4,mean_sufficient,0.9893552362918854,0.9877597689628601,2,DART_recommended,False
sciplex3_within_line,MCF7:SRT2104 (GSK2245840):s2,observed,0.49903031306029344,0.6361581920903955,0.4136622390891841,0.04429420898507345,0.6136590242385864,0.4,mean_sufficient,0.984196275472641,0.984196275472641,2,DART_recommended,False
sciplex3_within_line,MCF7:WP1066:s2,observed,0.5144301456741469,0.6937853107344633,0.43614513253981946,0.04741226290260583,0.5954256057739258,0.4,mean_sufficient,0.9902658760547638,0.9911637902259827,2,DART_recommended,False
sciplex3_within_line,MCF7:Costunolide:s2,observed,0.3937940686611019,0.6717514124293785,0.35825594427884,0.043223353093636355,0.5873442888259888,0.2,mean_sufficient,0.9854433536529541,0.9801450967788696,2,mean_sufficient,True
sciplex3_within_line,MCF7:Alvespimycin (17-DMAG) HCl:s2,observed,0.6268349289472182,0.6474576271186441,0.26377907468457396,0.05238060789731335,0.6451225280761719,0.8,mean_sufficient,0.9691743850708008,0.9691743850708008,2,DART_recommended,False
sciplex3_within_line,MCF7:IOX2:s2,observed,0.398301208827224,0.6378531073446327,0.3761392713901101,0.04233605668519672,0.5964429378509521,0.2,mean_sufficient,0.9865176975727081,0.986664891242981,2,mean_sufficient,True
