split_type,cell_line,heldout_drug,observed_library_fraction,seed,recommendation_mode,regret_reduction
leave_drug_out,A549,TMP195,1.0,2,mean_or_no_call,0.4291019439697266
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,2,DART_recommended,0.279754638671875
leave_drug_out,A549,PF-3845,1.0,2,DART_recommended,-0.19489669799804688
leave_drug_out,A549,PD98059,1.0,2,DART_recommended,-0.056713104248046896
leave_drug_out,A549,Linifanib (ABT-869),1.0,2,DART_recommended,0.3871612548828125
leave_drug_out,A549,TGX-221,1.0,2,mean_or_no_call,0.04447746276855471
leave_drug_out,A549,GSK J1,1.0,2,DART_recommended,0.2649593353271484
leave_drug_out,A549,UNC0631,1.0,2,DART_recommended,0.3923664093017579
leave_drug_out,A549,Obatoclax Mesylate (GX15-070),1.0,2,DART_recommended,-0.0594768524169922
leave_drug_out,A549,Triamcinolone Acetonide,1.0,2,mean_or_no_call,0.2211761474609375
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,2,DART_recommended,1.8043670654296875
leave_drug_out,A549,"Cerdulatinib (PRT062070, PRT2070)",1.0,2,DART_recommended,0.047920227050781194
leave_drug_out,A549,Busulfan,1.0,2,DART_recommended,0.5075244903564453
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,2,DART_recommended,0.3347530364990234
leave_MoA_out,A549,MK-0752,0.9893617021276596,2,DART_recommended,0.4569530487060547
leave_MoA_out,A549,JNJ-26854165 (Serdemetan),0.9680851063829788,2,DART_recommended,0.17509651184082037
leave_MoA_out,A549,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,DART_recommended,-0.1626224517822266
leave_MoA_out,A549,Prednisone,0.973404255319149,2,mean_or_no_call,0.14125251770019528
leave_MoA_out,A549,Ki16425,0.9893617021276596,2,DART_recommended,0.42888641357421875
leave_MoA_out,A549,PD98059,0.9787234042553192,2,DART_recommended,0.08720397949218751
leave_MoA_out,A549,Clevudine,0.8723404255319149,2,DART_recommended,0.026048660278320312
leave_MoA_out,A549,ITSA-1 (ITSA1),0.7978723404255319,2,DART_recommended,0.36550331115722656
partial_library,A549,batch,0.2,2,DART_recommended,-0.0417003631591796
partial_library,A549,batch,0.4,2,DART_recommended,0.08002281188964849
partial_library,A549,batch,0.6,2,DART_recommended,0.3716106414794922
leave_drug_out,A549,Selisistat (EX 527),1.0,3,DART_recommended,2.4979705810546875
leave_drug_out,A549,PHA-680632,1.0,3,DART_recommended,0.014251708984375
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,3,DART_recommended,0.159200668334961
leave_drug_out,A549,GSK1070916,1.0,3,DART_recommended,0.44684028625488287
leave_drug_out,A549,Busulfan,1.0,3,DART_recommended,0.7574386596679688
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,3,DART_recommended,-0.01422119140625
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,3,DART_recommended,-0.024305343627929688
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,3,DART_recommended,0.3992500305175781
leave_drug_out,A549,Epothilone A,1.0,3,DART_recommended,-0.4292831420898437
leave_drug_out,A549,Resminostat,1.0,3,DART_recommended,0.0
leave_drug_out,A549,Decitabine,1.0,3,DART_recommended,2.4357624053955083
leave_drug_out,A549,JNJ-7706621,1.0,3,mean_or_no_call,0.3412227630615235
leave_drug_out,A549,PD173074,1.0,3,DART_recommended,0.06983947753906251
leave_drug_out,A549,AG-14361,1.0,3,mean_or_no_call,0.6482906341552734
leave_drug_out,A549,BMS-536924,1.0,3,DART_recommended,0.1294689178466797
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,3,DART_recommended,0.0835609436035156
leave_drug_out,A549,Triamcinolone Acetonide,1.0,3,DART_recommended,0.3805961608886719
leave_drug_out,A549,G007-LK,1.0,3,DART_recommended,0.1576900482177735
leave_drug_out,A549,Ki16425,1.0,3,mean_or_no_call,-0.013372421264648438
leave_drug_out,A549,S-Ruxolitinib (INCB018424),1.0,3,mean_or_no_call,0.0851974487304687
leave_drug_out,A549,Celecoxib,1.0,3,DART_recommended,0.006641387939453097
leave_drug_out,A549,Panobinostat (LBH589),1.0,3,mean_sufficient,0.0
leave_drug_out,A549,Tazemetostat (EPZ-6438),1.0,3,DART_recommended,0.1844024658203125
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,3,DART_recommended,0.21669197082519528
leave_drug_out,A549,RG108,1.0,3,DART_recommended,0.09885597229003909
leave_drug_out,A549,PF-573228,1.0,3,mean_or_no_call,0.5127105712890626
leave_drug_out,A549,MK-5108 (VX-689),1.0,3,DART_recommended,0.2233619689941406
leave_drug_out,A549,Regorafenib (BAY 73-4506),1.0,3,mean_or_no_call,0.052562713623046896
leave_drug_out,A549,Ofloxacin,1.0,3,DART_recommended,0.44578933715820324
leave_drug_out,A549,Amisulpride,1.0,3,DART_recommended,0.05484580993652341
leave_drug_out,A549,Meprednisone,1.0,3,mean_or_no_call,0.1135597229003906
leave_drug_out,A549,AZD1480,1.0,3,DART_recommended,0.0914192199707031
leave_drug_out,A549,Droxinostat,1.0,3,DART_recommended,0.24080085754394528
leave_drug_out,A549,Sirtinol,1.0,3,DART_recommended,0.3236713409423828
leave_drug_out,A549,Danusertib (PHA-739358),1.0,3,DART_recommended,0.29058837890625
leave_drug_out,A549,Dacinostat (LAQ824),1.0,3,mean_sufficient,-0.6416416168212891
leave_drug_out,A549,XAV-939,1.0,3,DART_recommended,0.1401691436767578
leave_drug_out,A549,BMS-754807,1.0,3,DART_recommended,0.9580936431884766
leave_drug_out,A549,PFI-1 (PF-6405761),1.0,3,DART_recommended,0.219045639038086
leave_drug_out,A549,Quercetin,1.0,3,DART_recommended,0.020967483520507806
leave_MoA_out,A549,PD173074,0.9414893617021276,3,mean_or_no_call,0.1501560211181641
leave_MoA_out,A549,Carmofur,0.8723404255319149,3,DART_recommended,0.2856426239013672
leave_MoA_out,A549,"Tozasertib (VX-680, MK-0457)",0.8882978723404256,3,DART_recommended,0.0722541809082031
leave_MoA_out,A549,Celecoxib,0.9787234042553192,3,DART_recommended,-0.0008316040039061945
leave_MoA_out,A549,SL-327,0.9787234042553192,3,DART_recommended,-0.0963859558105469
leave_MoA_out,A549,Disulfiram,0.973404255319149,3,mean_or_no_call,0.004352569580078097
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,3,DART_recommended,0.011104583740234306
leave_MoA_out,A549,Enzastaurin (LY317615),0.9840425531914894,3,DART_recommended,-0.031276702880859396
partial_library,A549,batch,0.2,3,DART_recommended,0.2492942810058593
partial_library,A549,batch,0.4,3,DART_recommended,0.2901134490966797
partial_library,A549,batch,0.6,3,mean_or_no_call,0.065652847290039
leave_drug_out,A549,SRT3025 HCl,1.0,4,DART_recommended,0.7526473999023438
leave_drug_out,A549,Divalproex Sodium,1.0,4,DART_recommended,0.2857723236083985
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,4,DART_recommended,0.14118576049804693
leave_drug_out,A549,Ofloxacin,1.0,4,DART_recommended,0.05012321472167969
leave_drug_out,A549,Sorafenib Tosylate,1.0,4,DART_recommended,0.042245864868164
leave_drug_out,A549,Epothilone A,1.0,4,DART_recommended,0.0
leave_drug_out,A549,Ki8751,1.0,4,DART_recommended,0.2223167419433594
leave_drug_out,A549,ENMD-2076,1.0,4,DART_recommended,0.3843421936035156
leave_drug_out,A549,AT9283,1.0,4,DART_recommended,0.2674674987792969
leave_drug_out,A549,CEP-33779,1.0,4,DART_recommended,0.1825618743896485
leave_drug_out,A549,Ramelteon,1.0,4,DART_recommended,0.1306991577148437
leave_drug_out,A549,Motesanib Diphosphate (AMG-706),1.0,4,DART_recommended,0.5402297973632814
leave_drug_out,A549,Azacitidine,1.0,4,DART_recommended,2.544719696044922
leave_drug_out,A549,WP1066,1.0,4,DART_recommended,0.2327423095703125
leave_drug_out,A549,Tie2 kinase inhibitor,1.0,4,mean_or_no_call,0.0410213470458985
leave_drug_out,A549,Trametinib (GSK1120212),1.0,4,DART_recommended,-0.0600357055664062
leave_drug_out,A549,SB431542,1.0,4,DART_recommended,0.2165241241455079
leave_drug_out,A549,Cimetidine,1.0,4,DART_recommended,0.7257213592529297
leave_drug_out,A549,G007-LK,1.0,4,DART_recommended,2.2228450775146484
leave_drug_out,A549,UNC0379,1.0,4,DART_recommended,0.0
leave_drug_out,A549,Streptozotocin (STZ),1.0,4,mean_or_no_call,-0.17665481567382818
leave_drug_out,A549,Raltitrexed,1.0,4,DART_recommended,0.0
leave_drug_out,A549,Flavopiridol HCl,1.0,4,DART_recommended,0.2773189544677734
leave_drug_out,A549,Sodium Phenylbutyrate,1.0,4,DART_recommended,0.083108901977539
leave_drug_out,A549,Ivosidenib (AG-120),1.0,4,DART_recommended,0.09215354919433591
leave_drug_out,A549,Lomustine,1.0,4,mean_or_no_call,0.0413131713867187
leave_drug_out,A549,Quercetin,1.0,4,DART_recommended,2.823383331298828
leave_drug_out,A549,NVP-BSK805 2HCl,1.0,4,DART_recommended,0.0
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,4,DART_recommended,0.3066558837890625
leave_drug_out,A549,Linifanib (ABT-869),1.0,4,mean_or_no_call,-0.018806457519531306
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,4,DART_recommended,2.4719581604003906
leave_drug_out,A549,Nilotinib (AMN-107),1.0,4,mean_or_no_call,0.0610637664794922
leave_drug_out,A549,S3I-201,1.0,4,DART_recommended,-0.070638656616211
leave_drug_out,A549,GSK1070916,1.0,4,DART_recommended,0.00714111328125
leave_drug_out,A549,INO-1001 (3-Aminobenzamide),1.0,4,DART_recommended,0.5388660430908203
leave_drug_out,A549,AZD1480,1.0,4,DART_recommended,0.2070960998535156
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,4,DART_recommended,0.0496711730957031
leave_drug_out,A549,BMS-911543,1.0,4,DART_recommended,0.170501708984375
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,4,DART_recommended,0.2974452972412109
leave_drug_out,A549,MK-5108 (VX-689),1.0,4,DART_recommended,0.284353256225586
leave_MoA_out,A549,Sorafenib Tosylate,0.9787234042553192,4,DART_recommended,0.48530006408691406
leave_MoA_out,A549,Givinostat (ITF2357),0.9361702127659576,4,DART_recommended,0.0
leave_MoA_out,A549,CEP-33779,0.8936170212765957,4,DART_recommended,0.1426830291748047
leave_MoA_out,A549,SNS-314,0.8882978723404256,4,DART_recommended,0.0
leave_MoA_out,A549,Celecoxib,0.9787234042553192,4,DART_recommended,0.06269073486328132
