split_type,cell_line,heldout_drug,observed_library_fraction,seed,structure_reliability_score,preference_conflict,true_divergence,recommendation_mode,minority_state_coverage_gap
leave_MoA_out,MCF7,PF-3845,0.973404255319149,3,0.4234969563610687,0.5423728813559322,1.6963778763929582,DART_recommended,0.0039063621749582
leave_MoA_out,MCF7,Pracinostat (SB939),0.9361702127659576,4,0.6849693792560102,0.507909604519774,0.6971415795430671,DART_recommended,0.0720358786646613
leave_MoA_out,MCF7,Prednisone,0.973404255319149,1,0.4938641729198961,0.6242937853107344,1.824984159137181,DART_recommended,-0.0039443639520589
leave_MoA_out,MCF7,Ramelteon,0.9893617021276596,0,0.7678268198004649,0.655367231638418,1.7653486146264523,DART_recommended,0.0136524146315671
leave_MoA_out,MCF7,Ramelteon,0.9893617021276596,2,0.4791383007585342,0.5937853107344633,1.766620040925512,DART_recommended,0.0006805768104551
leave_MoA_out,MCF7,SB431542,0.9840425531914894,3,0.6206014755343902,0.5870056497175141,1.6546770169509952,DART_recommended,-0.0058394396626947
leave_MoA_out,MCF7,SRT2104 (GSK2245840),0.8723404255319149,2,0.5037185634285095,0.5836158192090395,1.6753296218924965,DART_recommended,-0.0029845528422651
leave_MoA_out,MCF7,SRT3025 HCl,0.8723404255319149,0,0.5255971878355573,0.523728813559322,1.4935068339706956,DART_recommended,0.0517729240373031
leave_MoA_out,MCF7,Sodium Phenylbutyrate,0.8723404255319149,3,0.5696343974146779,0.6045197740112994,1.7810265605407225,DART_recommended,0.0001385913479026
leave_MoA_out,MCF7,Sorafenib Tosylate,0.9787234042553192,2,0.5129046912409648,0.7570621468926554,1.568570527593724,DART_recommended,0.0091418367263593
leave_MoA_out,MCF7,Sorafenib Tosylate,0.9787234042553192,4,0.6240310726828555,0.6372881355932203,1.7094470215184474,DART_recommended,0.0029434562694822
leave_MoA_out,MCF7,TGX-221,0.9840425531914894,0,0.40107531030228,0.6367231638418079,1.7982243752428064,DART_recommended,-0.0023800296725325
leave_MoA_out,MCF7,"Temsirolimus (CCI-779, NSC 683864)",0.9840425531914894,4,0.4576574152907328,0.6209039548022599,1.496743973692328,DART_recommended,0.0017890517777505
leave_MoA_out,MCF7,Thalidomide,0.9893617021276596,4,0.4115283558629763,0.6299435028248588,1.7910378715379498,DART_recommended,-0.004821909485733
leave_MoA_out,MCF7,Trametinib (GSK1120212),0.9787234042553192,3,0.6581176063930666,0.5050847457627119,1.067241571120538,DART_recommended,0.0
leave_MoA_out,MCF7,UNC0631,0.7978723404255319,2,0.6052951456264424,0.6084745762711864,1.6977132398194403,DART_recommended,0.0188886028384325
leave_MoA_out,MCF7,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,0,0.4897117076133836,0.5915254237288136,1.823484622953882,DART_recommended,-0.0002931087647087
leave_MoA_out,MCF7,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,0.6847769656942712,0.5661016949152542,1.7766240228184724,DART_recommended,-0.000620095844306
leave_MoA_out,MCF7,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,3,0.4328221522006585,0.5451977401129944,1.8006267945207604,DART_recommended,0.0014256762066315
leave_MoA_out,MCF7,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,4,0.3970149337030124,0.5728813559322034,1.806857155334612,mean_or_no_call,0.0020660185762008
leave_MoA_out,MCF7,ZM 447439,0.8882978723404256,4,0.4669594477223197,0.5389830508474576,1.703528413379224,DART_recommended,0.0071663745717175
leave_MoA_out,MCF7,Zileuton,0.973404255319149,0,0.524217456738924,0.6271186440677966,1.7745183394776498,DART_recommended,0.0054372276196977
leave_drug_out,A549,(+)-JQ1,1.0,0,0.4755873568190621,0.4101694915254237,0.752529471474307,DART_recommended,0.0268425536157413
leave_drug_out,A549,A-366,1.0,0,0.3902084209307609,0.6497175141242938,1.6569410472435286,mean_or_no_call,0.0015159947024487
leave_drug_out,A549,AC480 (BMS-599626),1.0,0,0.3837560145474873,0.5966101694915255,1.6043570087129384,mean_or_no_call,0.0026971241477121
leave_drug_out,A549,AC480 (BMS-599626),1.0,1,0.5518883381116526,0.6011299435028249,1.5984914944814614,DART_recommended,0.0272826885078416
leave_drug_out,A549,AG-14361,1.0,0,0.3948645827376118,0.6728813559322033,1.6798482036785345,mean_or_no_call,-6.275343760786534e-05
leave_drug_out,A549,AG-14361,1.0,1,0.3807311327351685,0.6056497175141243,1.6189217823430386,mean_or_no_call,0.0008436587743624
leave_drug_out,A549,AG-14361,1.0,3,0.3266341434438828,0.5932203389830508,1.6929541911634651,mean_or_no_call,0.0085104872135577
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,0,0.527973373495555,0.6175141242937853,1.6755304121681034,DART_recommended,0.0
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,3,0.4604227211794873,0.6231638418079096,1.684000458830448,DART_recommended,0.002204734564121
leave_drug_out,A549,AICAR (Acadesine),1.0,2,0.3739183869192667,0.6412429378531074,1.648064196680321,mean_or_no_call,0.009171026679278
leave_drug_out,A549,AR-42,1.0,2,0.5027531242301351,0.3649717514124294,0.6071718171692021,mean_sufficient,0.0494291078159566
leave_drug_out,A549,AT9283,1.0,4,0.6234001987310602,0.6129943502824858,1.266772407126025,DART_recommended,0.0049870553043949
leave_drug_out,A549,AZ 960,1.0,0,0.4049154081136783,0.7129943502824858,1.5228826477962238,DART_recommended,0.0040958609989028
leave_drug_out,A549,AZD1480,1.0,3,0.4403810436890619,0.7045197740112994,1.452243455401406,DART_recommended,-0.001036256605706
leave_drug_out,A549,AZD1480,1.0,4,0.5448728026482621,0.6717514124293785,1.3564478588588609,DART_recommended,0.0023885803515826
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,0.5112945181913691,0.5514124293785311,1.4378845489152003,DART_recommended,0.0021906893544915
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,1,0.4659021515214552,0.6135593220338983,1.4984184831357967,DART_recommended,0.0013480089517321
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,2,0.3331286363608406,0.6152542372881356,1.3832690370453538,mean_or_no_call,-0.0004396592050669
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,3,0.4218831082021423,0.6468926553672316,1.4624960109430525,DART_recommended,0.0009610057593691
leave_drug_out,A549,Altretamine,1.0,0,0.3492007086425335,0.6073446327683616,1.6711115073114038,mean_or_no_call,0.0041484988051123
leave_drug_out,A549,Altretamine,1.0,2,0.4300973180616081,0.5983050847457627,1.6546263812647306,DART_recommended,0.0007013984033388
leave_drug_out,A549,Amisulpride,1.0,3,0.4971026454827864,0.5830508474576271,1.7127083341422915,DART_recommended,-0.0010457514489579
leave_drug_out,A549,Andarine,1.0,1,0.363861402283041,0.5949152542372882,1.7121866769150234,mean_or_no_call,0.0121475173508548
leave_drug_out,A549,Aurora A Inhibitor I,1.0,1,0.594346385618204,0.6711864406779661,1.6768347760348603,DART_recommended,0.0060044530074384
leave_drug_out,A549,Azacitidine,1.0,1,0.5839613659440759,0.5949152542372882,1.4967214476373452,DART_recommended,0.0369359871680992
leave_drug_out,A549,Azacitidine,1.0,4,0.4542321006301462,0.631638418079096,1.5999575458745414,DART_recommended,0.0466831825996685
leave_drug_out,A549,BMS-265246,1.0,2,0.5626022907053555,0.6367231638418079,1.4893962786524102,DART_recommended,0.0022920094393892
leave_drug_out,A549,BMS-536924,1.0,3,0.4481804952112627,0.6474576271186441,1.4924040152079787,DART_recommended,0.0034424951142891
leave_drug_out,A549,BMS-754807,1.0,0,0.4122994871960084,0.6107344632768361,1.2649627614646752,DART_recommended,-0.0009012890337187
leave_drug_out,A549,BMS-754807,1.0,3,0.4276605621907749,0.6802259887005649,1.4987934435482235,DART_recommended,0.0100432216462874
leave_drug_out,A549,BMS-911543,1.0,4,0.5281296047832948,0.5734463276836158,1.6951629121136966,DART_recommended,0.0004110495454597
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,2,0.4241170996758556,0.5166713767604916,1.1177664467790225,DART_recommended,0.0014396613586228
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,3,0.4444674506047221,0.6180790960451977,1.4397214118157633,DART_recommended,0.0058546080073134
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",1.0,0,0.3144687020126395,0.5542372881355933,1.592902612010964,mean_or_no_call,-0.0033405036933128
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,2,0.6362876642796464,0.6293785310734463,1.703882957304973,DART_recommended,0.0275152637179804
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,4,0.4609618218912814,0.6152542372881356,1.700806312932185,DART_recommended,0.0507299411074532
leave_drug_out,A549,Busulfan,1.0,2,0.5244701098999665,0.6033898305084746,1.723224900216607,DART_recommended,0.0073713423764473
leave_drug_out,A549,Busulfan,1.0,3,0.5315006404222941,0.5847457627118644,1.715506623902332,DART_recommended,0.0113903322959227
leave_drug_out,A549,CEP-33779,1.0,4,0.6436568746636143,0.535593220338983,1.6213983237774825,DART_recommended,0.0002867271937991
leave_drug_out,A549,CUDC-101,1.0,1,0.6033608587463669,0.5299435028248588,0.9251349779382914,DART_recommended,0.0112789823716893
leave_drug_out,A549,CYC116,1.0,1,0.5021154191943018,0.6463276836158192,1.519038204194011,DART_recommended,0.0049955879240243
leave_drug_out,A549,CYC116,1.0,2,0.4154434281211401,0.5666666666666667,1.3970633377450357,DART_recommended,-0.0014574900132163
leave_drug_out,A549,Carmofur,1.0,0,0.5545056552496845,0.6192090395480226,1.459141400801907,DART_recommended,0.0022759226027215
leave_drug_out,A549,Carmofur,1.0,1,0.4077377789206598,0.6677966101694915,1.404776473775308,DART_recommended,-0.0005503498590069
leave_drug_out,A549,Celecoxib,1.0,1,0.5650572671242132,0.4864406779661017,1.6379025695684597,DART_recommended,0.0016576597096628
leave_drug_out,A549,Celecoxib,1.0,3,0.4897149967583106,0.5220338983050847,1.6978755051664374,DART_recommended,-0.001694288624145
leave_drug_out,A549,"Cerdulatinib (PRT062070, PRT2070)",1.0,2,0.5647462868068484,0.572316384180791,1.482592294079237,DART_recommended,0.0004879724918803
leave_drug_out,A549,Cimetidine,1.0,2,0.3930313720541429,0.6378531073446327,1.7210454976037528,mean_or_no_call,0.0066494861881264
leave_drug_out,A549,Cimetidine,1.0,4,0.452121689537006,0.6401129943502825,1.664818269342632,DART_recommended,0.0043284556354582
leave_drug_out,A549,Clevudine,1.0,0,0.3228383008417241,0.5220338983050847,1.6536059941469226,mean_or_no_call,0.0006083444237576
leave_drug_out,A549,Costunolide,1.0,0,0.4371961608985599,0.5338983050847458,1.6620339923830496,DART_recommended,0.0026586234033227
leave_drug_out,A549,Curcumin,1.0,1,0.4168970757415475,0.5384180790960452,1.5787663529747002,DART_recommended,0.0024342471125955
leave_drug_out,A549,Dacinostat (LAQ824),1.0,2,0.4920999141179738,0.288135593220339,0.5094969219313057,mean_sufficient,-0.1299033084821583
leave_drug_out,A549,Dacinostat (LAQ824),1.0,3,0.568194223050267,0.2406779661016949,0.4899265617428761,mean_sufficient,0.0890526264894067
leave_drug_out,A549,Danusertib (PHA-739358),1.0,2,0.4990053639185687,0.6491525423728813,1.5204712221529255,DART_recommended,0.005902269657668
leave_drug_out,A549,Danusertib (PHA-739358),1.0,3,0.4105947797708021,0.5977401129943503,1.3370535537911543,DART_recommended,-0.0042259319225518
leave_drug_out,A549,Daphnetin,1.0,1,0.5664774741538692,0.5610169491525424,1.6411601209968298,DART_recommended,-0.0001480813929001
leave_drug_out,A549,Decitabine,1.0,0,0.4156977276039517,0.5740112994350283,1.4880695499815135,DART_recommended,0.0529578729068843
leave_drug_out,A549,Decitabine,1.0,3,0.4452796529370199,0.5977401129943503,1.5701872853234995,DART_recommended,0.0503229749372153
leave_drug_out,A549,Divalproex Sodium,1.0,1,0.4583925850803187,0.6062146892655367,1.699376469533618,DART_recommended,0.0083250954243028
leave_drug_out,A549,Divalproex Sodium,1.0,4,0.5283764148980175,0.6361581920903955,1.6646549989088886,DART_recommended,0.0016794096949268
