split_type,cell_line,heldout_drug,observed_library_fraction,seed,classA_regret_reduction,classB_moa_ndcg_gain
leave_drug_out,K562,MK-0752,1.0,0,0.7158241271972656,0.0
leave_drug_out,K562,Resminostat,1.0,0,0.3374519348144531,0.18640809048586282
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,0,0.1628265380859375,0.0
leave_drug_out,K562,A-366,1.0,0,0.8756046295166016,-0.003932700162582792
leave_drug_out,K562,Veliparib (ABT-888),1.0,0,0.3878250122070313,0.03743766272987459
leave_drug_out,K562,Quercetin,1.0,0,0.2336292266845703,-0.3030616450015669
leave_drug_out,K562,AC480 (BMS-599626),1.0,0,0.04607200622558599,-0.2122263659729145
leave_drug_out,K562,"Baricitinib (LY3009104, INCB028050)",1.0,0,0.34918403625488287,-0.13500724570513462
leave_drug_out,K562,GSK1070916,1.0,0,0.1146945953369141,-0.006264810663179854
leave_drug_out,K562,TGX-221,1.0,0,0.05042076110839851,0.0
leave_drug_out,K562,AZ 960,1.0,0,0.29974937438964844,0.142019057177627
leave_drug_out,K562,AG-14361,1.0,0,0.0994281768798828,0.1755444049232346
leave_drug_out,K562,Givinostat (ITF2357),1.0,0,0.0,0.006744848662945668
leave_drug_out,K562,SRT2104 (GSK2245840),1.0,0,-0.11663436889648429,-0.034626994462339994
leave_drug_out,K562,Fasudil (HA-1077) HCl,1.0,0,0.4531745910644531,-0.13494864865645922
leave_drug_out,K562,M344,1.0,0,0.1269855499267578,-0.009927666537282498
leave_drug_out,K562,Hesperadin,1.0,0,1.0611991882324219,-0.13952025838127047
leave_drug_out,K562,SL-327,1.0,0,0.7804088592529298,-0.4692787260227564
leave_drug_out,K562,Ofloxacin,1.0,0,-0.10930442810058597,-0.011779195542260895
leave_drug_out,K562,TG101209,1.0,0,0.7012062072753906,0.33376902485486293
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,0,0.0916481018066406,0.1763001066034291
leave_drug_out,K562,Ki16425,1.0,0,0.10264778137207038,0.0
leave_drug_out,K562,(+)-JQ1,1.0,0,0.3546276092529297,-0.17835655342359746
leave_drug_out,K562,Decitabine,1.0,0,0.1115341186523437,0.0944114894383592
leave_drug_out,K562,Costunolide,1.0,0,-0.19361305236816412,-0.047908892494108
leave_drug_out,K562,Pirarubicin,1.0,0,0.0688362121582032,-0.3589542101716347
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,0,0.0272083282470703,0.0
leave_drug_out,K562,Hesperadin,1.0,1,-0.100189208984375,-0.17009882116743447
leave_drug_out,K562,WHI-P154,1.0,1,0.0,0.066254223454389
leave_drug_out,K562,Givinostat (ITF2357),1.0,1,0.0247669219970703,-0.04137036289245738
leave_drug_out,K562,FLLL32,1.0,1,1.3379268646240234,0.0783982689786753
leave_drug_out,K562,Zileuton,1.0,1,0.04779624938964841,0.0
leave_drug_out,K562,AC480 (BMS-599626),1.0,1,0.4215106964111328,-0.2240055615151755
leave_drug_out,K562,Andarine,1.0,1,0.4746513366699219,0.1128451413489352
leave_drug_out,K562,Regorafenib (BAY 73-4506),1.0,1,-0.005556106567382785,-0.08121041747903819
leave_drug_out,K562,AG-14361,1.0,1,0.7090473175048828,-0.195189000790661
leave_drug_out,K562,Tofacitinib (CP-690550) Citrate,1.0,1,-0.0882339477539063,-0.02142444227019069
leave_drug_out,K562,"Temsirolimus (CCI-779, NSC 683864)",1.0,1,0.13048171997070312,-0.1934264036172708
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,1,-0.05515098571777341,-0.1815417925373526
leave_drug_out,K562,Divalproex Sodium,1.0,1,0.6657962799072266,0.0
leave_drug_out,K562,GSK-LSD1 2HCl,1.0,1,0.31345748901367193,-0.3120490772217806
leave_drug_out,K562,Aurora A Inhibitor I,1.0,1,0.10207557678222656,-0.13886244387355462
leave_drug_out,K562,Curcumin,1.0,1,0.6761360168457031,0.07336392209936
leave_drug_out,K562,Tucidinostat (Chidamide),1.0,1,0.0,0.10686888466665179
leave_drug_out,K562,SL-327,1.0,1,0.168020248413086,-0.1480409554829326
leave_drug_out,K562,SNS-314,1.0,1,0.0,-0.0914335893792122
leave_drug_out,K562,Azacitidine,1.0,1,0.015689849853515597,0.0
leave_drug_out,K562,G007-LK,1.0,1,0.15535736083984375,0.1517621910780353
leave_drug_out,K562,Pracinostat (SB939),1.0,1,1.4985904693603516,0.2224495378730887
