cell_line,seed,query_drug,query_moa,dart_pick,mean_pick,picks_differ,dart_tanimoto,dart_ntargets,dart_target_jaccard,dart_moa_match,mean_tanimoto,mean_ntargets,mean_target_jaccard,mean_moa_match,dart_welfare,mean_welfare,dart_regret,mean_regret,regret_advantage
MCF7,42,Tanespimycin (17-AAG),Cytoskeletal Signaling,"Luminespib (AUY-922, NVP-AUY922)","Luminespib (AUY-922, NVP-AUY922)",0,0.06976744532585144,2,1.0,1,0.06976744532585144,2,1.0,1,0.6946974992752075,0.6946974992752075,0.0,0.0,0.0
MCF7,42,Tazemetostat (EPZ-6438),Epigenetics,BMS-911543,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1,0.171171173453331,1,0.0,0,0.0917431190609932,1,0.0,0,-0.06389515101909637,-0.3672730624675751,0.17805375158786774,0.48143166303634644,0.3033779114484787
MCF7,42,"Temsirolimus (CCI-779, NSC 683864)",PI3K/Akt/mTOR,Alisertib (MLN8237),TGX-221,1,0.07926829159259796,1,0.0,0,0.095238097012043,1,0.0,1,0.1505240797996521,-0.17760992050170898,0.022885486483573914,0.351019486784935,0.3281340003013611
MCF7,42,Thalidomide,Ubiquitin,PD98059,Tofacitinib (CP-690550) Citrate,1,0.1551724076271057,1,0.0,0,0.13513512909412384,1,0.0,0,-0.18937847018241882,0.1100851520895958,0.2994636222720146,0.0,-0.2994636222720146
MCF7,42,Thiotepa,Others,Decitabine,Epothilone A,1,0.0416666679084301,2,0.0,0,0.02777777798473835,1,0.0,0,-0.03202763572335243,-0.057644184678792953,0.11958590522408485,0.14520245417952538,0.02561654895544052
MCF7,42,Tie2 kinase inhibitor,Protein Tyrosine Kinase,SB431542,SB431542,0,0.25974026322364807,1,0.0,0,0.25974026322364807,1,0.0,0,0.3510459363460541,0.3510459363460541,0.0,0.0,0.0
MCF7,42,Tofacitinib (CP-690550) Citrate,JAK/STAT,Thalidomide,CYC116,1,0.13513512909412384,4,0.0,0,0.1195652186870575,4,0.0,0,0.1470182240009308,0.08512652665376663,0.0,0.061891697347164154,0.061891697347164154
MCF7,42,Toremifene Citrate,Endocrinology & Hormones,Fulvestrant,Fulvestrant,0,0.09803921729326248,6,0.25,1,0.09803921729326248,6,0.25,1,0.5849330425262451,0.5849330425262451,0.0,0.0,0.0
MCF7,42,"Tozasertib (VX-680, MK-0457)",Cell Cycle,Barasertib (AZD1152-HQPA),Pirarubicin,1,0.1875,1,0.0,1,0.0859375,1,0.0,0,0.1251937747001648,0.14288753271102905,0.02704411745071411,0.009350359439849854,-0.017693758010864258
MCF7,42,Trametinib (GSK1120212),MAPK,WHI-P154,Cediranib (AZD2171),1,0.09183673560619354,1,0.0,0,0.10619468986988068,6,0.0,0,0.45753908157348633,0.23516173660755157,0.0,0.22237734496593475,0.22237734496593475
