cell_line,query_drug,gdsc_drug,n_cand,query_magnitude,query_auc,energy_rho,energy_rho_uncentered,mean_cosine_ctrl_rho,mean_cosine_ctrl_rho_uncentered,mean_cosine_raw_rho,mean_cosine_raw_rho_uncentered,magnitude_only_rho,magnitude_only_rho_uncentered,magnitude_match_rho,magnitude_match_rho_uncentered,potency_match_rho,potency_match_rho_uncentered,energy_rho_partial_magmatch,oracle_vs_potencymatch_rho
A549,Trametinib (GSK1120212),Trametinib,33,4.77192510207286,0.534255,0.4605614973262032,0.4729278074866311,-0.0016711229946524066,0.06350267379679145,0.2710561497326203,0.36296791443850274,-0.48963903743315507,-0.4184491978609626,-0.46524064171123003,-0.39572192513368987,-0.38770053475935834,-0.28342245989304815,0.23462566844919788,-0.38770053475935834
A549,UNC0379,UNC0379,33,4.7934614794067185,0.899843,0.3455882352941177,0.09024064171122995,0.23128342245989308,0.23161764705882354,0.5046791443850268,0.4842914438502674,-0.09291443850267381,0.31216577540106955,-0.09926470588235295,0.30280748663101603,0.07252673796791445,-0.1948529411764706,0.2573529411764706,0.07252673796791445
A549,Veliparib (ABT-888),Veliparib,33,1.3180406968565317,0.977367,0.6697860962566845,0.6156417112299465,0.13569518716577542,0.10160427807486631,0.591577540106952,0.5447860962566845,-0.6724598930481284,-0.6203208556149733,0.6724598930481284,0.6203208556149733,0.8295454545454547,0.617312834224599,0.024732620320855617,0.8295454545454547
A549,XAV-939,XAV939,33,2.3825632317574192,0.942597,0.6303475935828877,0.47459893048128343,-0.1504010695187166,-0.39973262032085566,0.5180481283422461,0.4789438502673797,-0.6981951871657754,-0.6407085561497327,0.13903743315508021,0.21356951871657756,0.7272727272727273,0.44117647058823534,0.5935828877005348,0.7272727272727273
A549,ZM 447439,ZM447439,33,3.3354172156412036,0.828413,-0.12767379679144386,-0.0411096256684492,0.1771390374331551,0.161096256684492,-0.2396390374331551,-0.10093582887700536,0.7018716577540107,0.5815508021390374,0.5775401069518717,0.4923128342245989,0.4839572192513369,0.4565508021390375,-0.1537433155080214,0.4839572192513369
K562,(+)-JQ1,JQ1,33,5.543761392607591,0.892312,-0.1734625668449198,-0.034759358288770054,0.31951871657754016,0.3355614973262032,-0.1677807486631016,-0.034759358288770054,0.5614973262032086,0.5147058823529412,0.5233957219251337,0.4852941176470589,0.39872994652406424,0.17145721925133692,-0.06149732620320855,0.39872994652406424
K562,A-366,A-366,33,1.7753801049890903,0.967305,0.46590909090909094,0.47827540106951877,-0.1266711229946524,-0.170120320855615,0.4017379679144385,0.41778074866310166,-0.47459893048128343,-0.5073529411764707,0.47459893048128343,0.5073529411764707,0.42413101604278075,0.5247326203208557,0.08322192513368984,0.42413101604278075
K562,ABT-737,ABT737,33,2.3810772077334232,0.853671,0.05915775401069519,-0.14572192513368984,0.06517379679144385,0.04512032085561497,0.10661764705882353,-0.0768716577540107,0.04913101604278075,0.26838235294117646,0.125,-0.02540106951871658,0.2503342245989305,0.33990641711229946,-0.13995487724044137,0.2503342245989305
K562,AZ 960,AZ960,33,2.433860543007289,0.881096,-0.4893048128342246,-0.3532754010695187,0.37466577540106955,0.27807486631016043,-0.29913101604278075,-0.18114973262032086,0.4986631016042781,0.3663101604278075,-0.26403743315508027,-0.2730614973262032,0.36363636363636365,0.15775401069518719,-0.44819518716577544,0.36363636363636365
K562,Alisertib (MLN8237),Alisertib,33,4.490972121448748,0.889695,0.023729946524064172,-0.07854278074866311,0.44117647058823534,0.28843582887700536,0.12266042780748664,0.043114973262032084,0.4538770053475936,0.31216577540106955,0.4024064171122995,0.2667112299465241,0.40942513368983957,0.30013368983957217,-0.09090909090909091,0.40942513368983957
