cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,delta_cosine_rho,magsim_rho,magonly_rho,energy_vs_candmag_rho
K562,Pelitinib (EKB-569),51,1.3532776999151177,0.869369,0.6375565610859728,0.25819004524886874,-0.43864253393665154,0.7607239819004524,-0.8771945701357466
K562,"Rucaparib (AG-014699,PF-01367338) phosphate",51,1.0237906746424004,0.965869,0.7476923076923077,-0.11583710407239818,-0.7528506787330316,0.7531221719457013,-0.9800904977375565
K562,Ruxolitinib (INCB018424),51,0.9346653620575345,0.960993,0.754027149321267,0.10117647058823528,-0.7571945701357465,0.7562895927601809,-0.9641628959276018
K562,Selisistat (EX 527),51,0.9976194977000317,0.975166,0.7632579185520362,-0.27963800904977376,-0.7538461538461537,0.7529411764705882,-0.9752941176470588
K562,Sorafenib Tosylate,51,1.2355997560821768,0.811684,0.5967420814479637,0.4196380090497737,-0.5290497737556561,0.761447963800905,-0.8775565610859728
K562,TGX-221,51,1.1158608570930504,0.976129,0.7828959276018099,-0.6652488687782805,-0.6472398190045249,0.7569230769230769,-0.9824434389140272
K562,Tanespimycin (17-AAG),51,2.7042616827063246,0.789399,-0.022171945701357467,0.698552036199095,0.35828054298642537,0.754027149321267,-0.22814479638009047
K562,"Temsirolimus (CCI-779, NSC 683864)",51,1.5085070648489047,0.955521,0.7454298642533936,-0.1420814479638009,-0.3320361990950226,0.7604524886877828,-0.951945701357466
K562,"Tozasertib (VX-680, MK-0457)",51,2.5853217143404565,0.70345,0.18968325791855203,0.405972850678733,0.2604524886877828,0.751764705882353,-0.42968325791855205
K562,Trametinib (GSK1120212),51,4.795133457774936,0.892222,-0.22823529411764704,0.705158371040724,0.7685067873303166,0.7781900452488686,0.08352941176470588
K562,Trichostatin A (TSA),51,1.7629996825994687,0.770205,0.5102262443438914,0.3887782805429864,-0.19149321266968325,0.7564705882352941,-0.7026244343891402
K562,Tubastatin A HCl,51,0.9780378949264497,0.921961,0.7736651583710407,-0.22515837104072398,-0.7772850678733032,0.7657918552036199,-0.989864253393665
K562,UNC0379,51,1.3524515137045021,0.969889,0.6447058823529411,0.33710407239819007,-0.3974660633484163,0.7664253393665158,-0.865158371040724
K562,Veliparib (ABT-888),51,1.0577025141215894,0.986578,0.7772850678733032,-0.1564705882352941,-0.7301357466063348,0.7561990950226244,-0.9578280542986425
K562,XAV-939,51,0.9348986272889523,0.9691,0.7592760180995475,-0.5398190045248868,-0.7557466063348416,0.7552941176470588,-0.9744796380090497
K562,ZM 447439,51,1.2033656921771156,0.941913,0.6567420814479638,-0.3200904977375565,-0.5346606334841628,0.7552941176470588,-0.8936651583710407
MCF7,(+)-JQ1,50,3.442594611818824,0.679716,0.15092436974789916,0.2329411764705882,0.29027611044417767,0.506266506602641,-0.25406962785114046
MCF7,A-366,50,0.7163974386586118,0.9825,0.516734693877551,0.1173109243697479,-0.4655462184873949,0.524609843937575,-0.98828331332533
MCF7,ABT-737,50,0.7554725217737446,0.894256,0.5104921968787515,4.801920768307323e-05,-0.4650660264105642,0.5481392557022808,-0.9664825930372148
MCF7,AR-42,50,3.8187546564425157,0.924158,0.007923169267707083,0.4188715486194478,0.3426170468187274,0.5342136854741897,-0.05286914765906363
MCF7,AZ 960,50,0.7961337146731454,0.969584,0.4133013205282113,-0.10981992797118847,-0.4067707082833133,0.5327731092436975,-0.7945738295318127
MCF7,AZD1480,50,0.972076095879249,0.823823,0.43490996398559423,-0.15140456182472986,-0.32158463385354136,0.5376710684273709,-0.6558943577430972
MCF7,Alisertib (MLN8237),50,1.073185630756896,0.945417,0.3041056422569028,0.1669627851140456,-0.28403361344537814,0.5342136854741897,-0.7155342136854741
MCF7,Avagacestat (BMS-708163),50,0.897186295553119,0.97997,0.5310444177671068,-0.3582713085234094,-0.28893157262905156,0.5379591836734693,-0.9481392557022807
MCF7,BMS-536924,50,0.8517517473639558,0.927373,0.40619447779111645,-0.06429771908763504,-0.3690276110444177,0.5352701080432173,-0.7452100840336134
MCF7,BMS-754807,50,1.2156945995783563,0.827285,0.30929171668667466,-0.007346938775510203,-0.2824969987995198,0.5221128451380552,-0.6174789915966385
MCF7,Belinostat (PXD101),50,3.0521398854681445,0.901229,0.16945978391356542,0.42050420168067226,0.31102040816326526,0.524609843937575,-0.19106842737094837
MCF7,Bosutinib (SKI-606),50,1.1433597718083137,0.977086,0.5352701080432173,-0.07783913565426169,-0.2552220888355342,0.5504441776710683,-0.7244657863145257
MCF7,CUDC-101,50,1.1956304331164767,0.911969,0.3574069627851141,0.4175270108043217,-0.27827130852340937,0.5281632653061225,-0.7249459783913565
MCF7,Cediranib (AZD2171),50,0.9626637686506803,0.920564,0.5042496998799519,-0.10905162064825931,-0.3160144057623049,0.5369027611044418,-0.780360144057623
MCF7,Crizotinib (PF-02341066),50,0.7208386089174521,0.946725,0.4796638655462185,-0.1156782713085234,-0.4853301320528211,0.5310444177671068,-0.9407442977190876
MCF7,Dacinostat (LAQ824),50,6.951588913443491,0.348357,-0.3655702280912365,0.3439615846338535,0.5044417767106842,0.5044417767106842,0.3707563025210084
MCF7,Dasatinib,50,1.7988974552360488,0.983128,0.5151980792316927,-0.19106842737094837,-0.13728691476590635,0.5694597839135654,-0.5773349339735894
MCF7,Entinostat (MS-275),50,2.1048104722196674,0.93085,0.30084033613445377,0.47054021608643454,0.07947178871548619,0.5280672268907564,-0.6296758703481392
MCF7,Enzastaurin (LY317615),50,0.6461040966638357,0.969649,0.5119327731092437,-0.012917166866746698,-0.5380552220888355,0.5327731092436975,-0.9823289315726289
MCF7,"Fedratinib (SAR302503, TG101348)",50,1.6082593586491862,0.985682,0.4077310924369748,0.3431932773109243,-0.18578631452581032,0.5774309723889556,-0.6407202881152461
MCF7,Flavopiridol HCl,50,3.33736887273544,0.444326,0.33368547418967587,0.10271308523409363,0.29027611044417767,0.5059783913565427,-0.44019207683073225
