condition,query,n_cand,query_magnitude,energy_rho,mean_cosine_ctrl_rho,magnitude_match_rho,magnitude_only_rho,energy_rho_partial_magmatch
Co-culture,RNASEH2A,218,1.9806835651397705,0.45129842488629834,0.6143673164920433,-0.14723088212042956,-0.013519093700066428,0.4485880038386048
Co-culture,RNF213,218,0.7337895631790161,0.22377659637621014,0.2587033183545891,0.23777863620647616,-0.34459239147746323,0.08492015551330336
Co-culture,RPSA,218,1.0265281200408936,0.1075776538525913,0.04740283169501508,0.08286301543607953,-0.099313186256312,0.10961626113632664
Co-culture,RRS1,218,1.4469786882400513,0.10145317413273443,0.18687368569193052,0.2747920997017957,0.23264273581097475,0.2370025754791451
Co-culture,RTP4,218,0.6102026104927063,-0.0475835402105288,-0.03385767625410544,-0.25925582726046503,0.26826392319547054,0.1988215459940498
Co-culture,S100A6,218,0.7156733870506287,0.10967880931435033,0.26349752037014623,-0.09000393242711834,0.10135179354004732,0.21926785041024074
Co-culture,S100B,218,0.767903745174408,0.076580398443477,-0.05056730618317697,-0.028341853592089742,-0.12319269066624813,0.09647766885257104
Co-culture,SAT1,218,0.9001073837280273,0.15680422825683438,-0.0025001896715583587,0.12051470200715944,-0.2459191657463011,0.15676600437026436
Co-culture,SCARB2,218,0.7092008590698242,0.2665450065994119,0.4268536702749629,0.16757641447202676,-0.17228837721647866,0.21634314393783635
Co-culture,SDC3,218,0.6933285593986511,0.3869464193464592,0.6832734009818905,-0.005766594523907014,0.04559125113151391,0.502534649084451
Co-culture,SDCBP,218,0.8031904101371765,0.20540364291119856,0.12821855260041154,0.11116027449383754,-0.28474305150552887,0.1740652087921889
Co-culture,SEC11C,218,0.8291835188865662,0.26877010011762525,0.4754327552067014,0.024138384368978652,0.2070929633878873,0.287549611419444
Co-culture,SERPINA3,218,0.7367295026779175,0.13820541169152858,0.41522550066052033,-0.11119849838040759,0.20616516541386912,0.29678010087631157
Co-culture,SERPINE2,218,1.0509322881698608,0.4247792787092779,0.640400099845425,0.3133611595505566,0.19353622495104736,0.42546139416413914
