separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
2.0,400,3,800,0.35328366396473754,0.7975,2,0.2319610767546681,0.74125,2,0.10300841132050387,0.74875,6,0.0,0.5,0,0.95,0.98943125,0.8097619286012621,0.90375,0.9705625,0.6516222193562193,0.76,0.85864375,0.2694967908381339,0.95,0.98943125,0.8097619286012621
2.0,400,4,800,0.2466907680074728,0.74875,2,0.1927943097146401,0.72,2,0.11968615610458597,0.74125,7,0.0,0.5,0,0.94875,0.9875812500000001,0.8052627080452093,0.88,0.968203125,0.5770745058103954,0.77,0.8658625,0.29071548048154167,0.94875,0.9875812500000001,0.8052627080452093
2.0,400,5,800,0.2854084740946641,0.7675,2,0.15322315114075977,0.69625,2,0.10768044188280845,0.7,6,0.0,0.5,0,0.92875,0.9832375,0.7349747217030665,0.89375,0.958396875,0.6196824267818835,0.7625,0.8516999999999999,0.27473146280813737,0.92875,0.9832375,0.7349747217030665
2.0,400,6,800,0.27478598910974134,0.7625,2,0.1435500082199853,0.69,2,0.14874171988176801,0.75,7,0.0,0.5,0,0.95,0.99044375,0.8097621193159056,0.9025,0.9707125,0.6475871192770216,0.8025,0.884571875,0.3652419993924922,0.95,0.99044375,0.8097621193159056
2.0,400,7,800,0.25162698781244086,0.75125,2,0.15319928157896023,0.69625,2,0.12279808358926138,0.73375,6,0.0,0.5,0,0.94625,0.9887812500000001,0.7963013861312036,0.8725,0.956078125,0.5544685177960544,0.76,0.8569749999999999,0.2695187598656251,0.94625,0.9887812500000001,0.7963013861312036
2.0,400,8,800,0.29074607691782606,0.77,2,0.14350824093320694,0.69,2,0.14747952181061275,0.74,7,0.0,0.5,0,0.94,0.986175,0.7741176399823195,0.8925,0.9701843750000001,0.6157504469929054,0.7975,0.880659375,0.35326218934573145,0.94,0.986175,0.7741176399823195
2.0,400,9,800,0.2176445525439239,0.73375,2,0.14542312260756263,0.69125,2,0.10593963550093558,0.70375,7,0.0,0.5,0,0.9425,0.9867375,0.7829533589300326,0.8925,0.967196875,0.6157475579246792,0.7525,0.8466656250000001,0.25409154084065905,0.9425,0.9867375,0.7829533589300326
3.0,50,0,100,0.9208012930401136,0.98,2,0.9208012930401136,0.98,2,0.46944641487926586,0.95,4,0.0,0.5,0,1.0,1.0,1.0,0.97,0.998,0.8824127248460211,0.75,0.9654,0.24427480916030533,1.0,1.0,1.0
3.0,50,1,100,0.45748116254036597,0.84,2,0.4305125790394188,0.83,2,0.3711312339505339,0.83,3,0.0,0.5,0,0.97,0.9972,0.8824127248460211,0.96,0.9831999999999999,0.8448326530612245,0.79,0.8715999999999999,0.3296969696969697,0.97,0.9972,0.8824127248460211
3.0,50,2,100,0.6691665204565022,0.91,2,0.5735404496948732,0.88,2,0.41994325091203893,0.87,3,0.0,0.5,0,0.99,1.0,0.9599960816486464,0.94,0.9888,0.7720979591836735,0.55,0.9378,0.008096346523631212,0.99,1.0,0.9599960816486464
