drug,n_a,n_b,eff_a,eff_b,cross_cos,rel_a,rel_b,reliable,clears_gate,pair
AG-490 (Tyrphostin B42),480,480,1.2055854797363281,0.8287348747253418,0.034704867750406265,0.36891948580741885,0.19118493497371675,False,False,K562+A549
"Fluorouracil (5-Fluoracil, 5-FU)",480,480,0.9223230481147766,1.4328211545944214,0.03472946956753731,0.071864815056324,0.690342128276825,False,False,K562+A549
TGX-221,480,480,1.1158607006072998,0.7876701354980469,0.0362708754837513,0.26196021437644956,0.14621578752994538,False,False,K562+A549
XAV-939,480,480,0.934898853302002,1.193991780281067,0.03654027357697487,0.03035283423960209,0.5544206857681274,False,False,K562+A549
Lapatinib (GW-572016) Ditosylate,480,480,1.0745398998260498,1.2388584613800049,0.03820274770259857,0.22458825409412383,0.5378579795360565,False,False,K562+A549
CEP-33779,480,480,1.1213010549545288,0.9292923212051392,0.03855403885245323,0.2883514702320099,0.36476040482521055,False,False,K562+A549
MK-5108 (VX-689),435,480,1.3354054689407349,1.6174365282058716,0.039826903492212296,0.3783291816711426,0.7330875635147095,False,False,K562+A549
Avagacestat (BMS-708163),480,480,0.9574583172798157,0.729644775390625,0.04139258340001106,0.128521865606308,0.10618425831198693,False,False,K562+A549
UNC0631,480,480,1.0493751764297485,1.2506955862045288,0.04247000440955162,0.1832696884870529,0.6036858558654785,False,False,K562+A549
NVP-BSK805 2HCl,480,480,1.2479252815246582,0.8618665337562561,0.04375504329800606,0.40481619238853456,0.2866907000541687,False,False,K562+A549
Ofloxacin,480,480,1.0355433225631714,1.0834875106811523,0.04410144314169884,0.17481984198093414,0.4559797763824463,False,False,K562+A549
A-366,480,480,0.9570955038070679,0.9963008165359497,0.044120289385318756,0.11051004976034165,0.3624711334705353,False,False,K562+A549
Sirtinol,480,480,1.0598655939102173,0.8234235644340515,0.044419869780540466,0.1828323632478714,0.1897686891257763,False,False,K562+A549
MC1568,480,480,0.987017035484314,0.7169739603996277,0.04451317340135574,0.128147404640913,0.11437487527728081,False,False,K562+A549
Valproic acid sodium salt (Sodium valproate),480,480,0.9352814555168152,0.8896304368972778,0.04522515833377838,0.11804112046957016,0.29000864624977113,False,False,K562+A549
"Temsirolimus (CCI-779, NSC 683864)",480,480,1.5085070133209229,1.729645848274231,0.04577250778675079,0.5236294150352478,0.736959946155548,True,True,K562+A549
BMS-754807,480,480,1.0919488668441772,1.5368152856826782,0.04593705013394356,0.20999044477939605,0.6807178378105163,False,False,K562+A549
