fpr,tpr
0.3,0.4010416666666667
0.3,0.40127314814814813
0.3,0.4047453703703704
0.3,0.40497685185185184
0.3,0.4056712962962963
0.3,0.4059027777777778
0.3,0.4064814814814815
0.3,0.40717592592592594
0.3,0.40729166666666666
0.3,0.4076388888888889
0.3,0.4077546296296296
0.3,0.4079861111111111
0.3,0.40902777777777777
0.3,0.40925925925925927
0.3,0.4096064814814815
0.3,0.409837962962963
0.3,0.41006944444444443
0.3,0.41030092592592593
0.3,0.41064814814814815
0.3,0.4111111111111111
0.3,0.4115740740740741
0.3,0.41180555555555554
0.3,0.412962962962963
0.3,0.4131944444444444
0.3,0.41412037037037036
0.3,0.41435185185185186
0.3,0.4148148148148148
0.3,0.41550925925925924
0.3,0.41574074074074074
0.3,0.41631944444444446
0.3,0.4165509259259259
0.3,0.41898148148148145
0.3,0.41921296296296295
0.3,0.41944444444444445
0.3,0.41967592592592595
0.3,0.4197916666666667
0.3,0.4200231481481482
0.3,0.4202546296296296
0.3,0.4204861111111111
0.3,0.4219907407407407
0.3,0.4222222222222222
0.3,0.42233796296296294
0.3,0.42256944444444444
0.3,0.4238425925925926
0.3,0.4241898148148148
0.3,0.42453703703703705
0.3,0.42476851851851855
0.3,0.4287037037037037
0.3,0.4289351851851852
0.3,0.4305555555555556
0.3,0.430787037037037
0.3,0.4326388888888889
0.3,0.4329861111111111
0.3,0.43425925925925923
0.3,0.43449074074074073
0.3,0.4427083333333333
0.3,0.4429398148148148
0.3,0.4440972222222222
0.3,0.4443287037037037
0.3,0.45
0.31645833333333334,0.45
0.316875,0.45
0.32208333333333333,0.45
0.3225,0.45
0.3225,0.4510416666666667
0.3225,0.4512731481481482
0.3225,0.4516203703703704
0.3225,0.45185185185185184
0.3225,0.4564814814814815
0.3225,0.456712962962963
0.3225,0.4576388888888889
0.3225,0.45787037037037037
0.3225,0.4619212962962963
0.3225,0.4621527777777778
0.3225,0.46284722222222224
0.3225,0.4630787037037037
0.3225,0.4634259259259259
0.3225,0.4636574074074074
0.3225,0.46458333333333335
0.3225,0.4648148148148148
0.3225,0.46597222222222223
0.3225,0.46620370370370373
0.3225,0.4706018518518518
0.3225,0.4708333333333333
0.3225,0.47199074074074077
0.3225,0.4722222222222222
0.3225,0.475
0.33,0.475
0.33,0.47673611111111114
0.33,0.4769675925925926
0.33,0.48055555555555557
0.33,0.480787037037037
0.33,0.4826388888888889
0.33,0.4828703703703704
0.33,0.4841435185185185
0.33,0.484375
0.33,0.4863425925925926
0.33,0.48657407407407405
0.33,0.48692129629629627
0.33,0.48715277777777777
0.33,0.490625
0.33,0.4908564814814815
0.33,0.4931712962962963
0.33,0.4934027777777778
0.33,0.5112268518518519
0.33,0.5114583333333333
0.33,0.5130787037037037
0.33,0.5133101851851852
0.33,0.5152777777777777
0.33,0.5155092592592593
0.33,0.5170138888888889
0.33,0.5172453703703703
0.33,0.517824074074074
0.33,0.5180555555555556
0.33,0.5190972222222222
0.33,0.5193287037037037
0.33,0.5196759259259259
0.33,0.5201388888888889
0.33,0.5211805555555555
0.33,0.5214120370370371
0.33,0.521875
0.33,0.5221064814814815
0.33,0.5225694444444444
0.33,0.522800925925926
0.33,0.5256944444444445
0.33,0.5259259259259259
0.33,0.5265046296296296
0.33,0.5267361111111111
0.33,0.5324074074074074
0.33,0.5328703703703703
0.33,0.5348379629629629
0.33,0.5351851851851852
0.33,0.5354166666666667
0.33,0.5356481481481481
0.33,0.537962962962963
0.33,0.5381944444444444
0.33,0.5390046296296296
0.33,0.5392361111111111
0.33,0.5421296296296296
0.33,0.5423611111111111
0.33,0.5430555555555555
0.33,0.5434027777777778
0.33,0.5444444444444444
0.33,0.544675925925926
0.33,0.5453703703703704
0.33,0.5456018518518518
0.33,0.549074074074074
0.33,0.5493055555555556
0.33,0.55
0.336875,0.55
0.33729166666666666,0.55
0.39,0.55
0.39,0.5505787037037037
0.39,0.5508101851851852
0.39,0.5509259259259259
0.39,0.5511574074074074
0.39,0.5515046296296297
0.39,0.553125
0.39,0.5533564814814815
0.39,0.553587962962963
0.39,0.5538194444444444
0.39,0.5555555555555556
0.39,0.555787037037037
0.39,0.5559027777777777
0.39,0.5561342592592593
0.39,0.5563657407407407
0.39,0.5565972222222222
0.39,0.5571759259259259
0.39,0.5574074074074075
0.39,0.5589120370370371
0.39,0.5591435185185185
0.39,0.559837962962963
0.39,0.5600694444444444
0.39,0.5605324074074074
0.39,0.5608796296296297
0.39,0.5611111111111111
0.39,0.5613425925925926
0.39,0.5633101851851852
0.39,0.5635416666666667
0.39,0.5636574074074074
0.39,0.5638888888888889
0.39,0.564699074074074
0.39,0.5653935185185185
0.39,0.5657407407407408
0.39,0.5660879629629629
0.39,0.5663194444444445
0.39,0.5665509259259259
0.39,0.5670138888888889
0.39,0.5672453703703704
0.39,0.5679398148148148
0.39,0.5681712962962963
0.39,0.5689814814814815
0.39,0.569212962962963
0.39,0.5702546296296296
0.39,0.5704861111111111
0.39,0.570949074074074
0.39,0.571412037037037
0.39,0.5715277777777777
0.39,0.5717592592592593
0.39,0.5721064814814815
0.39,0.5726851851851852
0.39,0.5729166666666666
0.39,0.5738425925925926
0.39,0.5740740740740741
0.39,0.5741898148148148
0.39,0.5744212962962963
0.39,0.5782407407407407
0.39,0.5784722222222223
0.39,0.5839120370370371
0.39,0.5841435185185185
0.39,0.5881944444444445
0.39,0.5884259259259259
0.39,0.5920138888888888
0.39,0.5922453703703704
0.39,0.5974537037037037
0.39,0.5976851851851852
0.39,0.5989583333333334
0.39,0.5991898148148148
0.39,0.602199074074074
0.39,0.6024305555555556
0.39,0.602662037037037
0.39,0.6028935185185185
0.39,0.6038194444444445
0.39,0.6040509259259259
0.39,0.6045138888888889
0.39,0.6049768518518519
0.39,0.6063657407407408
0.39,0.6065972222222222
0.39,0.6072916666666667
0.39,0.6075231481481481
0.39,0.6105324074074074
0.39,0.6107638888888889
0.39,0.6108796296296296
0.39,0.6111111111111112
0.39,0.6113425925925926
0.39,0.611574074074074
0.39,0.6137731481481481
0.39,0.6140046296296297
0.39,0.6173611111111111
0.39,0.6175925925925926
0.39,0.6201388888888889
0.39,0.6204861111111111
0.39,0.6210648148148148
