seed,n_per_source,acc_kmeans_k2,acc_gmm_k2,acc_leiden,acc_hdbscan,best_unsup,ceiling_infold,ceiling_infold_auc,ceiling_matched,ceiling_matched_auc,sup_linear,sup_forest,sup_knn,gap_infold,gap_matched,arm,unit,patient,compartment,drug_a,drug_b
0,86,0.9186046511627907,0.9186046511627907,0.8197674418604651,0.5,0.9186046511627907,0.9127906976744186,0.9494321254732287,0.8953488372093024,0.9337479718766901,0.8604651162790697,0.8953488372093024,0.7616279069767442,-0.005813953488372103,-0.023255813953488302,constructed_drug,K562 Mocetinostat (MGCD0103) vs Tofacitinib (CP-690550) Citrate,-,K562,Mocetinostat (MGCD0103),Tofacitinib (CP-690550) Citrate
1,86,0.9127906976744186,0.9011627906976745,0.8604651162790697,0.5,0.9127906976744186,0.8953488372093024,0.9469983775013521,0.8953488372093024,0.9083964305029746,0.8197674418604651,0.8953488372093024,0.7558139534883721,-0.0174418604651162,-0.0174418604651162,constructed_drug,K562 Mocetinostat (MGCD0103) vs Tofacitinib (CP-690550) Citrate,-,K562,Mocetinostat (MGCD0103),Tofacitinib (CP-690550) Citrate
2,86,0.9069767441860465,0.9069767441860465,0.8662790697674418,0.5,0.9069767441860465,0.9011627906976745,0.9395619253650622,0.9011627906976745,0.9173201730665224,0.8372093023255814,0.9011627906976745,0.7674418604651163,-0.005813953488371992,-0.005813953488371992,constructed_drug,K562 Mocetinostat (MGCD0103) vs Tofacitinib (CP-690550) Citrate,-,K562,Mocetinostat (MGCD0103),Tofacitinib (CP-690550) Citrate
3,86,0.9069767441860465,0.872093023255814,0.8372093023255814,0.5,0.9069767441860465,0.9069767441860465,0.9532179556517036,0.877906976744186,0.9283396430502975,0.8372093023255814,0.877906976744186,0.7558139534883721,0.0,-0.029069767441860406,constructed_drug,K562 Mocetinostat (MGCD0103) vs Tofacitinib (CP-690550) Citrate,-,K562,Mocetinostat (MGCD0103),Tofacitinib (CP-690550) Citrate
4,86,0.9127906976744186,0.9127906976744186,0.8488372093023255,0.5,0.9127906976744186,0.9069767441860465,0.9529475392103839,0.8953488372093024,0.9311114115738236,0.8255813953488372,0.8953488372093024,0.7441860465116279,-0.005813953488372103,-0.0174418604651162,constructed_drug,K562 Mocetinostat (MGCD0103) vs Tofacitinib (CP-690550) Citrate,-,K562,Mocetinostat (MGCD0103),Tofacitinib (CP-690550) Citrate
0,86,0.9011627906976745,0.8953488372093024,0.872093023255814,0.5,0.9011627906976745,0.9011627906976745,0.9348296376419687,0.8953488372093024,0.9186046511627907,0.8604651162790697,0.8953488372093024,0.6802325581395349,0.0,-0.005813953488372103,constructed_drug,K562 Mocetinostat (MGCD0103) vs WHI-P154,-,K562,Mocetinostat (MGCD0103),WHI-P154
1,86,0.872093023255814,0.877906976744186,0.8313953488372093,0.5,0.877906976744186,0.8953488372093024,0.934559221200649,0.8837209302325582,0.9078555976203353,0.8313953488372093,0.8837209302325582,0.6802325581395349,0.01744186046511631,0.005813953488372103,constructed_drug,K562 Mocetinostat (MGCD0103) vs WHI-P154,-,K562,Mocetinostat (MGCD0103),WHI-P154
2,86,0.8895348837209303,0.872093023255814,0.8662790697674418,0.5,0.8895348837209303,0.8837209302325582,0.9236073553272038,0.8662790697674418,0.9079908058409951,0.8081395348837209,0.8662790697674418,0.6802325581395349,-0.005813953488372103,-0.023255813953488413,constructed_drug,K562 Mocetinostat (MGCD0103) vs WHI-P154,-,K562,Mocetinostat (MGCD0103),WHI-P154
3,86,0.8662790697674418,0.872093023255814,0.8372093023255814,0.5,0.872093023255814,0.8953488372093024,0.9321254732287723,0.877906976744186,0.9118442401297999,0.8488372093023255,0.877906976744186,0.6627906976744186,0.023255813953488413,0.005813953488372103,constructed_drug,K562 Mocetinostat (MGCD0103) vs WHI-P154,-,K562,Mocetinostat (MGCD0103),WHI-P154
4,86,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.5,0.8837209302325582,0.9069767441860465,0.9332071389940508,0.9011627906976745,0.9180638182801514,0.872093023255814,0.9011627906976745,0.7151162790697675,0.023255813953488302,0.01744186046511631,constructed_drug,K562 Mocetinostat (MGCD0103) vs WHI-P154,-,K562,Mocetinostat (MGCD0103),WHI-P154
0,86,0.8953488372093024,0.8953488372093024,0.8372093023255814,0.5,0.8953488372093024,0.8837209302325582,0.9333423472147107,0.877906976744186,0.9261087074094105,0.7965116279069767,0.877906976744186,0.6569767441860465,-0.011627906976744207,-0.01744186046511631,constructed_drug,K562 Mocetinostat (MGCD0103) vs WP1066,-,K562,Mocetinostat (MGCD0103),WP1066
1,86,0.8662790697674418,0.8953488372093024,0.8430232558139535,0.5,0.8953488372093024,0.8895348837209303,0.9409140075716604,0.9011627906976745,0.9221200648999459,0.8313953488372093,0.9011627906976745,0.7151162790697675,-0.005813953488372103,0.005813953488372103,constructed_drug,K562 Mocetinostat (MGCD0103) vs WP1066,-,K562,Mocetinostat (MGCD0103),WP1066
2,86,0.9069767441860465,0.877906976744186,0.872093023255814,0.5,0.9069767441860465,0.877906976744186,0.9367225527312061,0.9069767441860465,0.935235262303948,0.872093023255814,0.9069767441860465,0.6744186046511628,-0.029069767441860406,0.0,constructed_drug,K562 Mocetinostat (MGCD0103) vs WP1066,-,K562,Mocetinostat (MGCD0103),WP1066
3,86,0.8953488372093024,0.9069767441860465,0.8546511627906976,0.5,0.9069767441860465,0.8895348837209303,0.9295565170362358,0.8895348837209303,0.9266495402920497,0.8372093023255814,0.8895348837209303,0.6802325581395349,-0.0174418604651162,-0.0174418604651162,constructed_drug,K562 Mocetinostat (MGCD0103) vs WP1066,-,K562,Mocetinostat (MGCD0103),WP1066
4,86,0.9069767441860465,0.8662790697674418,0.8546511627906976,0.5,0.9069767441860465,0.9011627906976745,0.9323958896700919,0.8953488372093024,0.9376014061654949,0.8662790697674418,0.8953488372093024,0.6744186046511628,-0.005813953488371992,-0.011627906976744096,constructed_drug,K562 Mocetinostat (MGCD0103) vs WP1066,-,K562,Mocetinostat (MGCD0103),WP1066
0,83,0.9036144578313253,0.9096385542168675,0.8554216867469879,0.5,0.9096385542168675,0.927710843373494,0.9512265931194659,0.8975903614457831,0.9549281463202207,0.891566265060241,0.8975903614457831,0.6024096385542169,0.01807228915662651,-0.012048192771084376,constructed_drug,K562 Panobinostat (LBH589) vs Filgotinib (GLPG0634),-,K562,Panobinostat (LBH589),Filgotinib (GLPG0634)
1,83,0.9036144578313253,0.9036144578313253,0.8855421686746988,0.5,0.9036144578313253,0.9096385542168675,0.9560894179126143,0.8975903614457831,0.9723472202061257,0.8493975903614458,0.8975903614457831,0.5542168674698795,0.0060240963855421326,-0.006024096385542244,constructed_drug,K562 Panobinostat (LBH589) vs Filgotinib (GLPG0634),-,K562,Panobinostat (LBH589),Filgotinib (GLPG0634)
2,83,0.8975903614457831,0.9096385542168675,0.8674698795180723,0.5,0.9096385542168675,0.9036144578313253,0.9330817244883147,0.8975903614457831,0.9396864566700538,0.8674698795180723,0.8975903614457831,0.5843373493975904,-0.0060240963855421326,-0.012048192771084376,constructed_drug,K562 Panobinostat (LBH589) vs Filgotinib (GLPG0634),-,K562,Panobinostat (LBH589),Filgotinib (GLPG0634)
3,83,0.9036144578313253,0.9036144578313253,0.8554216867469879,0.5,0.9036144578313253,0.9156626506024096,0.9624038321962549,0.9036144578313253,0.944404122514153,0.8795180722891566,0.9036144578313253,0.536144578313253,0.012048192771084265,0.0,constructed_drug,K562 Panobinostat (LBH589) vs Filgotinib (GLPG0634),-,K562,Panobinostat (LBH589),Filgotinib (GLPG0634)
4,83,0.9096385542168675,0.9096385542168675,0.8795180722891566,0.5,0.9096385542168675,0.9337349397590361,0.9560168384380897,0.8975903614457831,0.945855712004645,0.8734939759036144,0.8975903614457831,0.5963855421686747,0.02409638554216864,-0.012048192771084376,constructed_drug,K562 Panobinostat (LBH589) vs Filgotinib (GLPG0634),-,K562,Panobinostat (LBH589),Filgotinib (GLPG0634)
0,120,0.9,0.8875,0.9125,0.5,0.9125,0.9208333333333333,0.9570833333333333,0.9208333333333333,0.9514236111111111,0.9,0.9208333333333333,0.7208333333333333,0.008333333333333304,0.008333333333333304,constructed_drug,K562 Resminostat vs Ruxolitinib (INCB018424),-,K562,Resminostat,Ruxolitinib (INCB018424)
1,120,0.8916666666666667,0.9166666666666666,0.8875,0.5,0.9166666666666666,0.9166666666666666,0.960625,0.9208333333333333,0.9559722222222223,0.9208333333333333,0.9166666666666666,0.7291666666666666,0.0,0.004166666666666652,constructed_drug,K562 Resminostat vs Ruxolitinib (INCB018424),-,K562,Resminostat,Ruxolitinib (INCB018424)
