heldout_drug,scorer,reference_scorer,response_regret_difference,moa_ndcg_difference,minority_coverage_difference
BMS-536924,DART_sliced_wasserstein,mean_l2,0.0223617553710937,-0.07336392209936,0.0004621602085252974
BMS-754807,DART_coverage_mean,mean_cosine,0.048531532287597656,0.04716699372209815,-0.00045064451685938867
BMS-754807,DART_coverage_mean,mean_l2,-0.0108757019042969,-0.04134710751152891,-0.0014676938148820429
BMS-754807,DART_coverage_worst,mean_cosine,0.048531532287597656,0.0,-0.00045064451685938867
BMS-754807,DART_coverage_worst,mean_l2,-0.1112027168273926,-0.1012416160362531,-0.0017493068010731028
BMS-754807,DART_energy,mean_cosine,0.02855396270751956,0.059986774843161304,0.0
BMS-754807,DART_energy,mean_l2,0.0,0.0013167176277186915,0.0
BMS-754807,DART_mmd,mean_cosine,0.02855396270751956,0.0851431176416209,0.0
BMS-754807,DART_mmd,mean_l2,0.0,0.0107611647213346,0.0
BMS-754807,DART_sliced_wasserstein,mean_cosine,-0.004236221313476583,0.08019238665811185,-3.314396316339563e-05
BMS-754807,DART_sliced_wasserstein,mean_l2,-0.047856807708740255,-0.020720322124283208,-0.0009505593398612677
BMS-911543,DART_coverage_mean,mean_cosine,0.0548591613769531,-0.2984900352767555,0.00025444915619521336
BMS-911543,DART_coverage_mean,mean_l2,0.03494453430175781,0.0,-0.00010306972901230615
BMS-911543,DART_coverage_worst,mean_cosine,0.0548591613769531,-0.2984900352767555,0.00025444915619521336
BMS-911543,DART_coverage_worst,mean_l2,-0.041173934936523396,-0.0406146612122628,0.00019520176271325962
BMS-911543,DART_energy,mean_cosine,0.0,-0.2984900352767555,0.0011334679126582259
BMS-911543,DART_energy,mean_l2,0.0,0.0,0.0
BMS-911543,DART_mmd,mean_cosine,0.07613754272460938,-0.2984900352767555,0.00040156272866542775
BMS-911543,DART_mmd,mean_l2,0.0,0.0,-0.0005609112695237339
BMS-911543,DART_sliced_wasserstein,mean_cosine,0.0369491577148438,-0.21334691763513458,-0.00022031164270197579
BMS-911543,DART_sliced_wasserstein,mean_l2,-0.0626850128173828,0.0705328686535098,-0.0007777342099417606
Barasertib (AZD1152-HQPA),DART_coverage_mean,mean_cosine,0.0,-0.08983081886134581,-0.0001127847089384959
Barasertib (AZD1152-HQPA),DART_coverage_mean,mean_l2,0.0,-0.026526575747533976,-0.0013769412587564256
Barasertib (AZD1152-HQPA),DART_coverage_worst,mean_cosine,0.0,-0.030484223999013543,0.0
Barasertib (AZD1152-HQPA),DART_coverage_worst,mean_l2,0.03342199325561525,-0.015916073403619446,-0.0009448744032449219
Barasertib (AZD1152-HQPA),DART_energy,mean_cosine,0.0,-0.052258934610283636,0.0
Barasertib (AZD1152-HQPA),DART_energy,mean_l2,0.0,-0.04753539208945173,0.0
Barasertib (AZD1152-HQPA),DART_mmd,mean_cosine,0.0,-0.051791727147723565,0.0
Barasertib (AZD1152-HQPA),DART_mmd,mean_l2,0.0,-0.0504406089583645,0.0
Barasertib (AZD1152-HQPA),DART_sliced_wasserstein,mean_cosine,0.0,-0.10595232801987936,7.797881828341957e-05
Barasertib (AZD1152-HQPA),DART_sliced_wasserstein,mean_l2,0.0,-0.0493639103305288,0.0
"Baricitinib (LY3009104, INCB028050)",DART_coverage_mean,mean_cosine,0.006601333618164007,-0.052676276563876495,-0.0033405036933128462
"Baricitinib (LY3009104, INCB028050)",DART_coverage_mean,mean_l2,0.0,0.07025044884415702,-0.0018186755193856374
"Baricitinib (LY3009104, INCB028050)",DART_coverage_worst,mean_cosine,-0.0507354736328125,-0.06625422345438899,-0.002981999095203247
"Baricitinib (LY3009104, INCB028050)",DART_coverage_worst,mean_l2,-0.09501838684082031,-0.1139785833116228,-0.0014601709212760383
"Baricitinib (LY3009104, INCB028050)",DART_energy,mean_cosine,0.0152273178100585,0.1538375428436912,-0.0015218281739272088
"Baricitinib (LY3009104, INCB028050)",DART_energy,mean_l2,0.0,0.05353479359505939,-0.00026456895995297103
"Baricitinib (LY3009104, INCB028050)",DART_mmd,mean_cosine,0.0152273178100585,0.1499048426811084,-0.0015218281739272088
"Baricitinib (LY3009104, INCB028050)",DART_mmd,mean_l2,0.0,0.049602093432476596,-0.00026456895995297103
"Baricitinib (LY3009104, INCB028050)",DART_sliced_wasserstein,mean_cosine,0.0152273178100585,0.21352563088006019,-0.0015218281739272088
"Baricitinib (LY3009104, INCB028050)",DART_sliced_wasserstein,mean_l2,0.0,0.11322288163142838,-0.00026456895995297103
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_coverage_mean,mean_cosine,0.33759307861328125,0.0,0.0013604421015496193
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_coverage_mean,mean_l2,-0.15026950836181646,0.0,-0.00021634969391431946
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_coverage_worst,mean_cosine,0.33759307861328125,0.0,0.0025059343549816426
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_coverage_worst,mean_l2,-0.11486530303955084,0.0,-0.00034201224341079417
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_energy,mean_cosine,0.4243202209472656,0.0,0.002846356126748051
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_energy,mean_l2,0.0,0.0,0.0
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_mmd,mean_cosine,0.4243202209472656,0.0,0.0033261833814706154
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_mmd,mean_l2,0.0,0.0,0.0
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_sliced_wasserstein,mean_cosine,0.2976255416870117,0.0,0.0009194776492901235
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),DART_sliced_wasserstein,mean_l2,-0.022135734558105497,0.0,-0.000991014113391031
Busulfan,DART_coverage_mean,mean_cosine,0.039418697357177734,0.0888987665984203,0.0036971946370357167
Busulfan,DART_coverage_mean,mean_l2,-0.0357217788696289,-0.11059670650740636,-4.6162697330320857e-05
Busulfan,DART_coverage_worst,mean_cosine,0.11163997650146486,0.11093580635042219,0.00391716985884083
Busulfan,DART_coverage_worst,mean_l2,-0.04308986663818355,-0.08373704339143956,-0.0005662117240404219
Busulfan,DART_energy,mean_cosine,0.1337137222290039,0.15915958189052803,0.004183795302514115
Busulfan,DART_energy,mean_l2,0.0,0.003692681162699954,0.0
Busulfan,DART_mmd,mean_cosine,0.15643310546875,0.1611361245609773,0.004183795302514115
Busulfan,DART_mmd,mean_l2,0.012174606323242201,-0.0403290766906026,0.0
Busulfan,DART_sliced_wasserstein,mean_cosine,0.07153177261352542,0.22593242048297135,0.004786847708896924
Busulfan,DART_sliced_wasserstein,mean_l2,-0.008357048034667948,0.05693089559682844,0.0
CEP-33779,DART_coverage_mean,mean_cosine,-0.0321331024169922,-0.2934556883974402,-0.0012465825881577963
CEP-33779,DART_coverage_mean,mean_l2,-0.0321331024169922,-0.048006779666586605,-0.0012465825881577963
CEP-33779,DART_coverage_worst,mean_cosine,0.025489807128906306,-0.22983490019848848,-0.0012465825881577963
CEP-33779,DART_coverage_worst,mean_l2,-0.11136054992675778,0.10686888466665179,-0.0012465825881577963
CEP-33779,DART_energy,mean_cosine,0.03224754333496091,-0.14562619748198757,0.0
CEP-33779,DART_energy,mean_l2,0.0,-0.05447502791212809,0.0007710447727314884
CEP-33779,DART_mmd,mean_cosine,0.03224754333496091,-0.21505741941876488,-0.0010080387785645906
CEP-33779,DART_mmd,mean_l2,0.0,-0.07336392209935999,0.0
CEP-33779,DART_sliced_wasserstein,mean_cosine,0.040293693542480497,-0.2934556883974402,-0.0010786024883602252
CEP-33779,DART_sliced_wasserstein,mean_l2,-0.0205974578857422,0.00503434687931531,-0.00030856840480475434
CUDC-101,DART_coverage_mean,mean_cosine,-0.2391872406005859,-0.3550990120032147,-0.025642421361450785
CUDC-101,DART_coverage_mean,mean_l2,-0.7541542053222656,-0.31442575374227655,-0.01599779899718856
CUDC-101,DART_coverage_worst,mean_cosine,-0.3309345245361328,-0.2418965155501022,-0.028155702438304786
CUDC-101,DART_coverage_worst,mean_l2,-0.6299476623535156,-0.2984900352767555,-0.018511080074042563
CUDC-101,DART_energy,mean_cosine,-0.3370094299316406,0.03865942564285735,-0.006859845029586031
CUDC-101,DART_energy,mean_l2,0.0,-0.030232617749625823,0.0
CUDC-101,DART_mmd,mean_cosine,-0.1437339782714843,0.04171630792899528,-0.006859845029586031
CUDC-101,DART_mmd,mean_l2,0.0,0.0,0.0
CUDC-101,DART_sliced_wasserstein,mean_cosine,-0.0985584259033203,-0.24740414430025917,-0.011437152634825365
CUDC-101,DART_sliced_wasserstein,mean_l2,-0.0985584259033203,-0.1190129301909382,-0.011437152634825365
