setting,alpha,method,reference,hit@1,mrr,population_minus_mean_hit@1,population_minus_mean_mrr
crossline:K562+MCF7,0.7,coverage_worst,matched_control_referenced,0.9133333333333333,0.9467037037037037,0.6933333333333334,0.3867037037037037
crossline:K562+MCF7,0.7,coverage_worst,raw_normalized_expression,0.9133333333333333,0.9467037037037037,0.6933333333333334,0.3867037037037037
crossline:K562+MCF7,0.7,global_energy,matched_control_referenced,0.9266666666666666,0.9573333333333333,0.7066666666666667,0.3973333333333333
crossline:K562+MCF7,0.7,global_energy,raw_normalized_expression,0.9266666666666666,0.9573333333333333,0.7066666666666667,0.3973333333333333
crossline:K562+MCF7,0.7,mmd_rbf,matched_control_referenced,0.9333333333333333,0.9611746031746031,0.7133333333333334,0.4011746031746032
crossline:K562+MCF7,0.7,mmd_rbf,raw_normalized_expression,0.9333333333333333,0.9611746031746031,0.7133333333333334,0.4011746031746032
crossline:K562+MCF7,0.7,sliced_wasserstein,matched_control_referenced,0.84,0.9036190476190477,0.62,0.34361904761904766
crossline:K562+MCF7,0.7,sliced_wasserstein,raw_normalized_expression,0.84,0.9036190476190477,0.62,0.34361904761904766
crossline:K562+MCF7,0.8,coverage_mean,matched_control_referenced,0.84,0.8962151486857368,0.6066666666666667,0.33321514868573693
crossline:K562+MCF7,0.8,coverage_mean,raw_normalized_expression,0.84,0.8962151486857368,0.6066666666666667,0.33321514868573693
crossline:K562+MCF7,0.8,coverage_worst,matched_control_referenced,0.8466666666666667,0.8972833333333333,0.6133333333333333,0.3342833333333333
crossline:K562+MCF7,0.8,coverage_worst,raw_normalized_expression,0.8466666666666667,0.8972833333333333,0.6133333333333333,0.3342833333333333
crossline:K562+MCF7,0.8,global_energy,matched_control_referenced,0.9133333333333333,0.955,0.68,0.392
crossline:K562+MCF7,0.8,global_energy,raw_normalized_expression,0.9133333333333333,0.955,0.68,0.392
crossline:K562+MCF7,0.8,mmd_rbf,matched_control_referenced,0.9066666666666666,0.9505555555555556,0.6733333333333333,0.38755555555555554
crossline:K562+MCF7,0.8,mmd_rbf,raw_normalized_expression,0.9066666666666666,0.9505555555555556,0.6733333333333333,0.38755555555555554
crossline:K562+MCF7,0.8,sliced_wasserstein,matched_control_referenced,0.8866666666666667,0.9383333333333334,0.6533333333333333,0.37533333333333335
crossline:K562+MCF7,0.8,sliced_wasserstein,raw_normalized_expression,0.8866666666666667,0.9383333333333334,0.6533333333333333,0.37533333333333335
crossline:K562+MCF7,0.9,coverage_mean,matched_control_referenced,0.68,0.7620034389118082,0.4,0.17516216907053844
crossline:K562+MCF7,0.9,coverage_mean,raw_normalized_expression,0.68,0.7620034389118082,0.4,0.17516216907053844
crossline:K562+MCF7,0.9,coverage_worst,matched_control_referenced,0.7466666666666667,0.7974128931005319,0.4666666666666667,0.21057162325926207
crossline:K562+MCF7,0.9,coverage_worst,raw_normalized_expression,0.7466666666666667,0.7974128931005319,0.4666666666666667,0.21057162325926207
crossline:K562+MCF7,0.9,global_energy,matched_control_referenced,0.8733333333333333,0.8995318970699642,0.5933333333333334,0.3126906272286944
