panel,metric,scope,statistic,old_point_estimate,old_ci_low,old_ci_high,old_query_level_p,corrected_point_estimate,corrected_cluster_ci_low,corrected_cluster_ci_high,corrected_drug_level_p,one_row_per_drug_point,n_queries,n_drugs,n_biological_drugs_excluding_pooled,n_pooled_rows,cluster_inference_status,conclusion_changed,scorer,reference_scorer,point_sign_changed_vs_drug,cluster_ci_excludes_zero,direction_of_conclusion,manuscript_consequence,divergence_value_median,effect_median,frac_positive,frac_negative,frac_tied,corrected_bh_q,n_recommended_queries,n_no_call_queries
Fig2e,response_regret_difference,recommended_individual_formal,median,-0.04381465911865236,-0.05971200466156005,-0.03150606155395506,,-0.04381465911865236,-0.0602588653564453,-0.0306873321533203,6.390077753586914e-12,-0.05594873428344725,584,141,,,,False,DART_coverage_worst,mean_l2,False,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_energy/mean_cosine,median,0.05943870544433595,0.041168212890625,0.08518695831298831,5.127794956524412e-32,0.05943870544433595,0.0390024185180664,0.08831691741943362,2.752296493259979e-12,0.04769945144653322,600,130,,,,False,DART_energy,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_energy/mean_cosine,mean,0.1981648858388265,0.16128557952245076,0.23646252346038818,5.127794956524412e-32,0.1981648858388265,0.1533250031541695,0.24493072060424947,2.752296493259979e-12,0.04769945144653322,600,130,,,,False,DART_energy,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_mmd/mean_cosine,median,0.06527090072631839,0.04603850841522218,0.08773994445800781,2.4393798109165317e-33,0.06527090072631839,0.04486083984375,0.0919151306152344,2.1604415727336043e-13,0.06426143646240237,600,130,,,,False,DART_mmd,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_mmd/mean_cosine,mean,0.19888000965118408,0.16078547632694246,0.2386931171019872,2.4393798109165317e-33,0.19888000965118408,0.15209829843704897,0.24679672893525764,2.1604415727336043e-13,0.06426143646240237,600,130,,,,False,DART_mmd,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_sliced_wasserstein/mean_cosine,median,0.06678676605224608,0.040365219116210896,0.08791940212249762,3.5174844286371294e-24,0.06678676605224608,0.039110183715820285,0.0887975692749024,3.0701234443596297e-10,0.056849479675293,600,130,,,,False,DART_sliced_wasserstein,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_sliced_wasserstein/mean_cosine,mean,0.18202927430470783,0.14282884585857392,0.22216900153954822,3.5174844286371294e-24,0.18202927430470783,0.13628189685987804,0.2284457710359144,3.0701234443596297e-10,0.056849479675293,600,130,,,,False,DART_sliced_wasserstein,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_mean/mean_cosine,median,0.041260719299316406,0.017301082611083995,0.05855655670166013,2.7015175863580787e-10,0.041260719299316406,0.015913009643554688,0.0619964599609375,0.0002772990179847562,0.04699039459228518,600,130,,,,False,DART_coverage_mean,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_mean/mean_cosine,mean,0.11221877733866374,0.06538478807608286,0.15839709548155467,2.7015175863580787e-10,0.11221877733866374,0.05333607370163806,0.16781862484419557,0.0002772990179847562,0.04699039459228518,600,130,,,,False,DART_coverage_mean,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_worst/mean_cosine,median,0.0278210639953613,0.011265754699707003,0.04967689514160155,2.686084189887353e-09,0.0278210639953613,0.011409759521484375,0.05103111267089851,0.0003909246218010114,0.02287244796752932,600,130,,,,False,DART_coverage_worst,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_worst/mean_cosine,mean,0.13469602266947428,0.09377985759576163,0.17627135797341664,2.686084189887353e-09,0.13469602266947428,0.08824529597830137,0.1807244231992035,0.0003909246218010114,0.02287244796752932,600,130,,,,False,DART_coverage_worst,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_energy/mean_l2,median,0.0,0.0,0.0,0.004262897590748932,0.0,0.0,0.0,0.059862987055778624,0.0,600,130,,,,False,DART_energy,mean_l2,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_energy/mean_l2,mean,-0.016838156382242838,-0.031484382033348086,-0.005277130484580995,0.004262897590748932,-0.016838156382242838,-0.03135570435455406,-0.005087047183979956,0.059862987055778624,0.0,600,130,,,,False,DART_energy,mean_l2,True,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_mmd/mean_l2,median,0.0,0.0,0.0,0.0027708057068860574,0.0,0.0,0.0,0.0760847767339192,0.0,600,130,,,,False,DART_mmd,mean_l2,False,False,includes_zero,UNCHANGED,,,,,,,,
