split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,method,reference,n_candidates,top1,top1_is_mean_top1,decision_regret,population_minus_mean_regret_reduction,minority_state_coverage,population_minus_mean_minority_coverage,moa_ndcg,population_minus_mean_moa_ndcg,target_mrr,batch_coverage,candidate_assignment_changed_fraction,raw_vs_referenced_top1_changed,batch_coverage_minus_mean
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",Epigenetics,1.0,0,DART_coverage_mean,matched_control_referenced,187,Quercetin,0,0.030994415283203125,0.03173065185546868,0.988103598356247,-0.0014142509064059006,0.37185395737611554,0.29849003527675555,,,1.0,1,
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",Epigenetics,1.0,0,DART_coverage_worst,raw_normalized_expression,187,Capecitabine,0,0.1134605407714843,-0.0507354736328125,0.9865358501674496,-0.002981999095203247,0.1388624438735545,0.0654985217741945,-1.0,,1.0,1,
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",Epigenetics,1.0,0,DART_coverage_worst,matched_control_referenced,187,Quercetin,0,0.030994415283203125,0.03173065185546868,0.988103598356247,-0.0014142509064059006,0.48153499054313026,0.40817106844377027,,,1.0,1,
leave_drug_out,A549,GSK1070916,Cell Cycle,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Barasertib (AZD1152-HQPA),0,0.1222381591796875,0.05019569396972651,0.988858526980469,0.0018775429196294935,0.9363792118010484,0.0026334352554374663,-1.0,,1.0,0,
leave_drug_out,A549,GSK1070916,Cell Cycle,1.0,0,DART_coverage_mean,matched_control_referenced,187,Barasertib (AZD1152-HQPA),0,0.12223434448242188,0.05019950866699213,0.9888586401939392,0.0018776561330996477,0.866947989864271,-0.06679778668133995,,,1.0,0,
leave_drug_out,A549,GSK1070916,Cell Cycle,1.0,0,DART_coverage_worst,raw_normalized_expression,187,Barasertib (AZD1152-HQPA),0,0.1222381591796875,0.05019569396972651,0.988858526980469,0.0018775429196294935,1.0,0.06625422345438903,-1.0,,1.0,1,
leave_drug_out,A549,GSK1070916,Cell Cycle,1.0,0,DART_coverage_worst,matched_control_referenced,187,AMG-900,1,0.17243385314941406,-5.551115123125783e-17,0.9869810342788696,5.0218030067661346e-08,0.9305687780632227,-0.0031769984823882824,,,1.0,1,
leave_drug_out,A549,TGX-221,PI3K/Akt/mTOR,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Glesatinib?(MGCD265),0,0.1525173187255859,-0.03831100463867192,0.9862396009732576,0.000180739030102961,0.0,-0.1845756967795681,-1.0,,1.0,1,
leave_drug_out,A549,TGX-221,PI3K/Akt/mTOR,1.0,0,DART_coverage_mean,matched_control_referenced,187,Fulvestrant,0,0.055103302001953125,0.05910301208496087,0.9885718524456024,0.0025129905024477983,0.0,-0.1845756967795681,,,1.0,1,
leave_drug_out,A549,TGX-221,PI3K/Akt/mTOR,1.0,0,DART_coverage_worst,raw_normalized_expression,187,PF-573228,0,0.2638931274414062,-0.1496868133544922,0.987880314240641,0.0018214522974864256,0.0,-0.1845756967795681,-1.0,,1.0,1,
leave_drug_out,A549,TGX-221,PI3K/Akt/mTOR,1.0,0,DART_coverage_worst,matched_control_referenced,187,Fulvestrant,0,0.055103302001953125,0.05910301208496087,0.9885718524456024,0.0025129905024477983,0.0,-0.1845756967795681,,,1.0,1,
leave_drug_out,A549,AZ 960,JAK/STAT,1.0,0,DART_coverage_mean,raw_normalized_expression,187,MLN8054,1,0.417755126953125,0.0,0.9838714625760928,0.0,0.0,-0.22476126319537,0.0434782608695652,,1.0,1,
leave_drug_out,A549,AZ 960,JAK/STAT,1.0,0,DART_coverage_mean,matched_control_referenced,187,2-Methoxyestradiol (2-MeOE2),0,0.0,0.417755126953125,0.9872726500034332,0.003401187427340413,0.14465249243306436,-0.08010877076230563,0.034482758620689655,,1.0,1,
leave_drug_out,A549,AZ 960,JAK/STAT,1.0,0,DART_coverage_worst,raw_normalized_expression,187,MK-5108 (VX-689),0,0.3170814514160156,0.10067367553710938,0.9857166843543592,0.0018452217782664038,0.2520649403266671,0.02730367713129711,0.0666666666666666,,1.0,1,
leave_drug_out,A549,AZ 960,JAK/STAT,1.0,0,DART_coverage_worst,matched_control_referenced,187,2-Methoxyestradiol (2-MeOE2),0,0.0,0.417755126953125,0.9872726500034332,0.003401187427340413,0.17947710508581735,-0.045284158109552636,0.045454545454545456,,1.0,1,
leave_drug_out,A549,AG-14361,DNA Damage,1.0,0,DART_coverage_mean,raw_normalized_expression,187,ZM 447439,0,0.0662975311279296,0.04955482482910159,0.9933695749027668,-6.275343760786534e-05,0.2742654694553681,0.1264359785399155,0.0588235294117647,,1.0,1,
leave_drug_out,A549,AG-14361,DNA Damage,1.0,0,DART_coverage_mean,matched_control_referenced,187,"Rucaparib (AG-014699,PF-01367338) phosphate",0,0.03593254089355469,0.07991981506347651,0.9938307404518127,0.00039841211143809563,0.36211082347570717,0.21428133256025456,0.0625,,1.0,1,
leave_drug_out,A549,AG-14361,DNA Damage,1.0,0,DART_coverage_worst,raw_normalized_expression,187,ZM 447439,0,0.0662975311279296,0.04955482482910159,0.9933695749027668,-6.275343760786534e-05,0.2208285630327872,0.07299907211733458,0.0555555555555555,,1.0,1,
leave_drug_out,A549,AG-14361,DNA Damage,1.0,0,DART_coverage_worst,matched_control_referenced,187,"Rucaparib (AG-014699,PF-01367338) phosphate",0,0.03593254089355469,0.07991981506347651,0.9938307404518127,0.00039841211143809563,0.42257499837058643,0.2747455074551338,0.1,,1.0,1,
leave_drug_out,A549,Altretamine,DNA Damage,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Veliparib (ABT-888),0,0.0804176330566406,-0.029703140258789097,0.9896310835653992,0.004148498805112366,0.2984900352767555,0.15962759140320099,-1.0,,1.0,1,
leave_drug_out,A549,Altretamine,DNA Damage,1.0,0,DART_coverage_mean,matched_control_referenced,187,Mesna,0,0.11089134216308594,-0.06017684936523444,0.9886836111545563,0.003201026394269446,0.2710884709729799,0.13222602709942538,,,1.0,1,
leave_drug_out,A549,Altretamine,DNA Damage,1.0,0,DART_coverage_worst,raw_normalized_expression,187,Veliparib (ABT-888),0,0.0804176330566406,-0.029703140258789097,0.9896310835653992,0.004148498805112366,0.3301376494471202,0.1912752055735657,-1.0,,1.0,1,
leave_drug_out,A549,Altretamine,DNA Damage,1.0,0,DART_coverage_worst,matched_control_referenced,187,Mesna,0,0.11089134216308594,-0.06017684936523444,0.9886836111545563,0.003201026394269446,0.2687374555268953,0.1298750116533408,,,1.0,1,
leave_drug_out,A549,Givinostat (ITF2357),Cytoskeletal Signaling,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Pracinostat (SB939),1,1.3493690490722656,0.0,0.8745010965893724,0.0,0.4315420454124844,-0.064396875057462,1.0,,1.0,1,
leave_drug_out,A549,Givinostat (ITF2357),Cytoskeletal Signaling,1.0,0,DART_coverage_mean,matched_control_referenced,187,Panobinostat (LBH589),0,1.6265106201171875,-0.2771415710449219,0.9767193794250488,0.10221828283567647,0.3529461582433962,-0.14299276222655022,0.5,,1.0,1,
