separation_scale,cells_per_source,seed,ari_kmeans_k2,sil_true_labels,n_total
5.0,50,17,1.0,0.3146204754994822,100
5.0,50,18,1.0,0.23210750133846972,100
5.0,50,19,1.0,0.28071599770713257,100
5.0,100,0,1.0,0.20415845546629685,200
5.0,100,1,1.0,0.2695215870423647,200
5.0,100,2,1.0,0.21216362567073205,200
5.0,100,3,1.0,0.20523192475480578,200
5.0,100,4,1.0,0.22878352789325743,200
5.0,100,5,1.0,0.20313845283194307,200
5.0,100,6,1.0,0.2498811578143456,200
5.0,100,7,1.0,0.22833038057413346,200
5.0,100,8,1.0,0.26681862723308003,200
5.0,100,9,1.0,0.19665879076640574,200
5.0,100,10,1.0,0.21418756592767557,200
5.0,100,11,1.0,0.21137733248884294,200
5.0,100,12,1.0,0.22252446398557532,200
5.0,100,13,1.0,0.27400016625010337,200
5.0,100,14,1.0,0.2251185391911771,200
5.0,100,15,1.0,0.26339823970880666,200
5.0,100,16,1.0,0.23171693725529643,200
5.0,100,17,1.0,0.2158270578455992,200
5.0,100,18,1.0,0.16383012873942193,200
5.0,100,19,1.0,0.21774223379920044,200
5.0,200,0,1.0,0.22880837632267606,400
5.0,200,1,1.0,0.2262582933356359,400
5.0,200,2,1.0,0.1826294728832693,400
5.0,200,3,1.0,0.2033553184006346,400
5.0,200,4,1.0,0.19460995352165475,400
5.0,200,5,1.0,0.16405322020209773,400
5.0,200,6,1.0,0.1923329479892871,400
5.0,200,7,1.0,0.18937402692332728,400
5.0,200,8,1.0,0.22156175384070675,400
5.0,200,9,1.0,0.14439571594287398,400
5.0,200,10,1.0,0.2083354919008491,400
5.0,200,11,1.0,0.18758242494939814,400
5.0,200,12,1.0,0.17161841497301758,400
5.0,200,13,1.0,0.20143795351245541,400
5.0,200,14,1.0,0.19309760571822301,400
5.0,200,15,1.0,0.2249321456873115,400
5.0,200,16,1.0,0.2071341472811014,400
5.0,200,17,1.0,0.2128714364058913,400
5.0,200,18,1.0,0.16641924301917632,400
5.0,200,19,1.0,0.1834490928662936,400
5.0,400,0,1.0,0.22210520074639148,800
5.0,400,1,1.0,0.20105831659364654,800
5.0,400,2,1.0,0.17110692690207974,800
5.0,400,3,1.0,0.19948322899504703,800
5.0,400,4,1.0,0.17318156722641573,800
5.0,400,5,0.9949999922070802,0.16628713641159215,800
5.0,400,6,1.0,0.18744961461424198,800
5.0,400,7,1.0,0.16048858114992487,800
5.0,400,8,1.0,0.17511433829001888,800
5.0,400,9,0.9949999922070802,0.15079436989081677,800
5.0,400,10,1.0,0.1854071557198373,800
5.0,400,11,1.0,0.1682266387500978,800
5.0,400,12,1.0,0.17036996507725222,800
5.0,400,13,0.9949999922070802,0.17877091317020177,800
5.0,400,14,1.0,0.20193850083590845,800
5.0,400,15,1.0,0.20196427254345678,800
5.0,400,16,1.0,0.18350104990527327,800
5.0,400,17,1.0,0.17995258247988694,800
5.0,400,18,1.0,0.17048304484713278,800
5.0,400,19,1.0,0.17378775674016064,800
8.0,25,0,1.0,0.5212967449388697,50
8.0,25,1,1.0,0.5380803558672143,50
8.0,25,2,1.0,0.5329003709458668,50
8.0,25,3,1.0,0.5749537570427505,50
8.0,25,4,1.0,0.535645981016356,50
8.0,25,5,1.0,0.475547210705427,50
8.0,25,6,1.0,0.5360891510272746,50
8.0,25,7,1.0,0.53939120881725,50
8.0,25,8,1.0,0.5547663201736814,50
8.0,25,9,1.0,0.5198040268364839,50
8.0,25,10,1.0,0.5404715982365473,50
8.0,25,11,1.0,0.5422839941914274,50
8.0,25,12,1.0,0.525966307076039,50
8.0,25,13,1.0,0.5640783109714573,50
8.0,25,14,1.0,0.5151634674127729,50
8.0,25,15,1.0,0.6073385994133186,50
8.0,25,16,1.0,0.5197469454929974,50
8.0,25,17,1.0,0.5295843175166468,50
8.0,25,18,1.0,0.5145675423277974,50
8.0,25,19,1.0,0.5090435731907123,50
8.0,50,0,1.0,0.4216425480151973,100
8.0,50,1,1.0,0.4769705952362713,100
8.0,50,2,1.0,0.45800122322552544,100
8.0,50,3,1.0,0.4847557114846472,100
8.0,50,4,1.0,0.43585016498145057,100
8.0,50,5,1.0,0.4245975101983865,100
