seed,query_drug,query_moa,n_query_cells,n_candidates,n_same_moa_candidates,query_silhouette,hit_at_1,moa_ndcg,sil_tertile
0,Aurora A Inhibitor I,Aurora Kinase,120,180,11,0.03939470276236534,0.0,0.5609100168019326,high
0,Cimetidine ,Histamine Receptor,120,180,0,0.03619837015867233,0.0,0.0,high
0,KW-2449,"Aurora Kinase,Bcr-Abl,FLT3",119,180,0,0.02569255419075489,0.0,0.0,mid
0,Epothilone A,Microtubule Associated,118,180,1,0.10146868228912354,0.0,0.6309297535714575,high
0,Crizotinib (PF-02341066),"ALK,c-Met",118,180,0,0.0277519803494215,0.0,0.0,mid
0,Hesperadin,Aurora Kinase,118,180,11,0.027484722435474396,0.0,0.41703472148188425,mid
0,"Fedratinib (SAR302503, TG101348)",JAK,116,180,15,0.030379708856344223,0.0,0.3810495620505141,mid
0,Danusertib (PHA-739358),"Aurora Kinase,Bcr-Abl,c-RET,FGFR",116,180,0,0.0347592830657959,0.0,0.0,high
0,JNJ-7706621,"Aurora Kinase,CDK",116,180,0,0.03860748931765556,0.0,0.0,high
0,Barasertib (AZD1152-HQPA),Aurora Kinase,115,180,11,0.052374567836523056,1.0,0.8384536020807245,high
0,Quisinostat (JNJ-26481585) 2HCl,HDAC,113,180,22,0.033251430839300156,1.0,0.8994896242747115,high
0,"Rucaparib (AG-014699,PF-01367338) phosphate",PARP,113,180,6,0.052349843084812164,0.0,0.34545866589099794,high
0,Dacinostat (LAQ824),HDAC,108,180,22,0.02410784922540188,1.0,0.9000320234776562,low
0,AT9283,"Aurora Kinase,Bcr-Abl,JAK",107,180,0,0.05781377851963043,0.0,0.0,high
0,Belinostat (PXD101),HDAC,106,180,22,0.0028306813910603523,1.0,0.8997474831047114,low
0,Tanespimycin (17-AAG),HSP (e.g. HSP90),103,180,1,0.023277655243873596,1.0,1.0,low
1,IOX2,HIF,120,180,2,0.029979681596159935,0.0,0.2069441676623316,mid
1,Curcumin,"NF-κB,HDAC,Histone Acetyltransferase,Nrf2",120,180,0,0.027265001088380814,0.0,0.0,mid
